race_code,venue,venue_name,race,boat1_name,p109,grade,top7,entry_course,winner,head_hit,actual_combo,payout100,ticket7_hit,invest7,return7
202609040612,06,浜名湖,12,倉持 莉々,0.7528707054271323,S,1-2-3;1-3-2;1-2-4;1-4-2;1-2-6;1-3-4;1-4-3,1,1,1,1-3-5,2500,0,700,0
202609040701,07,蒲郡,01,西川 新太郎,0.6478214212538678,B,1-2-5;1-5-2;1-2-3;1-2-6;1-2-4;1-3-2;1-6-2,1,1,1,1-2-3,680,1,700,680
202609040702,07,蒲郡,02,池本 輝明,0.4803005318340009,B,1-4-6;1-4-5;1-4-2;1-6-4;1-2-4;1-4-3;1-5-4,1,5,0,5-4-6,11270,0,700,0
202609040703,07,蒲郡,03,谷川 将太,0.6296342487630526,B,1-5-2;1-2-5;1-5-6;1-5-4;1-5-3;1-2-6;1-2-4,1,1,1,1-6-5,14220,0,700,0
202609040704,07,蒲郡,04,下河 誉史,0.43692770047141033,B,1-2-3;1-3-2;1-2-6;1-2-5;1-2-4;1-3-6;1-6-2,1,2,0,2-5-4,19760,0,700,0
202609040705,07,蒲郡,05,山下 流心,0.46656034832416377,B,1-3-6;1-6-3;1-2-6;1-6-2;1-3-2;1-2-3;1-6-4,1,1,1,1-3-6,1430,1,700,1430
202609040706,07,蒲郡,06,岡田 憲行,0.490103402806785,B,1-4-6;1-6-4;1-6-3;1-3-6;1-4-3;1-3-4;1-6-2,1,6,0,6-3-4,3470,0,700,0
202609040707,07,蒲郡,07,中辻 崇人,0.8456214327124479,S,1-4-5;1-4-3;1-5-4;1-3-4;1-4-2;1-4-6;1-3-5,1,1,1,1-4-3,440,1,700,440
202609040708,07,蒲郡,08,飯島 昌弘,0.5985506848909946,B,1-3-5;1-3-6;1-5-3;1-3-4;1-3-2;1-6-3;1-4-3,1,1,1,1-3-5,500,1,700,500
202609040709,07,蒲郡,09,服部 達哉,0.5259667088545366,B,1-2-6;1-2-3;1-3-2;1-6-2;1-2-4;1-3-6;1-2-5,1,1,1,1-2-4,1350,1,700,1350
202609040710,07,蒲郡,10,鰐部 太空海,0.7277852917501498,S,1-3-5;1-3-4;1-5-3;1-3-2;1-4-3;1-2-3;1-3-6,1,1,1,1-4-5,3060,0,700,0
202609040711,07,蒲郡,11,品川 二千翔,0.6810076360163964,A,1-3-2;1-2-3;1-3-6;1-3-5;1-3-4;1-2-6;1-2-5,1,1,1,1-2-3,410,1,700,410
202609040712,07,蒲郡,12,吉田 裕平,0.8111461081731246,S,1-3-6;1-3-4;1-6-3;1-4-3;1-4-6;1-2-3;1-3-2,1,1,1,1-3-5,1530,0,700,0
202609040901,09,津,01,高田 ひかる,0.6134474125565893,B,1-4-5;1-2-4;1-4-2;1-4-3;1-5-4;1-3-4;1-2-5,1,1,1,1-3-5,3160,0,700,0
202609040902,09,津,02,下出 卓矢,0.6399504850331301,B,1-2-6;1-2-5;1-6-2;1-2-4;1-2-3;1-5-2;1-4-2,1,1,1,1-2-6,920,1,700,920
202609040903,09,津,03,黒井 達矢,0.6155042104963485,B,1-3-5;1-5-3;1-2-5;1-5-6;1-5-2;1-2-3;1-3-6,1,2,0,2-1-5,2420,0,700,0
202609040904,09,津,04,塩田 北斗,0.7330421385761802,S,1-3-4;1-4-3;1-4-6;1-4-2;1-2-4;1-3-6;1-4-5,1,1,1,1-3-5,3170,0,700,0
202609040905,09,津,05,中島 孝平,0.4845277298885979,B,1-3-5;1-4-5;1-5-4;1-3-4;1-5-3;1-4-3;1-2-5,1,3,0,3-5-6,20430,0,700,0
202609040906,09,津,06,渡辺 浩司,0.6442449999269569,B,1-3-2;1-2-3;1-3-5;1-2-5;1-5-3;1-3-6;1-3-4,1,1,1,1-2-6,1190,0,700,0
202609040907,09,津,07,井上 一輝,0.7935387675842994,S,1-3-5;1-3-4;1-3-2;1-5-3;1-2-3;1-4-3;1-2-5,1,1,1,1-4-2,1660,0,700,0
202609040908,09,津,08,青木 玄太,0.6121971962270294,B,1-3-6;1-3-5;1-6-3;1-3-4;1-3-2;1-2-3;1-5-3,1,1,1,1-3-2,1050,1,700,1050
