date,month,p3head,y3head,source_index
2026-06-01,2026-06,0.0948781638945538,0,30613
2026-06-01,2026-06,0.15436476141023373,0,30614
2026-06-01,2026-06,0.1646996233014318,1,30615
2026-06-01,2026-06,0.14976983540422198,0,30616
2026-06-01,2026-06,0.08715616859226943,0,30617
2026-06-01,2026-06,0.0778355459934279,0,30618
2026-06-01,2026-06,0.12170884988830766,0,30619
2026-06-01,2026-06,0.08874583839860017,0,30620
2026-06-01,2026-06,0.06617616455264479,0,30621
2026-06-01,2026-06,0.0718939126495583,0,30622
2026-06-01,2026-06,0.10315066937965946,1,30623
2026-06-01,2026-06,0.09490846663179345,0,30624
2026-06-01,2026-06,0.1577852894333016,0,30625
2026-06-01,2026-06,0.1473817450964611,1,30626
2026-06-01,2026-06,0.15063887936388934,0,30627
2026-06-01,2026-06,0.16689966570411627,0,30628
2026-06-01,2026-06,0.13509617728549297,0,30629
2026-06-01,2026-06,0.15775342843364717,0,30630
2026-06-01,2026-06,0.09295874542252254,0,30631
2026-06-01,2026-06,0.08387293189645977,0,30632
2026-06-01,2026-06,0.08830194179508018,0,30633
2026-06-01,2026-06,0.07108468370163705,0,30634
2026-06-01,2026-06,0.0720218971533833,0,30635
2026-06-01,2026-06,0.06663639107545646,0,30636
2026-06-01,2026-06,0.13296144532391377,0,30637
2026-06-01,2026-06,0.1988003510861169,0,30638
2026-06-01,2026-06,0.1774074996389027,0,30639
2026-06-01,2026-06,0.09295750343185706,0,30640
2026-06-01,2026-06,0.1461326638801994,0,30641
2026-06-01,2026-06,0.07548481560506252,0,30642
2026-06-01,2026-06,0.22447147945184728,0,30643
2026-06-01,2026-06,0.16679866059555995,1,30644
2026-06-01,2026-06,0.06428032717854032,0,30645
2026-06-01,2026-06,0.07224597979021952,0,30646
2026-06-01,2026-06,0.07950672037189815,0,30647
2026-06-01,2026-06,0.08977605242473427,0,30648
2026-06-01,2026-06,0.12341936368869305,0,30649
2026-06-01,2026-06,0.11388803834562095,0,30650
2026-06-01,2026-06,0.15276488104709612,0,30651
2026-06-01,2026-06,0.06239167956474105,0,30652
2026-06-01,2026-06,0.05016568677187072,0,30653
2026-06-01,2026-06,0.10186214487393103,0,30654
2026-06-01,2026-06,0.08293558826652438,0,30655
2026-06-01,2026-06,0.12519920445239616,0,30656
2026-06-01,2026-06,0.08985204342772247,0,30657
2026-06-01,2026-06,0.15875919243126854,0,30658
