date,head,head_hit,month,period,score
2026-06-06,3,0,2026-06,calibration,22.164999999999996
2026-06-06,3,0,2026-06,calibration,71.76900000000002
2026-06-06,3,0,2026-06,calibration,44.6
2026-06-06,3,0,2026-06,calibration,47.85
2026-06-06,3,0,2026-06,calibration,40.25
2026-06-06,3,0,2026-06,calibration,64.01
2026-06-06,3,0,2026-06,calibration,76.20599999999999
2026-06-06,3,1,2026-06,calibration,82.12599999999999
2026-06-06,3,0,2026-06,calibration,42.19200000000001
2026-06-06,3,0,2026-06,calibration,52.404
2026-06-06,3,1,2026-06,calibration,88.76399999999998
2026-06-06,3,0,2026-06,calibration,45.21
2026-06-07,3,1,2026-06,calibration,54.19666666666667
2026-06-07,3,1,2026-06,calibration,43.373
2026-06-07,3,0,2026-06,calibration,44.16533333333334
2026-06-07,3,0,2026-06,calibration,68.85600000000001
2026-06-07,3,0,2026-06,calibration,48.76
2026-06-07,3,0,2026-06,calibration,42.36000000000001
2026-06-07,3,0,2026-06,calibration,74.79700000000001
2026-06-07,3,1,2026-06,calibration,55.649666666666675
2026-06-07,3,0,2026-06,calibration,72.10600000000001
2026-06-07,3,0,2026-06,calibration,52.82533333333334
2026-06-07,3,0,2026-06,calibration,91.403
2026-06-07,3,0,2026-06,calibration,81.80499999999998
2026-06-07,3,0,2026-06,calibration,51.714000000000006
2026-06-07,3,0,2026-06,calibration,48.64800000000001
2026-06-07,3,0,2026-06,calibration,15.106999999999998
2026-06-07,3,0,2026-06,calibration,51.175
2026-06-07,3,0,2026-06,calibration,53.287
2026-06-07,3,0,2026-06,calibration,71.84600000000002
2026-06-07,3,0,2026-06,calibration,36.876000000000005
2026-06-07,3,0,2026-06,calibration,33.742
2026-06-07,3,1,2026-06,calibration,64.09299999999999
2026-06-07,3,0,2026-06,calibration,57.30100000000001
2026-06-07,3,0,2026-06,calibration,47.730000000000004
2026-06-07,3,0,2026-06,calibration,78.13
2026-06-07,3,0,2026-06,calibration,73.37899999999999
2026-06-07,3,0,2026-06,calibration,47.757000000000005
2026-06-07,3,0,2026-06,calibration,76.622
2026-06-07,3,0,2026-06,calibration,33.304
2026-06-07,3,0,2026-06,calibration,58.98000000000001
2026-06-07,3,0,2026-06,calibration,62.68500000000001
2026-06-08,3,0,2026-06,calibration,63.93200000000001
2026-06-08,3,1,2026-06,calibration,70.286
2026-06-08,3,0,2026-06,calibration,41.418
2026-06-08,3,0,2026-06,calibration,57.25399999999999
2026-06-08,3,0,2026-06,calibration,45.50000000000001
2026-06-08,3,1,2026-06,calibration,42.48800000000001
2026-06-08,3,0,2026-06,calibration,60.18900000000001
2026-06-08,3,0,2026-06,calibration,78.396
2026-06-08,3,0,2026-06,calibration,60.425000000000004
2026-06-08,3,0,2026-06,calibration,29.636333333333337
2026-06-08,3,0,2026-06,calibration,55.48700000000001
2026-06-08,3,0,2026-06,calibration,49.20733333333334
2026-06-08,3,0,2026-06,calibration,66.79366666666668
2026-06-08,3,1,2026-06,calibration,76.86900000000001
2026-06-08,3,0,2026-06,calibration,56.74700000000001
2026-06-08,3,0,2026-06,calibration,67.433
2026-06-08,3,0,2026-06,calibration,21.04866666666667
2026-06-08,3,0,2026-06,calibration,26.727
2026-06-08,3,0,2026-06,calibration,24.66
2026-06-08,3,0,2026-06,calibration,95.53366666666666
2026-06-08,3,0,2026-06,calibration,43.895
2026-06-08,3,0,2026-06,calibration,66.22099999999999
2026-06-08,3,0,2026-06,calibration,77.113
2026-06-08,3,0,2026-06,calibration,45.9
2026-06-08,3,0,2026-06,calibration,52.28300000000001
2026-06-08,3,0,2026-06,calibration,56.181000000000004
2026-06-08,3,0,2026-06,calibration,51.07600000000001
2026-06-09,3,0,2026-06,calibration,65.108
2026-06-09,3,1,2026-06,calibration,65.834
