actual2,R,top1,top2,top3,exact3
2,114,0.7719298245614035,0.9736842105263158,1.0,0.7280701754385965
3,89,0.3595505617977528,0.8539325842696629,0.9775280898876404,0.47191011235955055
4,42,0.14285714285714285,0.42857142857142855,0.8809523809523809,0.16666666666666666
5,32,0.0,0.1875,0.46875,0.125
6,13,0.0,0.0,0.23076923076923078,0.0
