date,race_code,venue,race,day_cat,winner,kimarite,target,score3,3_ST優位,3コース攻撃実績,2壁弱さ,1弱さ,3モーター攻撃,3伸び,3回り足,3前回展示総合,3前回直線,3前回通常展示,3前回回り足,3節間ST,3選手力,3全国勝率,3当地勝率,3コース1着率,3コースST_速いほど高,3全国ST_速いほど高,1コース1着率_低いほど高,1コースST_遅いほど高,2コース1着率_低いほど高,2コースST_遅いほど高,3日目以降
2026-06-01,202606010101,01,01R,3日目以降,1,逃げ,0,48.75626007326007,0.0,0.225,0.55,1.0,0.7188241758241758,0.5505494505494506,0.9484615384615385,0.8527472527472527,0.4,0.6,1.0,0.7083333333333333,0.1376,3.37,4.72,0,0.4166666666666666,0.4166666666666666,1.0,0.43749999999999994,1.0,0.5,1.0
2026-06-01,202606010102,01,02R,3日目以降,2,まくり,0,42.33161904761905,0.0,0.225,0.55,1.0,0.3182857142857143,0.25999999999999995,0.19999999999999996,0.19999999999999993,0.19999999999999996,0.4,0.19999999999999996,0.7916666666666667,0.8348,6.82,7.21,0,0.25,0.25,1.0,0.8750000000000001,1.0,0.43749999999999994,1.0
2026-06-01,202606010103,01,03R,3日目以降,3,まくり,1,57.27406471306472,0.6666666666666667,0.225,0.8500000000000001,1.0,0.5413553113553115,0.4796336996336996,0.2343589743589743,0.2981684981684981,0.6,0.4,0.19999999999999996,0.27777777777777773,0.45219999999999994,5.0,5.84,0,0.5,0.5,1.0,0.6249999999999999,1.0,0.6875,1.0
2026-06-01,202606010104,01,04R,3日目以降,5,まくり,0,45.01099084249085,0.3333333333333336,0.225,0.7000000000000002,1.0,0.20564468864468866,0.3203663003663003,0.5656410256410256,0.5018315018315017,0.19999999999999996,0.4,0.6,0.3166666666666667,0.35270000000000007,4.95,4.69,0,0.5833333333333334,0.5833333333333334,1.0,0.8750000000000001,1.0,0.5,1.0
2026-06-01,202606010105,01,05R,3日目以降,1,逃げ,0,69.2717374847375,0.8333333333333335,0.225,0.925,1.0,0.35903663003663006,0.7701831501831502,0.9828205128205127,0.9509157509157509,0.8,0.6,1.0,0.888888888888889,0.6604,6.58,5.48,0,0.75,0.75,1.0,0.43749999999999994,1.0,0.5625,1.0
2026-06-01,202606010106,01,06R,3日目以降,4,まくり,0,39.53410256410257,0.16666666666666669,0.225,0.625,1.0,0.2281794871794872,0.09018315018315015,0.18282051282051276,0.15091575091575085,0.0,0.19999999999999996,0.19999999999999996,0.5208333333333334,0.20099999999999998,4.84,0.0,0,0.5,0.5,1.0,0.3125,1.0,0.5,1.0
2026-06-01,202606010107,01,07R,3日目以降,1,抜き,0,58.73296520146521,0.5000000000000003,0.225,0.7750000000000001,1.0,0.45718315018315014,0.45091575091575087,0.9141025641025641,0.7545787545787545,0.0,1.0,1.0,0.6833333333333335,0.5553000000000001,5.41,6.36,0,0.5833333333333334,0.5833333333333334,1.0,0.3125,1.0,0.5625,1.0
2026-06-01,202606010108,01,08R,3日目以降,4,まくり,0,33.25187545787546,0.0,0.225,0.55,1.0,0.29756776556776554,0.7392673992673993,0.06871794871794872,0.19633699633699636,0.8,1.0,0.0,0.0,0.35279999999999995,5.18,4.26,0,0.3333333333333334,0.3333333333333334,1.0,0.5,1.0,0.5,1.0
2026-06-01,202606010109,01,09R,3日目以降,2,差し,0,53.03060622710621,0.4999999999999999,0.225,0.775,1.0,0.5453882783882784,0.6090842490842491,0.08589743589743588,0.2454212454212454,1.0,0.19999999999999996,0.0,0.26666666666666666,0.5297,5.89,5.14,0,0.5,0.5,1.0,0.37500000000000006,1.0,0.6249999999999999,1.0
2026-06-01,202606010110,01,10R,3日目以降,1,逃げ,0,62.55311355311355,0.6666666666666667,0.225,0.8500000000000001,1.0,0.6281391941391942,0.7592673992673992,0.26871794871794863,0.39633699633699626,1.0,0.6,0.19999999999999996,0.5166666666666667,0.728,6.22,7.0,0,0.75,0.75,1.0,0.37500000000000006,1.0,0.5,1.0
2026-06-01,202606010111,01,11R,3日目以降,3,まくり差し,1,46.09390354090354,0.0,0.225,0.55,1.0,0.47750183150183145,0.4003663003663004,0.7656410256410257,0.7018315018315018,0.4,0.19999999999999996,0.8,0.5694444444444444,0.7626,6.76,6.42,0,0.5,0.5,1.0,0.3125,1.0,0.3125,1.0
2026-06-01,202606010112,01,12R,3日目以降,1,逃げ,0,42.848223443223446,0.0,0.225,0.55,1.0,0.7340695970695971,0.45963369963369965,0.03435897435897436,0.09816849816849818,0.4,0.8,0.0,0.6874999999999999,0.0,3.4,1.92,0,0.3333333333333334,0.3333333333333334,1.0,0.6249999999999999,1.0,0.24999999999999994,1.0
