R,head_hits,exact3_hits,exact3_rate,second_top1,second_top2,second_top3,worst_month_second_top2,outer456_top2,boat2_top2,boat3_top2,boat4_top2,boat5_top2,boat6_top2,config,mix,outer_weight,delta_top2_pp,delta_outer_pp,delta_exact3_pp
345,290,136,0.39420289855072466,0.44482758620689655,0.7241379310344828,0.8689655172413793,0.6,0.26436781609195403,0.9912280701754386,0.8314606741573034,0.40476190476190477,0.1875,0.0,DROP_START_BASE,0.0,1.0,0.0,0.0,0.0
345,290,135,0.391304347826087,0.4413793103448276,0.7241379310344828,0.8827586206896552,0.6666666666666666,0.27586206896551724,0.9736842105263158,0.8426966292134831,0.42857142857142855,0.1875,0.0,MC_ow1.0_m0.35,0.35,1.0,0.0,1.1494252873563204,-0.2898550724637683
345,290,136,0.39420289855072466,0.43448275862068964,0.7275862068965517,0.8827586206896552,0.6666666666666666,0.27586206896551724,0.9736842105263158,0.8539325842696629,0.42857142857142855,0.1875,0.0,MC_ow1.0_m0.50,0.5,1.0,0.34482758620689724,1.1494252873563204,0.0
345,290,132,0.3826086956521739,0.4482758620689655,0.7172413793103448,0.8862068965517241,0.6,0.27586206896551724,0.956140350877193,0.8426966292134831,0.40476190476190477,0.15625,0.15384615384615385,MC_ow1.0_m0.65,0.65,1.0,-0.6896551724137945,1.1494252873563204,-1.1594202898550732
345,290,129,0.3739130434782609,0.42758620689655175,0.7137931034482758,0.8827586206896552,0.6,0.27586206896551724,0.956140350877193,0.8314606741573034,0.40476190476190477,0.15625,0.15384615384615385,MC_ow1.0_m0.80,0.8,1.0,-1.0344827586206917,1.1494252873563204,-2.028985507246378
345,290,126,0.3652173913043478,0.4206896551724138,0.7172413793103448,0.8896551724137931,0.6533333333333333,0.28735632183908044,0.956140350877193,0.8314606741573034,0.40476190476190477,0.1875,0.15384615384615385,MC_ow1.0_m1.00,1.0,1.0,-0.6896551724137945,2.298850574712641,-2.898550724637683
345,290,132,0.3826086956521739,0.44482758620689655,0.7137931034482758,0.8724137931034482,0.6533333333333333,0.27586206896551724,0.9649122807017544,0.8202247191011236,0.42857142857142855,0.1875,0.0,MC_ow1.5_m0.35,0.35,1.5,-1.0344827586206917,1.1494252873563204,-1.1594202898550732
345,290,130,0.37681159420289856,0.44482758620689655,0.7103448275862069,0.8793103448275862,0.5333333333333333,0.3333333333333333,0.9385964912280702,0.7865168539325843,0.47619047619047616,0.1875,0.23076923076923078,MC_ow1.5_m0.50,0.5,1.5,-1.379310344827589,6.896551724137928,-1.7391304347826098
345,290,128,0.3710144927536232,0.4586206896551724,0.7103448275862069,0.8689655172413793,0.4666666666666667,0.3448275862068966,0.9298245614035088,0.7865168539325843,0.5,0.1875,0.23076923076923078,MC_ow1.5_m0.65,0.65,1.5,-1.379310344827589,8.045977011494255,-2.3188405797101463
345,290,127,0.3681159420289855,0.42758620689655175,0.7034482758620689,0.8758620689655172,0.4666666666666667,0.40229885057471265,0.9035087719298246,0.7415730337078652,0.5714285714285714,0.25,0.23076923076923078,MC_ow1.5_m0.80,0.8,1.5,-2.0689655172413834,13.793103448275861,-2.608695652173915
