month,core_features,guard_features,second_features,third_features,train,test,head_oof,guard_oof,second_train_races,third_train_races
2026-02,240,216,78,193,13428,4071,4959,4959,13428,7450
2026-03,240,216,78,193,17499,4565,9030,9030,17499,9708
2026-04,240,216,78,193,22064,4204,13595,13595,22064,12218
2026-05,240,216,78,193,26268,4744,17799,17799,26268,14538
2026-06,240,216,78,193,31012,4450,22543,22543,31012,17141
