scope,model,lambda2,lambda3,races,top1_pct,top2_pct,top4_pct,top6_pct,top10_pct,top20_pct
TUNE_ALL,V96,0.0,0.0,54,11.11111111111111,20.37037037037037,42.592592592592595,55.55555555555556,79.62962962962963,100.0
TUNE_ALL,PLAYER_BLEND,0.3,0.0,54,11.11111111111111,24.074074074074073,42.592592592592595,53.7037037037037,75.92592592592592,100.0
HOLD_ALL,V96,0.0,0.0,87,16.091954022988507,26.436781609195403,44.827586206896555,56.32183908045977,77.01149425287356,100.0
HOLD_ALL,PLAYER_BLEND,0.3,0.0,87,16.091954022988507,27.586206896551722,41.37931034482759,57.47126436781609,77.01149425287356,100.0
HOLD_SA,V96,0.0,0.0,40,15.0,30.0,45.0,57.5,77.5,100.0
HOLD_SA,PLAYER_BLEND,0.3,0.0,40,12.5,30.0,40.0,60.0,82.5,100.0
