R,exact3_hits,exact3_rate,second_top1,second_top2,second_top3,config,second_l2,delta_second_top2_pp,delta_exact3_pp
345,132,0.3826086956521739,0.4379310344827586,0.7172413793103448,0.8793103448275862,BASE,3.0,0.0,0.0
345,133,0.3855072463768116,0.4413793103448276,0.7206896551724138,0.8655172413793103,HEADRISK_L2_1,1.0,0.34482758620689724,0.2898550724637683
345,133,0.3855072463768116,0.44482758620689655,0.7206896551724138,0.8689655172413793,HEADRISK_L2_3,3.0,0.34482758620689724,0.2898550724637683
345,132,0.3826086956521739,0.44482758620689655,0.7172413793103448,0.8689655172413793,HEADRISK_L2_10,10.0,0.0,0.0
345,132,0.3826086956521739,0.44482758620689655,0.7206896551724138,0.8724137931034482,HEADRISK_L2_30,30.0,0.34482758620689724,0.0
