month,n,makuri,makuri_sashi,auc,logloss,accuracy,train_n,mean_p
2026-06,425,211,214,0.6402090623200603,0.6641905126122738,0.611764705882353,2858,0.47484664902244117
2026-07,470,235,235,0.6427704843820732,0.6623553842098197,0.5957446808510638,3283,0.48364256511703585
2026-08,496,266,230,0.6328048381824125,0.6660782236438177,0.5907258064516129,3753,0.4891196524112677
