comp_band,R,head4_wins,hits,head4_rate_pct,hit_rate_pct,avg_comp,return_yen,profit_yen,roi_pct
5-6,10,2,1,20.0,10.0,5.598693818930443,57960.00000000001,-42039.99999999999,57.96000000000001
8-10,13,9,5,69.23076923076923,38.46153846153847,8.77136628374894,439470.0,309470.0,338.05384615384617
6-8,19,5,2,26.31578947368421,10.526315789473683,6.757070675377105,135300.0,-54700.0,71.21052631578948
4-5,26,10,3,38.46153846153847,11.538461538461538,4.574699828586538,133070.0,-126930.0,51.18076923076923
<4,24,8,4,33.33333333333333,16.666666666666664,3.3741687052839,136850.0,-103150.0,57.020833333333336
10-12,6,5,2,83.33333333333334,33.33333333333333,10.7955597682299,225390.0,165390.0,375.65
12-15,2,1,1,50.0,50.0,14.118036224654325,133170.0,113170.0,665.85
