date,race_code,venue,race,day_cat,head,combo,score,head_prob,combo_prob,odds_pre,ev_pre,market_within_head,stake,composite_odds_race,tickets_race,hit,payout,actual_combo,stake_v8,return_v8,profit_v8
2026-08-03,202608031910,19,10R,初日,5,5-6-3,63.47,0.067,0.00123,1049.0,1.294,0.01843,100,19.33,20,0,0,1-3-2,200,0,-200
2026-08-03,202608031910,19,10R,初日,5,5-6-4,63.47,0.067,0.00174,742.0,1.294,0.02605,100,19.33,20,0,0,1-3-2,200,0,-200
2026-08-03,202608032110,21,10R,2日目,4,4-1-2,60.69,0.149,0.02389,53.4,1.276,0.16039,100,8.56,20,0,0,5-1-6,300,0,-300
2026-08-03,202608032110,21,10R,2日目,4,4-1-3,60.69,0.149,0.00473,269.9,1.276,0.03173,100,8.56,20,0,0,5-1-6,300,0,-300
2026-08-03,202608032110,21,10R,2日目,4,4-1-5,60.69,0.149,0.01017,125.4,1.276,0.0683,100,8.56,20,0,0,5-1-6,300,0,-300
2026-08-03,202608032110,21,10R,2日目,4,4-1-6,60.69,0.149,0.01391,91.7,1.276,0.0934,100,8.56,20,0,0,5-1-6,300,0,-300
2026-08-03,202608032110,21,10R,2日目,4,4-2-1,60.69,0.149,0.01512,84.4,1.276,0.10148,100,8.56,20,0,0,5-1-6,300,0,-300
2026-08-03,202608032110,21,10R,2日目,4,4-2-3,60.69,0.149,0.00412,309.5,1.276,0.02767,100,8.56,20,0,0,5-1-6,300,0,-300
2026-08-03,202608032110,21,10R,2日目,4,4-2-5,60.69,0.149,0.00698,182.7,1.276,0.04688,100,8.56,20,0,0,5-1-6,300,0,-300
2026-08-03,202608032110,21,10R,2日目,4,4-2-6,60.69,0.149,0.01342,95.1,1.276,0.09006,100,8.56,20,0,0,5-1-6,300,0,-300
2026-08-03,202608032110,21,10R,2日目,4,4-3-1,60.69,0.149,0.0028,455.2,1.276,0.01881,100,8.56,20,0,0,5-1-6,300,0,-300
2026-08-03,202608032110,21,10R,2日目,4,4-3-2,60.69,0.149,0.00275,464.3,1.276,0.01845,100,8.56,20,0,0,5-1-6,300,0,-300
2026-08-03,202608032110,21,10R,2日目,4,4-3-5,60.69,0.149,0.00198,644.8,1.276,0.01328,100,8.56,20,0,0,5-1-6,200,0,-200
2026-08-03,202608032110,21,10R,2日目,4,4-3-6,60.69,0.149,0.00242,527.6,1.276,0.01623,100,8.56,20,0,0,5-1-6,200,0,-200
2026-08-03,202608032110,21,10R,2日目,4,4-5-1,60.69,0.149,0.00693,184.2,1.276,0.0465,100,8.56,20,0,0,5-1-6,200,0,-200
2026-08-03,202608032110,21,10R,2日目,4,4-5-2,60.69,0.149,0.00594,214.9,1.276,0.03985,100,8.56,20,0,0,5-1-6,200,0,-200
2026-08-03,202608032110,21,10R,2日目,4,4-5-3,60.69,0.149,0.00192,663.3,1.276,0.01291,100,8.56,20,0,0,5-1-6,200,0,-200
2026-08-03,202608032110,21,10R,2日目,4,4-5-6,60.69,0.149,0.00429,297.6,1.276,0.02878,100,8.56,20,0,0,5-1-6,200,0,-200
2026-08-03,202608032110,21,10R,2日目,4,4-6-1,60.69,0.149,0.00902,141.5,1.276,0.06053,100,8.56,20,0,0,5-1-6,200,0,-200
2026-08-03,202608032110,21,10R,2日目,4,4-6-2,60.69,0.149,0.01221,104.5,1.276,0.08196,100,8.56,20,0,0,5-1-6,200,0,-200
