pre_cut,post_cut,target_comp,R,avg_n,avg_comp,hit_pct,roi_pct,profit_yen,R_feb_jun,roi_feb_jun_pct
0.15,0.15,5.0,396,7.207070707070707,5.0718099100678735,13.88888888888889,70.65833333333333,-1161930.0,323,70.87678018575852
0.15,0.15,5.5,396,6.421717171717172,5.448465389597785,12.626262626262626,69.54974747474748,-1205830.0,323,68.2609907120743
0.15,0.15,6.0,396,5.734848484848484,5.862644746769987,11.616161616161616,68.77146464646465,-1236650.0,323,67.59473684210526
0.15,0.15,6.5,396,5.151515151515151,6.277026043941569,11.616161616161616,71.93989898989899,-1111180.0,323,70.69040247678019
0.15,0.15,7.0,396,4.691919191919192,6.673504873060739,11.363636363636363,75.0199494949495,-989210.0,323,76.33281733746131
0.15,0.15,7.5,396,4.333333333333333,6.985408418531765,11.11111111111111,76.71363636363637,-922140.0,323,79.52445820433437
0.15,0.15,8.0,396,4.0353535353535355,7.301754679828287,11.11111111111111,80.1189393939394,-787290.0,323,82.77770897832818
0.15,0.15,8.5,396,3.775252525252525,7.657733582820586,10.85858585858586,82.72979797979798,-683900.0,323,85.97863777089783
0.15,0.15,9.0,396,3.525252525252525,8.028754630707162,10.353535353535353,81.22222222222223,-743600.0,323,83.72136222910217
0.15,0.15,9.5,396,3.3484848484848486,8.291303575813687,9.848484848484848,80.74520202020202,-762490.0,323,82.00835913312693
0.15,0.15,10.0,396,3.217171717171717,8.524316118611843,9.595959595959595,81.65151515151516,-726600.0,323,80.19876160990712
0.15,0.16,5.0,374,6.925133689839572,5.010510197211676,13.903743315508022,69.00026737967914,-1159390.0,304,69.66644736842105
0.15,0.16,5.5,374,6.152406417112299,5.3959405150577355,12.566844919786096,67.41764705882353,-1218580.0,304,66.7625
0.15,0.16,6.0,374,5.470588235294118,5.814459832323295,11.497326203208557,66.49224598930482,-1253190.0,304,65.92993421052631
0.15,0.16,6.5,374,4.898395721925134,6.228748719169707,11.497326203208557,69.33689839572193,-1146800.0,304,68.96973684210526
0.15,0.16,7.0,374,4.449197860962567,6.620464198532645,11.229946524064172,72.59812834224599,-1024830.0,304,74.96480263157895
0.15,0.16,7.5,374,4.096256684491979,6.9353501640014015,10.962566844919785,73.88128342245989,-976840.0,304,78.10657894736842
0.15,0.16,8.0,374,3.8155080213903743,7.243311308867614,10.962566844919785,77.48689839572192,-841990.0,304,81.56315789473685
0.15,0.16,8.5,374,3.572192513368984,7.605681380538654,10.695187165775401,80.25133689839572,-738600.0,304,84.9641447368421
0.15,0.16,9.0,374,3.336898395721925,7.976386766671076,10.427807486631016,80.37433155080214,-734000.0,304,85.0592105263158
0.15,0.16,9.5,374,3.1684491978609626,8.237446250233718,9.893048128342247,79.8692513368984,-752890.0,304,83.2391447368421
