month,race_code,PRE,POST,head4,train,a00_hit2,a00_ret2,a00_comp2,a00_hit3,a00_ret3,a00_comp3,a00_hit5,a00_ret5,a00_comp5,a00_hit10,a00_ret10,a00_comp10,a00_vn,a00_vhit,a00_vret,a00_vcomp,a05_hit2,a05_ret2,a05_comp2,a05_hit3,a05_ret3,a05_comp3,a05_hit5,a05_ret5,a05_comp5,a05_hit10,a05_ret10,a05_comp10,a05_vn,a05_vhit,a05_vret,a05_vcomp,a10_hit2,a10_ret2,a10_comp2,a10_hit3,a10_ret3,a10_comp3,a10_hit5,a10_ret5,a10_comp5,a10_hit10,a10_ret10,a10_comp10,a10_vn,a10_vhit,a10_vret,a10_vcomp,a15_hit2,a15_ret2,a15_comp2,a15_hit3,a15_ret3,a15_comp3,a15_hit5,a15_ret5,a15_comp5,a15_hit10,a15_ret10,a15_comp10,a15_vn,a15_vhit,a15_vret,a15_vcomp,a20_hit2,a20_ret2,a20_comp2,a20_hit3,a20_ret3,a20_comp3,a20_hit5,a20_ret5,a20_comp5,a20_hit10,a20_ret10,a20_comp10,a20_vn,a20_vhit,a20_vret,a20_vcomp,a30_hit2,a30_ret2,a30_comp2,a30_hit3,a30_ret3,a30_comp3,a30_hit5,a30_ret5,a30_comp5,a30_hit10,a30_ret10,a30_comp10,a30_vn,a30_vhit,a30_vret,a30_vcomp,a40_hit2,a40_ret2,a40_comp2,a40_hit3,a40_ret3,a40_comp3,a40_hit5,a40_ret5,a40_comp5,a40_hit10,a40_ret10,a40_comp10,a40_vn,a40_vhit,a40_vret,a40_vcomp,a00_rank,a05_rank,a10_rank,a15_rank,a20_rank,a30_rank,a40_rank
2026-02,202602010104,0.0978657220062632,0.0798260518217146,0,66,0,0.0,21.824284077892326,0,0.0,19.521366034993818,0,0.0,12.697196228119244,0,0.0,7.276675271891616,6,0,0.0,10.619559407564328,0,0.0,21.824284077892326,0,0.0,17.81247319007046,0,0.0,12.697196228119244,0,0.0,7.136471889798909,6,0,0.0,10.619559407564328,0,0.0,21.824284077892326,0,0.0,17.81247319007046,0,0.0,12.697196228119244,0,0.0,7.136471889798909,6,0,0.0,10.619559407564328,0,0.0,21.824284077892326,0,0.0,17.81247319007046,0,0.0,12.697196228119244,0,0.0,7.136471889798909,6,0,0.0,10.619559407564328,0,0.0,21.824284077892326,0,0.0,17.81247319007046,0,0.0,12.697196228119244,0,0.0,7.136471889798909,6,0,0.0,10.619559407564328,0,0.0,21.824284077892326,0,0.0,17.81247319007046,0,0.0,12.697196228119244,0,0.0,7.136471889798909,6,0,0.0,10.619559407564328,0,0.0,21.824284077892326,0,0.0,17.81247319007046,0,0.0,12.697196228119244,0,0.0,7.136471889798909,6,0,0.0,10.619559407564328,,,,,,,
2026-02,202602011007,0.3411131707056405,0.265829752967608,1,66,0,0.0,9.965550239234448,0,0.0,6.705730843528653,0,0.0,4.40647381299325,1,25000.0,2.585133833097799,2,0,0.0,9.965550239234448,0,0.0,9.965550239234448,0,0.0,6.003451237902532,0,0.0,4.40647381299325,1,25000.0,2.585133833097799,2,0,0.0,9.965550239234448,0,0.0,9.965550239234448,0,0.0,6.003451237902532,0,0.0,4.40647381299325,1,25000.0,2.585133833097799,2,0,0.0,9.965550239234448,0,0.0,9.965550239234448,0,0.0,6.003451237902532,0,0.0,3.556936398757622,1,25000.0,2.585133833097799,2,0,0.0,9.965550239234448,0,0.0,9.965550239234448,0,0.0,6.003451237902532,0,0.0,3.556936398757622,1,25000.0,2.585133833097799,2,0,0.0,9.965550239234448,0,0.0,9.965550239234448,0,0.0,6.003451237902532,0,0.0,3.556936398757622,1,25000.0,2.585133833097799,2,0,0.0,9.965550239234448,0,0.0,9.965550239234448,0,0.0,6.003451237902532,0,0.0,3.556936398757622,1,25000.0,2.473544188554497,2,0,0.0,9.965550239234448,8.0,8.0,8.0,8.0,8.0,8.0,8.0
2026-02,202602011612,0.1836099487864481,0.1842542758411148,0,66,0,0.0,17.88,0,0.0,14.191785879095525,0,0.0,9.867454820165007,0,0.0,4.732369164166032,5,0,0.0,9.867454820165007,0,0.0,17.88,0,0.0,14.191785879095525,0,0.0,9.867454820165007,0,0.0,4.732369164166032,5,0,0.0,9.867454820165007,0,0.0,20.793509127789047,0,0.0,14.191785879095525,0,0.0,9.867454820165007,0,0.0,4.732369164166032,5,0,0.0,9.867454820165007,0,0.0,20.793509127789047,0,0.0,14.191785879095525,0,0.0,8.529626193144937,0,0.0,4.732369164166033,4,0,0.0,11.454975187084493,0,0.0,20.793509127789047,0,0.0,14.191785879095525,0,0.0,8.529626193144937,0,0.0,4.732369164166033,4,0,0.0,11.454975187084493,0,0.0,20.793509127789047,0,0.0,14.191785879095525,0,0.0,8.529626193144935,0,0.0,4.732369164166032,4,0,0.0,9.95982057840774,0,0.0,20.793509127789047,0,0.0,12.815246992596586,0,0.0,8.529626193144935,0,0.0,4.732369164166032,4,0,0.0,9.95982057840774,,,,,,,
2026-02,202602020609,0.0611956750970451,0.075112457151231,0,66,0,0.0,18.45776754890679,0,0.0,9.779505789242268,0,0.0,6.81739380995647,0,0.0,5.201227127307593,3,0,0.0,9.779505789242268,0,0.0,18.45776754890679,0,0.0,9.779505789242268,0,0.0,6.81739380995647,0,0.0,5.201227127307593,3,0,0.0,9.779505789242268,0,0.0,18.45776754890679,0,0.0,9.779505789242268,0,0.0,6.81739380995647,0,0.0,5.201227127307593,3,0,0.0,9.779505789242268,0,0.0,18.45776754890679,0,0.0,9.779505789242268,0,0.0,6.81739380995647,0,0.0,5.201227127307593,3,0,0.0,9.779505789242268,0,0.0,18.45776754890679,0,0.0,9.779505789242268,0,0.0,6.81739380995647,0,0.0,5.201227127307593,3,0,0.0,9.779505789242268,0,0.0,18.45776754890679,0,0.0,9.779505789242268,0,0.0,6.81739380995647,0,0.0,5.201227127307593,3,0,0.0,9.779505789242268,0,0.0,11.672573839662448,0,0.0,9.779505789242268,0,0.0,6.81739380995647,0,0.0,5.201227127307593,3,0,0.0,9.779505789242268,,,,,,,
2026-02,202602020712,0.1402584671167934,0.122233229966174,0,66,0,0.0,22.265060240963855,0,0.0,15.424068100954344,0,0.0,8.480368132551353,0,0.0,5.378835380850927,4,0,0.0,9.55343645088872,0,0.0,22.265060240963855,0,0.0,15.424068100954344,0,0.0,8.480368132551353,0,0.0,5.378835380850927,4,0,0.0,9.55343645088872,0,0.0,22.265060240963855,0,0.0,15.424068100954344,0,0.0,8.480368132551353,0,0.0,5.378835380850927,4,0,0.0,9.55343645088872,0,0.0,22.265060240963855,0,0.0,15.424068100954344,0,0.0,8.480368132551353,0,0.0,5.378835380850927,4,0,0.0,9.55343645088872,0,0.0,22.265060240963855,0,0.0,15.424068100954344,0,0.0,8.480368132551353,0,0.0,5.378835380850927,4,0,0.0,9.55343645088872,0,0.0,20.127923627684964,0,0.0,15.424068100954344,0,0.0,8.480368132551353,0,0.0,5.378835380850928,4,0,0.0,9.55343645088872,0,0.0,20.127923627684964,0,0.0,15.424068100954344,0,0.0,8.480368132551353,0,0.0,5.604242476103113,4,0,0.0,9.55343645088872,,,,,,,
2026-02,202602021005,0.2089107522040775,0.1792406636186982,0,66,0,0.0,14.274,0,0.0,9.733574007220215,0,0.0,6.02220965453669,0,0.0,3.850935991491969,3,0,0.0,9.733574007220215,0,0.0,13.259999999999998,0,0.0,9.733574007220215,0,0.0,6.02220965453669,0,0.0,3.850935991491969,3,0,0.0,9.733574007220215,0,0.0,13.259999999999998,0,0.0,9.733574007220215,0,0.0,6.02220965453669,0,0.0,3.850935991491969,3,0,0.0,9.733574007220215,0,0.0,13.259999999999998,0,0.0,9.733574007220215,0,0.0,6.02220965453669,0,0.0,3.775801085750807,3,0,0.0,9.733574007220215,0,0.0,13.259999999999998,0,0.0,9.733574007220215,0,0.0,6.02220965453669,0,0.0,3.775801085750807,3,0,0.0,9.733574007220215,0,0.0,13.259999999999998,0,0.0,9.733574007220215,0,0.0,6.02220965453669,0,0.0,3.7758010857508078,3,0,0.0,9.733574007220215,0,0.0,13.259999999999998,0,0.0,9.733574007220215,0,0.0,6.684818380302905,0,0.0,3.775801085750807,3,0,0.0,9.733574007220215,,,,,,,
2026-02,202602021503,0.0806600145683521,0.0622799843222513,0,66,0,0.0,51.86530241018645,0,0.0,34.07015000940097,0,0.0,24.908710690410444,0,0.0,14.035867010852437,20,0,0.0,11.114714866149948,0,0.0,51.86530241018645,0,0.0,34.07015000940097,0,0.0,24.908710690410444,0,0.0,14.035867010852437,20,0,0.0,11.114714866149948,0,0.0,51.86530241018645,0,0.0,34.07015000940097,0,0.0,24.908710690410444,0,0.0,14.035867010852437,20,0,0.0,11.114714866149948,0,0.0,51.86530241018645,0,0.0,34.07015000940097,0,0.0,24.908710690410444,0,0.0,14.035867010852437,20,0,0.0,11.114714866149948,0,0.0,51.86530241018645,0,0.0,34.07015000940097,0,0.0,23.025394938457552,0,0.0,14.035867010852437,20,0,0.0,11.114714866149948,0,0.0,45.44696886947023,0,0.0,34.07015000940097,0,0.0,23.025394938457552,0,0.0,13.672043634281112,20,0,0.0,11.114714866149948,0,0.0,45.44696886947023,0,0.0,34.07015000940097,0,0.0,23.025394938457552,0,0.0,13.672043634281112,20,0,0.0,11.114714866149948,,,,,,,
2026-02,202602021504,0.1409102882115703,0.1425041038619224,0,66,0,0.0,8.935537190082645,0,0.0,7.146742209631729,0,0.0,5.250846321241013,0,0.0,2.84944942901543,2,0,0.0,8.935537190082645,0,0.0,8.935537190082645,0,0.0,7.940419220270896,0,0.0,5.250846321241013,0,0.0,2.84944942901543,2,0,0.0,8.935537190082645,0,0.0,8.935537190082645,0,0.0,7.940419220270896,0,0.0,5.250846321241013,0,0.0,2.8494494290154306,2,0,0.0,8.935537190082645,0,0.0,8.935537190082645,0,0.0,7.940419220270896,0,0.0,5.250846321241013,0,0.0,2.8494494290154306,2,0,0.0,8.935537190082645,0,0.0,13.000802752293579,0,0.0,7.940419220270896,0,0.0,5.250846321241013,0,0.0,3.20056305359519,3,0,0.0,7.940419220270896,0,0.0,13.000802752293579,0,0.0,7.940419220270896,0,0.0,5.957439621129743,0,0.0,3.20056305359519,3,0,0.0,7.940419220270896,0,0.0,13.000802752293579,0,0.0,7.940419220270896,0,0.0,5.347137440377531,0,0.0,3.099617931947063,3,0,0.0,7.940419220270896,,,,,,,
2026-02,202602030304,0.0907118034439773,0.1372198598825734,1,66,0,0.0,11.323210412147505,1,79750.0,8.020673278390836,1,55000.0,5.433086004510127,1,30250.0,3.1844847680800603,2,0,0.0,11.323210412147505,0,0.0,11.323210412147505,1,79750.0,8.020673278390836,1,55000.0,5.433086004510127,1,30250.0,3.1844847680800603,2,0,0.0,11.323210412147505,0,0.0,11.323210412147505,1,79750.0,8.020673278390836,1,55000.0,5.433086004510127,1,30250.0,3.1844847680800603,2,0,0.0,11.323210412147505,0,0.0,11.323210412147505,1,79750.0,8.020673278390836,1,55000.0,5.433086004510127,1,30250.0,3.1844847680800603,2,0,0.0,11.323210412147505,0,0.0,11.323210412147505,1,79750.0,8.020673278390836,1,55000.0,5.433086004510127,1,30250.0,3.1844847680800603,2,0,0.0,11.323210412147505,0,0.0,11.323210412147505,1,79750.0,8.020673278390836,1,55000.0,5.433086004510127,1,30250.0,3.18448476808006,2,0,0.0,11.323210412147505,0,0.0,11.323210412147505,1,79750.0,8.020673278390836,1,49500.0,4.9507281380101995,1,30250.0,3.18448476808006,2,0,0.0,11.323210412147505,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2026-02,202602040701,0.3495014603648499,0.3106367990968701,0,66,0,0.0,8.474393530997304,0,0.0,5.293118888132678,0,0.0,4.090299642470704,0,0.0,2.8465752233264063,2,0,0.0,8.474393530997304,0,0.0,8.474393530997304,0,0.0,5.293118888132678,0,0.0,4.090299642470704,0,0.0,2.8465752233264063,2,0,0.0,8.474393530997304,0,0.0,8.474393530997304,0,0.0,5.293118888132678,0,0.0,4.090299642470704,0,0.0,2.8465752233264063,2,0,0.0,8.474393530997304,0,0.0,8.474393530997304,0,0.0,5.293118888132678,0,0.0,4.090299642470704,0,0.0,2.8465752233264063,2,0,0.0,8.474393530997304,0,0.0,8.474393530997304,0,0.0,5.293118888132678,0,0.0,4.090299642470704,0,0.0,2.8465752233264063,2,0,0.0,8.474393530997304,0,0.0,8.474393530997304,0,0.0,5.293118888132678,0,0.0,4.090299642470704,0,0.0,2.947763042365535,2,0,0.0,8.474393530997304,0,0.0,8.474393530997304,0,0.0,5.293118888132678,0,0.0,4.090299642470704,0,0.0,2.947763042365535,2,0,0.0,8.474393530997304,,,,,,,
