date,race_code,venue,race,actual,pred,confidence,one_pre,m3,m3s,m4,m5,g3,g3s,g4,g5,p_1逃げ,p_3まくり,p_3まくり差し,p_4カド,p_5頭,p_その他
2026-06-01,202606010101,01,1,1逃げ,1逃げ,0.4605024601174785,29.826987260905607,24.58666666666667,43.44,31.76000000000001,33.428666666666665,-0.55,-0.45,-0.5499999999999997,-0.3273400000000001,46.050246011747845,3.413013348326191,3.5955234300062444,6.3416152463286055,10.658366388896729,29.94123557469438
2026-06-01,202606010102,01,2,その他,その他,0.32353612348044436,18.741649994038013,47.826666666666675,60.870000000000005,68.76777777777778,29.38661111111112,-0.55,-0.45,0.02969999999999995,-0.4904,24.9145982677402,7.943983379477613,8.950333149958983,22.449934230229307,3.387538624549461,32.353612348044436
2026-06-01,202606010103,01,3,3まくり,4カド,0.4236845480643447,23.16752471013383,66.18444444444445,74.63833333333334,85.31222222222222,50.209833333333336,-0.047800000000000065,-0.047800000000000065,0.28333333333333344,-0.39818000000000003,20.40714611284166,5.65359209061291,4.079191574946011,42.36845480643447,8.539412873345888,18.95220254181906
2026-06-01,202606010104,01,4,5頭,その他,0.287977527641332,20.398027271265164,47.31222222222223,60.484166666666674,45.419999999999995,35.28433333333333,-0.2166666666666665,-0.14729999999999993,-0.55,-0.48032,26.86083467857064,7.058895204089256,6.143882054221183,15.263118684001265,15.875516614984464,28.7977527641332
2026-06-01,202606010105,01,5,1逃げ,1逃げ,0.6058950825848847,45.019485216354596,80.90222222222222,85.67666666666666,35.086666666666666,29.177222222222223,0.1604,0.1604,-0.55,-0.3093333333333334,60.589508258488465,4.595750993595761,7.006430856009015,9.319070725493761,3.804720622559174,14.684518543853809
2026-06-01,202606010106,01,6,4カド,1逃げ,0.7568461470192366,47.99179973250645,34.47777777777778,50.85833333333333,24.58666666666667,17.097333333333335,-0.38333333333333336,-0.29900000000000004,-0.55,-0.5,75.68461470192366,2.0539753080703975,2.86296713842102,3.813022369436434,3.3468142818601505,12.238606200288359
2026-06-01,202606010107,01,7,1逃げ,1逃げ,0.6169185770951197,43.884678346671045,61.843333333333355,71.38250000000002,32.74,18.533888888888885,-0.04999999999999971,0.05000000000000032,-0.55,-0.5,61.691857709511964,5.22111742245478,7.678918941117861,6.560818104198794,3.0746182523317698,15.772669570384828
2026-06-01,202606010108,01,8,4カド,1逃げ,0.7092660031127346,49.8386392709656,31.759999999999994,48.81999999999999,30.677777777777777,38.21500000000001,-0.55,-0.45,-0.413,-0.27080000000000004,70.92660031127346,1.8807478955112282,2.795401741028445,3.318465609431481,6.840649064182544,14.238135378572839
2026-06-01,202606010109,01,9,その他,1逃げ,0.4722030421102676,33.07661002627025,60.99,70.74249999999999,26.89,26.084944444444446,-0.050000000000000155,0.02969999999999995,-0.55,-0.28832500000000005,47.22030421102676,6.155433086230353,7.749892873526718,6.575446126817158,4.820040303095598,27.478883399303417
2026-06-01,202606010110,01,10,1逃げ,1逃げ,0.6218718996670233,48.1306520800953,75.37777777777778,81.53333333333333,30.289999999999996,27.037166666666668,0.1166666666666667,0.21666666666666673,-0.55,-0.2644,62.18718996670233,5.166042090794937,8.661858915971228,4.932249433461354,2.4578220453632857,16.594837547706874
2026-06-01,202606010111,01,11,3まくり差し,1逃げ,0.5786486355809658,46.79009005310452,45.419999999999995,59.065,69.34444444444445,51.81566666666668,-0.55,-0.45,0.04700000000000004,-0.20667999999999997,57.86486355809658,2.989074222899236,4.406565498310574,11.685123691361191,4.938884245066284,18.11548878426614
2026-06-01,202606010112,01,12,1逃げ,1逃げ,0.45428221692019655,20.85793688363793,20.0,40.0,20.0,13.591111111111113,-0.55,-0.5,-0.55,-0.5,45.428221692019655,3.5839689493398676,3.236019625727475,7.087249128031452,7.514902533955374,33.149638070926166
2026-06-01,202606010501,05,1,1逃げ,1逃げ,0.5101845655328124,27.7138631731774,62.047777777777775,71.53583333333333,47.76777777777778,17.710833333333337,-0.17190000000000005,-0.17190000000000005,-0.38333333333333336,-0.5,51.01845655328125,6.205870882192474,6.780683934742747,9.516650782833032,2.383267277566741,24.09507056938377
2026-06-01,202606010502,05,2,3まくり,1逃げ,0.2998628749254305,21.815830275463384,33.45,50.0875,32.52777777777778,47.054833333333335,-0.55,-0.45,-0.38333333333333336,-0.34148,29.986287492543052,5.659838688984675,4.8277719941985024,2.8085446017887845,27.716757884027395,29.0007993384576
2026-06-01,202606010503,05,3,その他,1逃げ,0.5826628131393774,33.98647379110369,47.66666666666668,60.75000000000001,20.0,14.994222222222225,-0.5499999999999997,-0.4499999999999997,-0.55,-0.5,58.26628131393774,5.759989963116764,9.35382354789451,1.9982662340638773,3.048686356835627,21.572952584151462
2026-06-01,202606010504,05,4,1逃げ,その他,0.3077382828860514,17.053539024620772,20.0,40.0,82.34,53.461444444444446,-0.55,-0.5,-0.029799999999999938,-0.4247066666666667,26.93359247220845,3.715120263302262,1.8872827971627455,18.660676784566004,18.029499394155405,30.773828288605138
2026-06-01,202606010506,05,6,その他,その他,0.27038014381208564,17.27966311654289,20.0,40.0,84.62333333333333,57.81094444444445,-0.55,-0.5,0.03869999999999996,-0.4465466666666667,24.31265760078013,3.6397018580940825,1.7478098483987614,18.41352746667646,24.848288844842006,27.038014381208562
2026-06-01,202606010507,05,7,その他,1逃げ,0.7186957007688285,40.80075034840442,41.85555555555556,56.39166666666667,50.60777777777778,23.67505555555556,-0.31100000000000005,-0.31100000000000005,-0.38333333333333336,-0.5,71.86957007688285,2.2907269914190236,2.3381106352948273,6.7020980465834175,2.7779209189244556,14.021573330895409
2026-06-01,202606010508,05,8,その他,1逃げ,0.7096215093027989,48.81504360883318,27.690000000000015,45.76750000000001,94.29333333333334,43.885555555555555,-0.5499999999999997,-0.4499999999999997,0.3288,-0.35303333333333337,70.96215093027989,1.6240863310871019,1.493700275887018,10.563632982054733,1.4568534889070819,13.899575991784161
2026-06-01,202606010509,05,9,その他,1逃げ,0.6024023344441645,37.85364722048739,58.7522222222222,69.06416666666667,20.0,20.329111111111107,-0.216666666666667,-0.11666666666666697,-0.55,-0.3575,60.24023344441645,5.660468038729572,8.17998578111722,1.8704334875684792,2.768927402908515,21.27995184525977
2026-06-01,202606010510,05,10,1逃げ,1逃げ,0.786170086380577,51.16631537974603,23.52,42.64,37.693333333333335,37.20466666666666,-0.55,-0.45,-0.55,-0.31526000000000004,78.6170086380577,1.361053056335444,1.64698729715433,1.8263104256297416,4.4200352508083265,12.128605332014489
2026-06-01,202606010511,05,11,4カド,1逃げ,0.8561084898089611,58.029843421848035,58.44666666666669,68.83500000000001,26.299999999999997,29.639222222222216,-0.04999999999999971,-0.046599999999999975,-0.55,-0.29275000000000007,85.61084898089611,1.3654956371510036,1.9071051165496864,1.592346994445747,2.383276304859547,7.1409269660979104
2026-06-01,202606010512,05,12,1逃げ,1逃げ,0.6957051083883287,49.63711217865406,76.94111111111111,82.70583333333333,24.486666666666665,21.192777777777774,0.1166666666666667,0.21666666666666673,-0.55,-0.428,69.57051083883286,5.613885031991661,8.733101793457136,1.840863011679894,2.2425469773514997,11.999092346686927
2026-06-01,202606010801,08,1,1逃げ,1逃げ,0.7349534414784918,48.64678061878643,58.88888888888889,69.16666666666667,45.38333333333333,23.405166666666663,-0.5,-0.5,-0.4385,-0.47730000000000006,73.49534414784918,3.526283868307768,3.2465258256724296,6.1133490373162935,1.8350415492377696,11.783455571616562
2026-06-01,202606010802,08,2,1逃げ,1逃げ,0.5229979642000548,34.49086657032143,79.12666666666668,84.345,30.25333333333333,16.025333333333332,-0.1262000000000001,-0.1262000000000001,-0.55,-0.5,52.299796420005485,10.17210774266029,7.8458881754873335,6.758194517445134,2.7353010158952236,20.188712128506527
2026-06-01,202606010803,08,3,1逃げ,1逃げ,0.3829395746908052,27.25187851259163,26.900000000000002,45.175,69.27333333333333,45.72211111111111,-0.55,-0.45,-0.050000000000000155,-0.34788666666666673,38.29395746908052,5.248170094842973,1.8470665100955765,12.585575319428735,8.236649926457272,33.78858068009491
2026-06-01,202606010804,08,4,5頭,5頭,0.30033187536760486,26.719819279190425,20.0,40.0,68.91666666666667,60.26738888888889,-0.55,-0.5,-0.4325,-0.34975333333333336,28.51545589106921,3.2287132843344937,0.9666509823573203,13.356770163389609,30.033187536760487,23.899222142088874
2026-06-01,202606010805,08,5,1逃げ,1逃げ,0.6613843034372102,43.25596333356705,47.53333333333335,60.65000000000001,20.756666666666664,34.98138888888889,-0.374,-0.374,-0.55,-0.3343250000000001,66.13843034372103,3.339018266369314,2.02202981748952,2.9742496136487877,10.255304904599653,15.270967054171692
2026-06-01,202606010806,08,6,1逃げ,1逃げ,0.5137751917307357,42.749074015167146,72.39444444444446,79.29583333333333,66.66666666666667,44.28488888888888,0.1166666666666667,0.13850000000000007,-0.5,-0.3452533333333334,51.37751917307357,6.224365725280663,3.107968510480451,16.44394448483321,5.331879106577608,17.51432299975451
2026-06-01,202606010807,08,7,1逃げ,1逃げ,0.6387971026145456,37.454204854728154,29.82777777777778,47.37083333333333,48.09444444444444,30.159388888888884,-0.4385,-0.4385,-0.38333333333333336,-0.3611933333333334,63.87971026145456,2.380709950541099,1.0225999060820061,8.190429276762453,4.0640826934052,20.462467911754683
2026-06-01,202606010808,08,8,1逃げ,1逃げ,0.38677497400453126,30.299030505096535,53.717777777777776,65.28833333333334,70.04777777777778,39.57083333333334,-0.38333333333333336,-0.2833333333333333,0.06810000000000005,-0.43610000000000004,38.67749740045313,9.816980530105223,4.706040272991165,13.64020862828583,4.926486050609515,28.232787117555137
2026-06-01,202606010809,08,9,その他,1逃げ,0.5222239929917132,31.13283797205424,36.703333333333326,52.527499999999996,38.36666666666668,18.634777777777785,-0.55,-0.45,-0.5499999999999997,-0.5,52.222399299171315,6.296159847306059,3.7106229672192894,5.765937811679307,3.081680046545806,28.923200028078227
2026-06-01,202606010810,08,10,1逃げ,1逃げ,0.7304279314959807,51.391625417894936,48.33444444444444,61.25083333333333,47.43555555555557,35.425333333333334,-0.38333333333333336,-0.2833333333333333,-0.2166666666666665,-0.2720000000000001,73.04279314959807,3.3265632267546286,2.287763699152361,3.670760219314494,2.221970896853364,15.450148808327091
2026-06-01,202606010811,08,11,1逃げ,1逃げ,0.7348623235362765,49.782119539280224,47.055555555555564,60.29166666666668,29.72666666666667,34.00233333333333,-0.2166666666666665,-0.15500000000000003,-0.55,-0.26758000000000004,73.48623235362764,2.866321740408531,1.6933542156778785,2.777131726155984,4.335663134420225,14.84129682970975
2026-06-01,202606010812,08,12,1逃げ,1逃げ,0.7905175543199314,60.312693881223,44.61666666666665,58.46249999999999,41.74666666666666,47.00488888888889,-0.55,-0.45,-0.55,-0.17690000000000006,79.05175543199314,2.081453185632394,1.9110741446392754,2.2167705958199506,3.6447715481771095,11.094175093738123
2026-06-01,202606010901,09,1,1逃げ,1逃げ,0.5387526939973034,33.96220137470383,49.58333333333335,62.187500000000014,26.16333333333333,18.507722222222224,-0.3125,-0.3125,-0.55,-0.39499999999999996,53.87526939973034,4.97959155761949,5.19795066603425,5.80830936858343,3.253809820174657,26.885069187857823
2026-06-01,202606010902,09,2,その他,その他,0.3447088185745708,28.129139925992487,53.86555555555555,65.39916666666667,28.636666666666667,37.866499999999995,-0.2166666666666665,-0.11666666666666647,-0.55,-0.32238000000000006,30.712113215569808,9.965172170302798,8.89027006752091,4.40979070952806,11.551771979621357,34.47088185745708
2026-06-01,202606010903,09,3,1逃げ,1逃げ,0.5938875468946146,50.69696075821572,86.06,89.545,21.823333333333334,33.68361111111111,0.08179999999999998,0.08179999999999998,-0.55,-0.3778666666666667,59.388754689461464,7.118294818355081,10.272111932940208,3.6661538690271978,6.909922591055266,12.644762099160777
2026-06-01,202606010904,09,4,1逃げ,その他,0.3992645283474068,21.977126736885765,55.6788888888889,66.75916666666667,35.85111111111111,25.920555555555556,-0.2166666666666665,-0.11666666666666647,-0.38333333333333336,-0.4052333333333334,26.829514267460652,12.008252738343907,10.278689893676733,6.292073636734516,4.665016629043514,39.92645283474068
2026-06-01,202606010905,09,5,1逃げ,1逃げ,0.7995393204368696,56.94218723556028,33.95111111111111,50.463333333333324,23.500000000000014,27.983888888888895,-0.38333333333333336,-0.3148,-0.5499999999999997,-0.31374999999999986,79.95393204368696,1.6539463008828998,1.94830928962827,1.8441695753987928,2.74419161046659,11.85545117993648
2026-06-01,202606010906,09,6,1逃げ,1逃げ,0.793171366806895,59.97669919982162,26.846666666666682,45.135000000000005,61.09333333333333,39.20622222222222,-0.5499999999999997,-0.4499999999999997,-0.050000000000000155,-0.2605133333333334,79.3171366806895,1.3512844103152355,1.4659823648450998,4.208918148860207,1.474987605907823,12.181690789382136
2026-06-01,202606010907,09,7,その他,1逃げ,0.31954118690139205,24.889673038048823,35.60555555555553,51.704166666666666,61.643333333333345,45.77461111111112,-0.49850000000000005,-0.49850000000000005,-0.04999999999999971,-0.3758866666666667,31.954118690139204,4.972508993710504,3.15485656227757,16.077612946617126,12.845801356558633,30.995101450696964
2026-06-01,202606010908,09,8,1逃げ,1逃げ,0.5956856101106894,42.51070163215896,40.09333333333333,55.06999999999999,23.599999999999998,24.996,-0.55,-0.45,-0.55,-0.31300000000000006,59.568561011068944,4.325393129822923,5.902581291289081,2.577652010578952,2.8987286279471047,24.727083929293002
2026-06-01,202606010909,09,9,1逃げ,1逃げ,0.6163846759327245,54.85585000377281,62.338888888888874,71.75416666666665,53.912222222222226,47.72027777777779,-0.216666666666667,-0.11666666666666697,-0.2166666666666665,-0.3476666666666667,61.63846759327245,5.467306645326134,6.817991320852558,5.581741550123985,6.262811369289359,14.231681521135513
2026-06-01,202606010910,09,10,1逃げ,1逃げ,0.6800333242779522,51.80107570407457,28.889999999999997,46.6675,24.666666666666668,40.349333333333334,-0.55,-0.45,-0.55,-0.30500000000000005,68.00333242779521,2.485173353396866,2.8243229456331145,1.9677636073455733,8.993811530447408,15.725596135381824
2026-06-01,202606010911,09,11,1逃げ,1逃げ,0.6571782160229742,52.89026417457755,85.82222222222221,89.36666666666666,30.7,25.693222222222218,0.28333333333333344,0.30799999999999983,-0.55,-0.3433533333333334,65.71782160229742,6.053382796761773,7.7834418207541205,4.578073520130265,2.2109868665751846,13.656293393481238
2026-06-01,202606010912,09,12,1逃げ,1逃げ,0.7482383903909218,56.12537541250799,71.22111111111111,78.41583333333334,24.763333333333335,29.28838888888889,0.10329999999999995,0.10329999999999995,-0.55,-0.3042750000000001,74.82383903909218,3.327638296224409,4.10521049908214,3.2564844029668834,3.124843073940832,11.361984688693541
2026-06-01,202606011101,11,1,その他,その他,0.3933669987680577,22.72607163688794,20.95,40.7125,52.661111111111104,32.25816666666667,-0.55,-0.47150000000000003,-0.38333333333333336,-0.31938,38.899478930528545,5.313266134645187,2.3995432263383565,8.812503166492514,5.238508665189634,39.33669987680577
2026-06-01,202606011102,11,2,その他,その他,0.3588575682299926,19.826881850413113,50.13888888888888,62.60416666666666,31.71000000000001,15.270611111111116,-0.216666666666667,-0.11666666666666697,-0.5499999999999997,-0.5,32.65515411176922,13.92239594573603,7.87909852053208,5.683925823787703,3.9736687751756943,35.88575682299926
2026-06-01,202606011103,11,3,その他,その他,0.3405500594947772,26.698788685270326,46.77777777777778,60.083333333333336,61.102222222222224,40.35555555555556,-0.38333333333333336,-0.2833333333333333,-0.4336,-0.3182333333333334,33.724323110620574,9.81179165494562,5.951450255212476,10.72468039132302,5.732748638420591,34.05500594947772
2026-06-01,202606011104,11,4,その他,1逃げ,0.4896316690373707,44.657928404174804,91.9822222222222,93.98666666666665,22.600000000000012,27.855111111111114,0.283333333333333,0.383333333333333,-0.5499999999999997,-0.32774666666666674,48.96316690373707,14.974755012479951,13.74069140506911,2.5306764233419483,3.6947314951612547,16.09597876021068
2026-06-01,202606011105,11,5,1逃げ,1逃げ,0.5913578421516866,37.80972565217364,35.949999999999996,51.9625,39.30111111111111,26.588388888888886,-0.55,-0.45,-0.38333333333333336,-0.3755,59.13578421516866,5.6332484094491635,4.227807296079624,4.0703783100458155,3.4509503488069484,23.481831420449808
2026-06-01,202606011106,11,6,その他,その他,0.4074548751066552,15.392928794134953,43.543333333333344,57.657500000000006,49.98222222222221,32.01555555555555,-0.5499999999999997,-0.4499999999999997,-0.216666666666667,-0.40203333333333335,24.18908177184547,13.329837808960232,7.6704440201054895,7.893504110916512,6.171644777506766,40.74548751066552
