rule,head_q,guard_q,conf_cut,month,R,heads,head_rate,hit5,trifecta5_rate,head_wilson_lo,tri5_wilson_lo,avg_top5_mass
HGB_q0.975,0.975,,0.5,2026-03,2,1,0.5,0,0.0,0.09453120573423074,0.0,0.5331688713758995
HGB_q0.975,0.975,,0.5,2026-04,4,4,1.0,2,0.5,0.5101091635454027,0.15003898915214947,0.5187560374746039
HGB_q0.975,0.975,,0.5,2026-05,13,9,0.6923076923076923,5,0.38461538461538464,0.42369343180549035,0.17709707797762575,0.5244458446358791
HGB_q0.975,0.975,,0.5,2026-06,2,2,1.0,2,1.0,0.34238022750665303,0.34238022750665303,0.5184857350009978
HGB_q0.975,0.975,,0.55,2026-02,0,0,,0,,,,
HGB_q0.975,0.975,,0.55,2026-03,0,0,,0,,,,
HGB_q0.975,0.975,,0.55,2026-04,0,0,,0,,,,
HGB_q0.975,0.975,,0.55,2026-05,3,3,1.0,2,0.6666666666666666,0.4385029682449546,0.2076596008020477,0.5564168427934479
HGB_q0.975,0.975,,0.55,2026-06,0,0,,0,,,,
HGB_q0.975,0.975,,0.6,2026-02,0,0,,0,,,,
HGB_q0.975,0.975,,0.6,2026-03,0,0,,0,,,,
HGB_q0.975,0.975,,0.6,2026-04,0,0,,0,,,,
HGB_q0.975,0.975,,0.6,2026-05,0,0,,0,,,,
HGB_q0.975,0.975,,0.6,2026-06,0,0,,0,,,,
HGB_q0.975,0.975,,0.65,2026-02,0,0,,0,,,,
HGB_q0.975,0.975,,0.65,2026-03,0,0,,0,,,,
HGB_q0.975,0.975,,0.65,2026-04,0,0,,0,,,,
HGB_q0.975,0.975,,0.65,2026-05,0,0,,0,,,,
HGB_q0.975,0.975,,0.65,2026-06,0,0,,0,,,,
HGB_q0.975,0.975,,0.7,2026-02,0,0,,0,,,,
HGB_q0.975,0.975,,0.7,2026-03,0,0,,0,,,,
HGB_q0.975,0.975,,0.7,2026-04,0,0,,0,,,,
HGB_q0.975,0.975,,0.7,2026-05,0,0,,0,,,,
HGB_q0.975,0.975,,0.7,2026-06,0,0,,0,,,,
HGB_q0.975,0.975,,0.75,2026-02,0,0,,0,,,,
HGB_q0.975,0.975,,0.75,2026-03,0,0,,0,,,,
HGB_q0.975,0.975,,0.75,2026-04,0,0,,0,,,,
HGB_q0.975,0.975,,0.75,2026-05,0,0,,0,,,,
HGB_q0.975,0.975,,0.75,2026-06,0,0,,0,,,,
HGB_q0.985,0.985,,0.0,2026-02,8,6,0.75,1,0.125,0.40927543031016883,0.02241749145005667,0.432164782313211
HGB_q0.985,0.985,,0.0,2026-03,3,3,1.0,0,0.0,0.4385029682449546,5.551115123125783e-17,0.45598325100626474
HGB_q0.985,0.985,,0.0,2026-04,30,30,1.0,15,0.5,0.8864866068260312,0.33154125640533766,0.4077136937794978
HGB_q0.985,0.985,,0.0,2026-05,64,56,0.875,32,0.5,0.7722543817887005,0.3810209474394701,0.41123309157719595
HGB_q0.985,0.985,,0.0,2026-06,51,45,0.8823529411764706,23,0.45098039215686275,0.7661915568567753,0.3226751854937402,0.41239747651637015
HGB_q0.985,0.985,,0.45,2026-02,2,1,0.5,0,0.0,0.09453120573423074,0.0,0.46629165980107845
HGB_q0.985,0.985,,0.45,2026-03,1,1,1.0,0,0.0,0.20654931437723745,0.0,0.5292685388486121
HGB_q0.985,0.985,,0.45,2026-04,5,5,1.0,3,0.6,0.5655175352168251,0.2307242812760128,0.4881212903506073
HGB_q0.985,0.985,,0.45,2026-05,11,11,1.0,7,0.6363636363636364,0.7411670330319684,0.35380117450784887,0.4812964633070463
HGB_q0.985,0.985,,0.45,2026-06,10,8,0.8,5,0.5,0.49016247153664183,0.236593090512564,0.46838983041792215
HGB_q0.985,0.985,,0.5,2026-02,0,0,,0,,,,
HGB_q0.985,0.985,,0.5,2026-03,1,1,1.0,0,0.0,0.20654931437723745,0.0,0.5292685388486121
HGB_q0.985,0.985,,0.5,2026-04,2,2,1.0,0,0.0,0.34238022750665303,0.0,0.5226272611556129
HGB_q0.985,0.985,,0.5,2026-05,3,3,1.0,1,0.3333333333333333,0.4385029682449546,0.06149194472039621,0.5116119089711822
HGB_q0.985,0.985,,0.5,2026-06,1,1,1.0,1,1.0,0.20654931437723745,0.20654931437723745,0.5064044388946933
HGB_q0.985,0.985,,0.55,2026-02,0,0,,0,,,,
HGB_q0.985,0.985,,0.55,2026-03,0,0,,0,,,,
HGB_q0.985,0.985,,0.55,2026-04,0,0,,0,,,,
HGB_q0.985,0.985,,0.55,2026-05,0,0,,0,,,,
HGB_q0.985,0.985,,0.55,2026-06,0,0,,0,,,,
HGB_q0.985,0.985,,0.6,2026-02,0,0,,0,,,,
HGB_q0.985,0.985,,0.6,2026-03,0,0,,0,,,,
HGB_q0.985,0.985,,0.6,2026-04,0,0,,0,,,,
HGB_q0.985,0.985,,0.6,2026-05,0,0,,0,,,,
HGB_q0.985,0.985,,0.6,2026-06,0,0,,0,,,,
HGB_q0.985,0.985,,0.65,2026-02,0,0,,0,,,,
HGB_q0.985,0.985,,0.65,2026-03,0,0,,0,,,,
HGB_q0.985,0.985,,0.65,2026-04,0,0,,0,,,,
HGB_q0.985,0.985,,0.65,2026-05,0,0,,0,,,,
HGB_q0.985,0.985,,0.65,2026-06,0,0,,0,,,,
HGB_q0.985,0.985,,0.7,2026-02,0,0,,0,,,,
HGB_q0.985,0.985,,0.7,2026-03,0,0,,0,,,,
HGB_q0.985,0.985,,0.7,2026-04,0,0,,0,,,,
HGB_q0.985,0.985,,0.7,2026-05,0,0,,0,,,,
HGB_q0.985,0.985,,0.7,2026-06,0,0,,0,,,,
HGB_q0.985,0.985,,0.75,2026-02,0,0,,0,,,,
HGB_q0.985,0.985,,0.75,2026-03,0,0,,0,,,,
HGB_q0.985,0.985,,0.75,2026-04,0,0,,0,,,,
HGB_q0.985,0.985,,0.75,2026-05,0,0,,0,,,,
HGB_q0.985,0.985,,0.75,2026-06,0,0,,0,,,,
HGB_q0.990,0.99,,0.0,2026-02,3,2,0.6666666666666666,1,0.3333333333333333,0.2076596008020477,0.06149194472039621,0.4245594425093673
HGB_q0.990,0.99,,0.0,2026-03,0,0,,0,,,,
HGB_q0.990,0.99,,0.0,2026-04,14,14,1.0,5,0.35714285714285715,0.7846891972623643,0.1634473175355414,0.4028708536602609
HGB_q0.990,0.99,,0.0,2026-05,40,36,0.9,22,0.55,0.7694822477247771,0.39829091798932054,0.41419910651400454
HGB_q0.990,0.99,,0.0,2026-06,36,32,0.8888888888888888,15,0.4166666666666667,0.7468519140963513,0.2714056205144606,0.4120830842642447
HGB_q0.990,0.99,,0.45,2026-02,0,0,,0,,,,
HGB_q0.990,0.99,,0.45,2026-03,0,0,,0,,,,
