role,feature,category,n_long,races,direction,auc_oriented,top1_pct,top2_pct,month_positive,month_seen,month_consistency,month_auc
SECOND,pref_vh_p12_turn,PRIOR_EXHIBITION,705,141,high,0.5386612846436296,24.822695035460992,43.97163120567376,4,5,0.8,2026-02:0.495;2026-03:0.511;2026-04:0.515;2026-05:0.517;2026-06:0.652
SECOND,pref_gh_p12_turn,PRIOR_EXHIBITION,705,141,high,0.5385543986720991,21.98581560283688,46.808510638297875,4,5,0.8,2026-02:0.536;2026-03:0.516;2026-04:0.521;2026-05:0.498;2026-06:0.622
SECOND,pref_gh_p2_display,PRIOR_EXHIBITION,705,141,high,0.5384600875207485,23.404255319148938,43.262411347517734,4,5,0.8,2026-02:0.463;2026-03:0.585;2026-04:0.540;2026-05:0.564;2026-06:0.558
SECOND,pref_vh_p2_overall,PRIOR_EXHIBITION,705,141,high,0.5370202706101302,23.404255319148938,48.93617021276596,3,5,0.6,2026-02:0.537;2026-03:0.454;2026-04:0.490;2026-05:0.574;2026-06:0.611
SECOND,pref_gh_p12_overall,PRIOR_EXHIBITION,705,141,high,0.5340714752779034,21.27659574468085,43.97163120567376,3,5,0.6,2026-02:0.535;2026-03:0.486;2026-04:0.518;2026-05:0.495;2026-06:0.638
SECOND,pref_vh_p2_display,PRIOR_EXHIBITION,705,141,high,0.5309969317438761,26.24113475177305,48.93617021276596,4,5,0.8,2026-02:0.475;2026-03:0.550;2026-04:0.541;2026-05:0.550;2026-06:0.530
SECOND,pref_vh_p12_overall,PRIOR_EXHIBITION,705,141,high,0.5298023238267693,22.69503546099291,42.5531914893617,3,5,0.6,2026-02:0.495;2026-03:0.486;2026-04:0.516;2026-05:0.501;2026-06:0.657
SECOND,pref_vh_p1_turn,PRIOR_EXHIBITION,705,141,high,0.5268723907248126,21.98581560283688,44.680851063829785,2,5,0.4,2026-02:0.487;2026-03:0.508;2026-04:0.488;2026-05:0.485;2026-06:0.664
SECOND,pref_gh_p1_turn,PRIOR_EXHIBITION,705,141,high,0.5224523414315175,21.27659574468085,44.680851063829785,3,5,0.6,2026-02:0.502;2026-03:0.513;2026-04:0.495;2026-05:0.475;2026-06:0.615
SECOND,pref_gh_delta_overall,PRIOR_EXHIBITION,705,141,low,0.5208742014989185,21.27659574468085,43.262411347517734,3,5,0.6,2026-02:0.561;2026-03:0.484;2026-04:0.513;2026-05:0.566;2026-06:0.463
