month,variant,n,auc,logloss,accuracy,train_n,mean_p
2026-06,base,425,0.6402090623200603,0.6641905126122738,0.611764705882353,2858,0.47484664902244117
2026-06,style,425,0.6738051999822828,0.6472642984930904,0.6258823529411764,2858,0.4916047578483286
2026-06,prevex,425,0.6297780927492581,0.6707601115945849,0.6,2858,0.47499455129179174
2026-06,both,425,0.6596979226646587,0.6539738879068179,0.6305882352941177,2858,0.49179781687772595
2026-07,base,470,0.6427704843820732,0.6623553842098197,0.5957446808510638,3283,0.48364256511703585
2026-07,style,470,0.6619646899049344,0.6523850786535305,0.6148936170212767,3283,0.517600734537896
2026-07,prevex,470,0.6448890900860118,0.6619826908274243,0.6021276595744681,3283,0.48483254540904186
2026-07,both,470,0.6605522861023088,0.6523091403008224,0.6042553191489362,3283,0.5183587657251603
2026-08,base,496,0.6328048381824125,0.6660782236438177,0.5907258064516129,3753,0.4891196524112677
2026-08,style,496,0.6455214122262177,0.6653688595939288,0.5907258064516129,3753,0.5173608482188392
2026-08,prevex,496,0.642644655116051,0.6633026080354972,0.6028225806451613,3753,0.4905655760874619
2026-08,both,496,0.6520431513566525,0.6633834653672085,0.6108870967741935,3753,0.5182659915795536
