month,feature,beta
2026-03,t_cur_orig_lap__vs4,0.3157438059002922
2026-03,t_cur_orig_lap__abs4,-0.2216366959695126
2026-03,t_cur_orig_turn__vs4,-0.3610221226425897
2026-03,t_cur_orig_turn__abs4,-0.05151405919193528
2026-03,t_cur_orig_straight__vs4,0.04804111844890326
2026-03,t_cur_orig_straight__abs4,0.31065122141076057
2026-03,t_cur_orig_avg__vs4,0.06293881228913452
2026-03,t_cur_orig_avg__abs4,-0.09337374739760246
2026-03,t_h4_attack_x_is_inner123,0.27682948250161954
2026-03,t_h4_attack_x_is_outer56,-0.2750307352059438
2026-03,t_h4_attack_x_is_inner_edge3,-0.059997752312313926
2026-03,t_h4_attack_x_is_outer_edge5,0.3802895283415014
2026-03,t_h4_attack_x_cur_orig_lap,-0.8304661965199749
2026-03,t_h4_attack_x_cur_orig_turn,0.5026592804072679
2026-03,t_h4_attack_x_cur_orig_straight,-0.2416709525345958
2026-03,t_h4_attack_x_cur_st,1.2268785320036968
2026-03,pair_same_side4,0.05279113450276892
2026-03,pair_second_inner,-7.334395966478082e-16
2026-03,pair_second_outer,-6.99668221123555e-16
2026-03,pair_third_inner,-0.07942012327371342
2026-03,pair_third_outer,0.07942012327371299
2026-03,pair_adjacent,0.45146991997259045
2026-03,pair_distance,0.17091026372700194
2026-03,pair_third_minus_second,0.044035987274044536
2026-03,pair_second_is1,5.35623600178266e-16
2026-03,pair_second_is2,6.401542530031737e-16
2026-03,pair_second_is3,-1.8752779877480397e-16
2026-03,pair_second_is5,-7.362352940778873e-16
2026-03,pair_second_is6,7.696206590665851e-16
2026-04,t_v93_grade,-0.2807247856330488
2026-04,t_v93_national,0.8163887044342129
2026-04,t_v93_local,0.2966023394532469
2026-04,t_v93_motor,0.19239485698364103
2026-04,t_v93_nst,-0.44003454479182635
2026-04,t_pos_boat_number,0.014450171344541534
2026-04,t_pos_inside4,-0.044458121643350196
2026-04,t_pos_outside4,0.044458121643348815
2026-04,t_pos_distance4,0.04436694553486372
2026-04,t_cur_ex,-0.162455565059921
2026-04,t_cur_st,0.14481722303562664
2026-04,t_cur_orig_lap,0.583083335078706
2026-04,t_cur_orig_turn,0.08045006158303206
2026-04,t_cur_orig_straight,0.4986573838816889
2026-04,t_cur_orig_avg,-0.21099695184097528
2026-04,t_pref_pl_all_p2,0.31107584042304215
2026-04,t_pref_pl_all_win,-0.03201064396532739
2026-04,t_pref_pl_frame_p2,0.04730203189946811
2026-04,t_pref_pl_recent_p2,-0.27089181568091164
2026-04,t_pref_pl_frame_win,-0.10451499456743586
2026-04,t_suf_st_raw,-0.4376603510837425
2026-04,t_suf_st_raw_strength,0.14481722303561761
2026-04,t_suf_st_raw_rank,0.5838883085449644
2026-04,t_suf_st_corr_strength,-0.21615196787696578
2026-04,t_suf_st_corr_rank,0.9000760773076989
2026-04,t_is_boat1,0.0697579387266686
2026-04,t_is_boat2,-0.07052835052428828
2026-04,t_is_boat3,-0.04911972506976206
2026-04,t_is_boat5,0.03607173071333575
2026-04,t_is_boat6,0.01820462765753565
2026-04,t_is_inner123,-0.044458121643350196
2026-04,t_is_outer56,0.044458121643348815
2026-04,t_is_inner_edge3,-0.04911972506976206
2026-04,t_is_outer_edge5,0.03607173071333575
2026-04,t_h4_attack,-2.6634669427317543e-15
2026-04,t_h4_turning,-1.676400946226852e-16
2026-04,t_cur_ex__vs4,-0.09919924187998758
2026-04,t_cur_ex__abs4,-0.1282862336667119
2026-04,t_cur_st__vs4,0.09042675040026722
2026-04,t_cur_st__abs4,0.28398521800998316
2026-04,t_cur_orig_lap__vs4,0.39232480420659216
2026-04,t_cur_orig_lap__abs4,-0.2037510597863522
2026-04,t_cur_orig_turn__vs4,0.05730660659986101
2026-04,t_cur_orig_turn__abs4,0.05876710611648078
2026-04,t_cur_orig_straight__vs4,0.33517017061136317
2026-04,t_cur_orig_straight__abs4,0.1575879665212047
2026-04,t_cur_orig_avg__vs4,-0.14123647874217138
2026-04,t_cur_orig_avg__abs4,-0.19876651611047125
2026-04,t_h4_attack_x_is_inner123,0.08610218174649435
2026-04,t_h4_attack_x_is_outer56,-0.08646466089118725
2026-04,t_h4_attack_x_is_inner_edge3,0.2347066640822724
2026-04,t_h4_attack_x_is_outer_edge5,0.2742724613394977
2026-04,t_h4_attack_x_cur_orig_lap,-0.7962671537074844
2026-04,t_h4_attack_x_cur_orig_turn,-0.08280254240682364
2026-04,t_h4_attack_x_cur_orig_straight,-0.7810596791379234
2026-04,t_h4_attack_x_cur_st,1.0644230831687314
2026-04,pair_same_side4,-0.06723659940598078
2026-04,pair_second_inner,3.915082200830158e-15
2026-04,pair_second_outer,-3.915082200830158e-15
2026-04,pair_third_inner,-0.044458121643350196
2026-04,pair_third_outer,0.044458121643348815
2026-04,pair_adjacent,0.5171698512132917
2026-04,pair_distance,0.2862590642749247
2026-04,pair_third_minus_second,0.008948835410452542
2026-04,pair_second_is1,1.3085062139139485e-15
2026-04,pair_second_is2,1.579539374312205e-15
2026-04,pair_second_is3,-4.2359659592373496e-16
2026-04,pair_second_is5,-1.995081659175232e-15
2026-04,pair_second_is6,-1.2733148579713153e-15
2026-05,t_v93_grade,-0.17593263447322663
2026-05,t_v93_national,0.6717884520864346
2026-05,t_v93_local,0.32054501068663266
2026-05,t_v93_motor,0.10181517297457059
2026-05,t_v93_nst,-0.44222163112562207
2026-05,t_pos_boat_number,-0.02258959095878445
2026-05,t_pos_inside4,-0.04569808337203293
2026-05,t_pos_outside4,0.04569808337203293
2026-05,t_pos_distance4,0.10156986117862651
2026-05,t_cur_ex,-0.07351864672593196
2026-05,t_cur_st,0.005423322434799013
2026-05,t_cur_orig_lap,0.504366112764391
2026-05,t_cur_orig_turn,0.08270766377457411
2026-05,t_cur_orig_straight,0.5760416741823765
2026-05,t_cur_orig_avg,-0.21287723416481108
2026-05,t_pref_pl_all_p2,0.45726802353207346
2026-05,t_pref_pl_all_win,0.01947317162527847
2026-05,t_pref_pl_frame_p2,-0.05956547519038564
2026-05,t_pref_pl_recent_p2,-0.39047631183730547
2026-05,t_pref_pl_frame_win,-0.13320681198052778
2026-05,t_suf_st_raw,-0.4772929849855746
2026-05,t_suf_st_raw_strength,0.0054233224347948125
2026-05,t_suf_st_raw_rank,0.6604829693219935
2026-05,t_suf_st_corr_strength,-0.15527900643490639
2026-05,t_suf_st_corr_rank,0.7966418097557114
2026-05,t_is_boat1,0.11422879747637145
2026-05,t_is_boat2,-0.013606753817297701
2026-05,t_is_boat3,-0.14404147342444829
2026-05,t_is_boat5,0.07212545769240097
2026-05,t_is_boat6,-0.015455202606156366
2026-05,t_is_inner123,-0.04569808337203293
2026-05,t_is_outer56,0.04569808337203293
2026-05,t_is_inner_edge3,-0.14404147342444829
2026-05,t_is_outer_edge5,0.07212545769240097
2026-05,t_h4_attack,-4.28470683754769e-16
2026-05,t_h4_turning,9.478312268789032e-16
2026-05,t_cur_ex__vs4,-0.037566283863565905
2026-05,t_cur_ex__abs4,-0.00030450837350383283
2026-05,t_cur_st__vs4,-0.0011253370895011607
2026-05,t_cur_st__abs4,0.30267351853738866
2026-05,t_cur_orig_lap__vs4,0.34068902853504257
2026-05,t_cur_orig_lap__abs4,-0.22844404486477518
2026-05,t_cur_orig_turn__vs4,0.057888129352591446
2026-05,t_cur_orig_turn__abs4,0.05143893565876616
2026-05,t_cur_orig_straight__vs4,0.39534744949809064
2026-05,t_cur_orig_straight__abs4,0.09958855419847214
2026-05,t_cur_orig_avg__vs4,-0.1449561763699797
2026-05,t_cur_orig_avg__abs4,-0.026012387700826183
2026-05,t_h4_attack_x_is_inner123,0.017914240927348113
2026-05,t_h4_attack_x_is_outer56,-0.01805604732464245
2026-05,t_h4_attack_x_is_inner_edge3,0.37808727582740737
2026-05,t_h4_attack_x_is_outer_edge5,0.18219094223419152
2026-05,t_h4_attack_x_cur_orig_lap,-0.6780323153072456
2026-05,t_h4_attack_x_cur_orig_turn,-0.15780414576157895
2026-05,t_h4_attack_x_cur_orig_straight,-0.8393291766649381
2026-05,t_h4_attack_x_cur_st,1.1517932153534558
2026-05,pair_same_side4,0.34187241539017943
2026-05,pair_second_inner,-1.0971061401958916e-15
2026-05,pair_second_outer,1.0971061401958916e-15
2026-05,pair_third_inner,-0.04569808337203293
2026-05,pair_third_outer,0.04569808337203293
2026-05,pair_adjacent,0.15939608557016555
2026-05,pair_distance,0.34634953101851207
2026-05,pair_third_minus_second,-0.014072540254446821
2026-05,pair_second_is1,1.489072721314261e-16
2026-05,pair_second_is2,-2.2042623833916548e-16
2026-05,pair_second_is3,-1.0645685114200501e-15
2026-05,pair_second_is5,-1.7574133559994815e-16
2026-05,pair_second_is6,1.652743516770867e-15
2026-06,t_v93_grade,-0.002333845158559709
2026-06,t_v93_national,0.46188087804525335
2026-06,t_v93_local,0.20738599844030217
2026-06,t_v93_motor,0.15753618048677334
2026-06,t_v93_nst,-0.347418996715753
2026-06,t_pos_boat_number,0.03418684180775288
2026-06,t_pos_inside4,-0.0809895214289782
2026-06,t_pos_outside4,0.0809895214289761
2026-06,t_pos_distance4,0.12004405940707773
2026-06,t_cur_ex,-0.01262752527541878
2026-06,t_cur_st,0.013316082993872417
2026-06,t_cur_orig_lap,0.39785794165560573
2026-06,t_cur_orig_turn,-0.1077131394928113
2026-06,t_cur_orig_straight,0.5816389269216485
2026-06,t_cur_orig_avg,-0.20051991078835169
2026-06,t_pref_pl_all_p2,0.25092238288367236
2026-06,t_pref_pl_all_win,-0.07213741201034689
2026-06,t_pref_pl_frame_p2,0.03914821520191691
2026-06,t_pref_pl_recent_p2,-0.14235396259853014
2026-06,t_pref_pl_frame_win,-0.10464734109066468
2026-06,t_suf_st_raw,-0.41573706615960715
2026-06,t_suf_st_raw_strength,0.01331608299386876
2026-06,t_suf_st_raw_rank,0.6643789363309471
2026-06,t_suf_st_corr_strength,0.0013641681111838107
2026-06,t_suf_st_corr_rank,0.673086020773504
2026-06,t_is_boat1,0.09214581011535315
2026-06,t_is_boat2,-0.04066018659833276
2026-06,t_is_boat3,-0.1392050990581913
2026-06,t_is_boat5,0.013589009626335885
2026-06,t_is_boat6,0.08362626738115289
2026-06,t_is_inner123,-0.0809895214289782
2026-06,t_is_outer56,0.0809895214289761
2026-06,t_is_inner_edge3,-0.1392050990581913
2026-06,t_is_outer_edge5,0.013589009626335885
2026-06,t_h4_attack,2.127671010883058e-16
2026-06,t_h4_turning,7.556562150079294e-16
2026-06,t_cur_ex__vs4,0.02649705781243609
2026-06,t_cur_ex__abs4,0.04002551697187858
2026-06,t_cur_st__vs4,-0.007610982395148291
2026-06,t_cur_st__abs4,0.2563586309408117
2026-06,t_cur_orig_lap__vs4,0.2763846476496792
