grade,subset,races,hits7,trifecta_hit_rate_pct,odds_races,odds_coverage_pct,avg_composite_odds7,median_composite_odds7
A,B1_vs_A1A2x3,9,3,33.333333333333336,9,100.0,1.5604989951465904,1.4486272559165487
A,A2_vs_A1x3,9,1,11.11111111111111,8,88.88888888888889,1.7789307433385708,1.6340950132116583
A,UNION,18,4,22.22222222222222,17,94.44444444444444,1.6632904060604636,1.4486272559165487
S,B1_vs_A1A2x3,2,2,100.0,2,100.0,1.4166123206487287,1.4166123206487287
S,A2_vs_A1x3,2,0,0.0,2,100.0,1.2615695185651514,1.2615695185651514
S,UNION,4,2,50.0,4,100.0,1.33909091960694,1.2615695185651514
