variant,date,race_code,p,head_hit
CURRENT,2026-09-01,202609010501,0.603069807582692,1
CURRENT,2026-09-01,202609010502,0.28681840471570413,0
CURRENT,2026-09-01,202609010503,0.5119414634167309,0
CURRENT,2026-09-01,202609010504,0.8076584924619795,1
CURRENT,2026-09-01,202609010505,0.34075989590101086,0
CURRENT,2026-09-01,202609010506,0.4145816355884853,1
CURRENT,2026-09-01,202609010507,0.6812067913775598,1
CURRENT,2026-09-01,202609010508,0.24505539878687982,0
CURRENT,2026-09-01,202609010509,0.704604545897504,0
CURRENT,2026-09-01,202609010510,0.7522683471997391,1
CURRENT,2026-09-01,202609010511,0.8193024367969814,1
CURRENT,2026-09-01,202609010512,0.800915504113755,0
CURRENT,2026-09-01,202609010601,0.4728245562347511,1
CURRENT,2026-09-01,202609010602,0.11096752442532488,0
CURRENT,2026-09-01,202609010603,0.221595671564877,0
CURRENT,2026-09-01,202609010604,0.8050754944763007,1
CURRENT,2026-09-01,202609010605,0.4080944069540021,0
CURRENT,2026-09-01,202609010606,0.11711853892073028,0
CURRENT,2026-09-01,202609010607,0.413927331121015,1
CURRENT,2026-09-01,202609010608,0.620392671657763,1
CURRENT,2026-09-01,202609010609,0.7360060951945271,0
CURRENT,2026-09-01,202609010610,0.36310344364112745,1
CURRENT,2026-09-01,202609010611,0.5502201309037179,1
CURRENT,2026-09-01,202609010612,0.7625164965113339,1
CURRENT,2026-09-01,202609010701,0.40002106649212005,0
CURRENT,2026-09-01,202609010702,0.4197865603355036,0
CURRENT,2026-09-01,202609010703,0.7303255069940054,0
CURRENT,2026-09-01,202609010704,0.8628056127844344,1
CURRENT,2026-09-01,202609010705,0.6871408713184545,1
CURRENT,2026-09-01,202609010706,0.7525013036044556,0
CURRENT,2026-09-01,202609010707,0.6675257998283145,1
CURRENT,2026-09-01,202609010708,0.8074322566888562,0
CURRENT,2026-09-01,202609010709,0.7674835912271447,1
CURRENT,2026-09-01,202609010710,0.8644848041031246,1
CURRENT,2026-09-01,202609010711,0.7096741683558104,0
CURRENT,2026-09-01,202609010712,0.8030205470743973,0
CURRENT,2026-09-01,202609010801,0.7285909613099523,0
CURRENT,2026-09-01,202609010802,0.3446952632979405,0
CURRENT,2026-09-01,202609010803,0.38751796246332026,0
CURRENT,2026-09-01,202609010804,0.6076546488045023,1
CURRENT,2026-09-01,202609010805,0.6982450607835406,0
CURRENT,2026-09-01,202609010806,0.661778873094811,1
CURRENT,2026-09-01,202609010807,0.40521663753328907,1
CURRENT,2026-09-01,202609010808,0.2309668886657547,0
CURRENT,2026-09-01,202609010809,0.3707270313727492,0
CURRENT,2026-09-01,202609010810,0.7138070624443176,1
CURRENT,2026-09-01,202609010811,0.5809609270802845,1
CURRENT,2026-09-01,202609010812,0.7464509258373231,1
CURRENT,2026-09-01,202609011201,0.7417128561793398,1
CURRENT,2026-09-01,202609011202,0.5584185186945476,1
CURRENT,2026-09-01,202609011203,0.3495128816725856,0
CURRENT,2026-09-01,202609011204,0.3107165004442078,0
CURRENT,2026-09-01,202609011205,0.7916890687913142,1
CURRENT,2026-09-01,202609011206,0.3689495361815623,0
CURRENT,2026-09-01,202609011207,0.6508510148730191,1
CURRENT,2026-09-01,202609011208,0.6020614384681898,1
CURRENT,2026-09-01,202609011209,0.5560636557038992,1
CURRENT,2026-09-01,202609011210,0.7312063426390304,1
CURRENT,2026-09-01,202609011211,0.5389859501585555,0
CURRENT,2026-09-01,202609011212,0.6065166295455467,1
CURRENT,2026-09-01,202609011301,0.46646138667654524,0
CURRENT,2026-09-01,202609011302,0.4968798901792139,1
CURRENT,2026-09-01,202609011303,0.26524921767805215,0
CURRENT,2026-09-01,202609011304,0.5353276778520554,0
CURRENT,2026-09-01,202609011305,0.3058925316764205,0
CURRENT,2026-09-01,202609011306,0.8119998338190348,0
CURRENT,2026-09-01,202609011307,0.610538599762709,0
CURRENT,2026-09-01,202609011308,0.3250077375065761,0
CURRENT,2026-09-01,202609011309,0.526956611485511,0
CURRENT,2026-09-01,202609011310,0.7855289559816518,1
CURRENT,2026-09-01,202609011311,0.7639786931801374,1
CURRENT,2026-09-01,202609011312,0.7073770484489675,0
CURRENT,2026-09-01,202609011601,0.8635655620915249,1
CURRENT,2026-09-01,202609011602,0.30071657368483334,0
CURRENT,2026-09-01,202609011603,0.19559572153815075,0
CURRENT,2026-09-01,202609011604,0.5702140081760084,0
CURRENT,2026-09-01,202609011605,0.24856314534340018,0
CURRENT,2026-09-01,202609011606,0.3953928240997102,0
CURRENT,2026-09-01,202609011607,0.8036971664246777,0
CURRENT,2026-09-01,202609011608,0.3981643161284942,0
CURRENT,2026-09-01,202609011609,0.8010247386785325,1
CURRENT,2026-09-01,202609011610,0.4205726621460233,0
CURRENT,2026-09-01,202609011611,0.732199058251455,0
