date,race_code,boat,racer_id,course,ex_st,actual_st,fstate,neighbor_ctx,hist_player_n,hist_course_n,hist_fstate_n,hist_neighbor_n,hist_meet_n,pred_player,pred_player_course,pred_player_fstate,pred_player_neighbor,pred_player_meet
2026-07-01,202607011001,1,5051,1,0.02,0.13,N,EDGE,42,12,33,22,6,0.08890380094498121,0.06463460031499374,0.05906212322230481,0.07476510020249597,0.07156152037799249
2026-07-01,202607011001,2,5263,2,0.09,0.19,N,MIXED,30,6,27,15,6,0.17857494122847556,0.17428747061423777,0.17580150446578346,0.16483093558908823,0.17942997649139025
2026-07-01,202607011001,3,5333,3,0.09,0.24,N,MIXED,33,6,29,18,6,0.17704645695672144,0.1501898951450274,0.16835082119258082,0.179678280905847,0.20081858278268855
2026-07-01,202607011001,4,4565,4,0.09,0.19,N,MIXED,36,5,28,11,6,0.1515869054160657,0.17904740295421764,0.12116239507342336,0.16526596661743495,0.11563476216642628
2026-07-01,202607011001,5,4186,5,0.08,0.25,N,MIXED,25,6,22,11,6,0.16037136140397207,0.17935234736865271,0.1393652917294226,0.1654251863778725,0.14414854456158882
2026-07-01,202607011001,6,5447,6,0.23,0.21,N,EDGE,19,19,17,19,6,0.28803440169444905,0.2835282564066678,0.266878539572465,0.2835282564066678,0.34021376067777964
2026-07-01,202607012301,1,4977,1,0.06,0.36,N,EDGE,40,8,35,13,6,0.12505995298278044,0.11788283699262019,0.11415511507065079,0.1447557746261412,0.14902398119311216
2026-07-01,202607012301,2,4071,2,0.19,0.36,N,BOTH_FASTER,31,4,29,6,6,0.23763408900339078,0.2455804534020345,0.22502298668629556,0.18798371116836207,0.2840536356013563
2026-07-01,202607012301,3,3568,3,0.07,0.15,N,BOTH_SLOWER,30,8,28,4,6,0.13532494122847558,0.15585354624077524,0.12623381315796628,0.14519496473708535,0.10912997649139024
2026-07-01,202607012301,4,5201,4,0.17,0.2,N,MIXED,26,4,20,6,6,0.2461943791427506,0.22771662748565036,0.2245063951867886,0.23893052290470865,0.21847775165710026
2026-07-01,202607012301,5,4271,5,0.15,0.22,N,MIXED,33,7,28,13,6,0.21727901509625633,0.20259031465981062,0.18922570854639817,0.19650916266197568,0.18391160603850254
2026-07-01,202607012301,6,5431,6,0.11,0.3,N,EDGE,20,17,12,17,6,0.21176658830463407,0.22915650129686108,0.1839221961015447,0.22915650129686108,0.18070663532185366
2026-07-01,202607011002,1,4601,1,0.04,0.13,N,EDGE,41,9,27,16,6,0.12064701272821612,0.12225880509128645,0.07890551746573626,0.09654009438042258,0.17125880509128646
2026-07-01,202607011002,2,5231,2,0.09,0.18,N,MIXED,49,9,42,16,6,0.13479657032439024,0.1279186281297561,0.1045579046238821,0.12721724645210644,0.0919186281297561
2026-07-01,202607011002,3,5165,3,0.21,0.26,N,BOTH_FASTER,17,4,17,7,6,0.21640732033848228,0.14584439220308937,0.1890627792187345,0.153726455540838,0.1845629281353929
2026-07-01,202607011002,4,5274,4,0.1,0.06,N,BOTH_SLOWER,31,4,27,2,6,0.15836579632046396,0.16401947779227838,0.14000590236129648,0.19877434724034798,0.11534631852818558
2026-07-01,202607011002,5,4195,5,0.23,0.12,N,BOTH_FASTER,35,7,26,4,6,0.27539994775864496,0.23249228358091306,0.23351249020474593,0.18723996865518697,0.292159979103458
2026-07-01,202607011002,6,4248,6,0.04,0.34,N,EDGE,24,2,20,4,6,0.106264636739383,0.12844847755453725,0.08913799309370377,0.1277587820436298,0.0875058546957532
2026-07-01,202607012302,1,5095,1,0.01,0.15,N,EDGE,19,4,19,7,6,0.05665509134962146,0.04499305480977288,0.04759722192390915,0.04230234985367145,0.04866203653984859
2026-07-01,202607012302,2,4382,2,0.04,0.19,N,MIXED,35,5,32,17,6,0.09539994775864494,0.0756726987774427,0.08427367596189131,0.10879998637182042,0.08315997910345799
2026-07-01,202607012302,3,4428,3,0.03,0.17,N,MIXED,37,5,30,18,6,0.07878718402423451,0.0984293731041279,0.05090897511515019,0.08928012933939197,0.0915148736096938
2026-07-01,202607012302,4,4425,4,0.13,0.26,N,MIXED,31,4,29,11,6,0.18568286949119567,0.1804097216947174,0.17354563476991924,0.20729983629101023,0.17727314779647826
2026-07-01,202607012302,5,4854,5,0.12,0.21,N,MIXED,14,2,6,2,6,0.19179156871412595,0.18384367653559444,0.12339578435706296,0.18509367653559444,0.16171662748565038
2026-07-01,202607012302,6,4965,6,0.19,0.31,N,EDGE,29,2,24,5,6,0.2744358371574108,0.27582687786805815,0.2592205007648155,0.2706013657222241,0.2737743348629643
2026-07-01,202607011003,1,4469,1,0.03,0.12,N,EDGE,34,7,25,11,6,0.11347721929861414,0.09083563967628344,0.07744720373521563,0.11005078328186382,0.11039088771944566
2026-07-01,202607011003,2,3569,2,0.15,0.11,N,BOTH_FASTER,20,4,19,1,6,0.23743325497130074,0.22445995298278043,0.2369839811931122,0.2320856471182578,0.2499733019885203
2026-07-01,202607011003,3,4536,3,0.01,0.06,N,BOTH_SLOWER,31,6,30,3,6,0.059585308515585925,0.03229265425779296,0.047986440308153216,0.05083465012150173,0.026834123406234367
2026-07-01,202607011003,4,4339,4,0.33,0.18,N,BOTH_FASTER,23,4,20,4,6,0.40009083785269767,0.3570545027116186,0.384251731812161,0.33405450271161863,0.39503633514107905
2026-07-01,202607011003,5,5199,5,0.23,0.1,N,MIXED,26,5,14,10,6,0.3103610458094173,0.3111060249869549,0.2596083137428252,0.3063853921785315,0.2911444183237669
2026-07-01,202607011003,6,5459,6,0.19,0.09,N,EDGE,17,17,16,17,6,0.24529620922737122,0.23920770675496641,0.2223535116074649,0.23920770675496641,0.19511848369094847
2026-07-01,202607012303,1,4466,1,0.16,0.02,N,EDGE,45,8,36,16,6,0.2511454118025277,0.2412051764867976,0.22683029692417062,0.2584942032188712,0.2764581647210111
