pre_cut,post_cut,n,R,head4_rate_pct,trifecta_hits,trifecta_hit_rate_pct,avg_comp_odds,cost_yen,return_yen,profit_yen,roi_pct,R_feb_jun,roi_feb_jun_pct,hit_feb_jun_pct
0.15,0.15,2,396,29.797979797979796,30,7.575757575757576,13.240039845805663,3960000,2653580.0,-1306420.0,67.00959595959596,323,68.46965944272446,7.739938080495357
0.15,0.15,3,396,29.797979797979796,39,9.848484848484848,9.20588928922296,3960000,2577200.0,-1382800.0,65.08080808080808,323,65.29349845201239,9.597523219814242
0.15,0.15,4,396,29.797979797979796,49,12.373737373737374,7.325923952713058,3960000,3044970.0,-915030.0,76.89318181818182,323,72.98978328173375,11.76470588235294
0.15,0.15,5,396,29.797979797979796,61,15.404040404040403,6.129218009860312,3960000,3224440.0,-735560.0,81.42525252525253,323,76.56068111455109,14.551083591331269
0.15,0.15,6,396,29.797979797979796,67,16.91919191919192,5.356695185283955,3960000,3059980.0,-900020.0,77.27222222222223,323,73.06346749226006,15.789473684210526
0.15,0.15,7,396,29.797979797979796,71,17.929292929292927,4.878971700952794,3960000,2941690.0,-1018310.0,74.28510101010102,323,70.56006191950465,17.027863777089784
0.15,0.15,8,396,29.797979797979796,80,20.2020202020202,4.511230679574174,3960000,2939430.0,-1020570.0,74.22803030303031,323,69.10061919504643,18.885448916408667
0.15,0.15,9,396,29.797979797979796,86,21.71717171717172,4.223863577420556,3960000,3023490.0,-936510.0,76.35075757575757,323,72.05758513931889,20.43343653250774
0.15,0.15,10,396,29.797979797979796,91,22.97979797979798,3.983997804439145,3960000,3011450.0,-948550.0,76.04671717171718,323,72.7374613003096,21.981424148606813
0.15,0.15,11,396,29.797979797979796,95,23.98989898989899,3.780530145525089,3960000,2993420.0,-966580.0,75.59141414141415,323,72.39473684210526,22.910216718266255
0.15,0.15,12,396,29.797979797979796,99,25.0,3.6172211727289896,3960000,3029950.0,-930050.0,76.51388888888889,323,73.95046439628483,24.148606811145513
0.15,0.15,13,396,29.797979797979796,106,26.767676767676768,3.487822494969061,3960000,3159270.0,-800730.0,79.77954545454546,323,77.71331269349845,26.006191950464398
0.15,0.15,14,396,29.797979797979796,108,27.27272727272727,3.375650711861912,3960000,3088090.0,-871910.0,77.9820707070707,323,75.90495356037151,26.31578947368421
0.15,0.15,15,396,29.797979797979796,110,27.77777777777778,3.278913163988916,3960000,3048690.0,-911310.0,76.98712121212121,323,75.64520123839009,26.93498452012384
0.15,0.15,16,396,29.797979797979796,112,28.28282828282828,3.193271292677517,3960000,2994120.0,-965880.0,75.60909090909091,323,74.00092879256965,27.24458204334365
0.15,0.15,17,396,29.797979797979796,114,28.78787878787879,3.12809443585979,3960000,2973720.0,-986280.0,75.0939393939394,323,73.65077399380804,27.86377708978328
0.15,0.15,18,396,29.797979797979796,114,28.78787878787879,3.067555652609785,3960000,2882490.0,-1077510.0,72.79015151515152,323,71.37616099071208,27.86377708978328
0.15,0.15,19,396,29.797979797979796,116,29.292929292929294,3.025888353642771,3960000,2904530.0,-1055470.0,73.34671717171717,323,71.77585139318886,28.173374613003094
0.15,0.15,20,396,29.797979797979796,118,29.797979797979796,2.984070195456743,3960000,2925090.0,-1034910.0,73.86590909090908,323,72.59040247678018,28.792569659442723
0.15,0.18,2,329,31.61094224924012,28,8.51063829787234,11.985189965952317,3290000,2373300.0,-916700.0,72.13677811550151,268,72.06305970149253,8.582089552238806
0.15,0.18,3,329,31.61094224924012,36,10.94224924012158,8.361555490417166,3290000,2270990.0,-1019010.0,69.02705167173252,268,70.9044776119403,10.820895522388058
0.15,0.18,4,329,31.61094224924012,43,13.069908814589665,6.674242221349741,3290000,2280520.0,-1009480.0,69.31671732522797,268,72.18544776119403,13.059701492537313
0.15,0.18,5,329,31.61094224924012,51,15.501519756838904,5.544021634437526,3290000,2296040.0,-993960.0,69.78844984802431,268,71.7981343283582,15.298507462686567
0.15,0.18,6,329,31.61094224924012,57,17.325227963525837,4.8379611324875365,3290000,2272260.0,-1017740.0,69.06565349544073,268,69.59813432835821,16.791044776119403
