holdout_month,status,train_tier,train_R,floor,maxn,hold_R,hold_roi_pct,hold_profit_yen,hold_hit_rate_pct,hold_avg_n,base_hold_roi_pct,base_hold_hit_rate_pct,roi_delta_vs_base,hit_delta_vs_base
2026-04,OK,SAFE_STABLE,17,4.0,16,12,239.63333333333333,167560.0,58.333333333333336,9.833333333333334,481.21666666666664,50.0,-241.58333333333331,8.333333333333336
2026-05,OK,STRONG_STABLE,20,5.0,6,9,140.36666666666667,36330.0,22.22222222222222,5.666666666666667,177.9111111111111,22.22222222222222,-37.54444444444442,0.0
2026-06,OK,STRONG_STABLE,21,4.0,12,8,122.5125,18010.0,25.0,10.125,166.4625,12.5,-43.95,12.5
