variant,month,selector,cut,R,heads,head_rate
HGB_STATIC9_PLAYER,2026-05,p_cal>=0.90,0.9,641,558,0.8705148205928237
HGB_STATIC9_PLAYER,2026-05,p_cal>=0.94,0.94,389,341,0.8766066838046273
HGB_STATIC9_PLAYER,2026-05,p_cal>=0.95,0.95,334,300,0.8982035928143712
HGB_STATIC9_PLAYER,2026-05,p_cal>=0.96,0.96,289,265,0.916955017301038
HGB_STATIC9_PLAYER,2026-05,p_cal>=0.97,0.97,243,225,0.9259259259259259
HGB_STATIC9_PLAYER,2026-05,p_cal>=0.98,0.98,177,167,0.943502824858757
HGB_STATIC9_PLAYER,2026-06,OOF_q0.900,0.9269070128155878,31,24,0.7741935483870968
HGB_STATIC9_PLAYER,2026-06,OOF_q0.950,0.9583633934656142,0,0,
HGB_STATIC9_PLAYER,2026-06,OOF_q0.975,0.9644588575694264,0,0,
HGB_STATIC9_PLAYER,2026-06,p_cal>=0.90,0.9,71,55,0.7746478873239436
HGB_STATIC9_PLAYER,2026-06,p_cal>=0.94,0.94,12,8,0.6666666666666666
HGB_STATIC9_PLAYER,2026-06,p_cal>=0.95,0.95,3,3,1.0
HGB_STATIC9_PLAYER,2026-06,p_cal>=0.96,0.96,0,0,
HGB_STATIC9_PLAYER,2026-06,p_cal>=0.97,0.97,0,0,
HGB_STATIC9_PLAYER,2026-06,p_cal>=0.98,0.98,0,0,
