cover_rule,coverage,date,ev_rule,head,invest,race_code,return,set_ev,set_prob,synthetic_odds,ticket_hit,tickets_n
0.3,0.3255991612095493,2026-07-19,1.1,3,2000,202607191904,0,2.0975915585691234,0.09183396955551774,22.841129145583054,0,8
0.3,0.3255991612095493,2026-07-19,1.2,3,2000,202607191904,0,2.0975915585691234,0.09183396955551774,22.841129145583054,0,8
0.3,0.3255991612095493,2026-07-19,1.3,3,2000,202607191904,0,2.0975915585691234,0.09183396955551774,22.841129145583054,0,8
0.3,0.3255991612095493,2026-07-19,1.4,3,2000,202607191904,0,2.0975915585691234,0.09183396955551774,22.841129145583054,0,8
0.4,0.42085540831197743,2026-07-19,1.1,3,2000,202607191904,0,1.7589695969120407,0.11870062137329493,14.818537397376849,0,11
0.4,0.42085540831197743,2026-07-19,1.2,3,2000,202607191904,0,1.7589695969120407,0.11870062137329493,14.818537397376849,0,11
0.4,0.42085540831197743,2026-07-19,1.3,3,2000,202607191904,0,1.7589695969120407,0.11870062137329493,14.818537397376849,0,11
0.4,0.42085540831197743,2026-07-19,1.4,3,2000,202607191904,0,1.7589695969120407,0.11870062137329493,14.818537397376849,0,11
0.5,0.5034375993094561,2026-07-19,1.1,3,2000,202607191904,0,1.5629770722777514,0.1419926052522386,11.007454011434232,0,12
0.5,0.5034375993094561,2026-07-19,1.2,3,2000,202607191904,0,1.5629770722777514,0.1419926052522386,11.007454011434232,0,12
0.5,0.5034375993094561,2026-07-19,1.3,3,2000,202607191904,0,1.5629770722777514,0.1419926052522386,11.007454011434232,0,12
0.5,0.5034375993094561,2026-07-19,1.4,3,2000,202607191904,0,1.5629770722777514,0.1419926052522386,11.007454011434232,0,12
0.6,0.6227984990719813,2026-07-19,1.1,3,2000,202607191904,0,1.3816216677886481,0.1756578800465321,7.865412399504389,0,14
0.6,0.6227984990719813,2026-07-19,1.2,3,2000,202607191904,0,1.3816216677886481,0.1756578800465321,7.865412399504389,0,14
0.6,0.6227984990719813,2026-07-19,1.3,3,2000,202607191904,0,1.3816216677886481,0.1756578800465321,7.865412399504389,0,14
0.7,0.7242335043701277,2026-07-19,1.1,3,2000,202607191904,0,1.1559171299613649,0.20426722643983775,5.658847726616653,0,16
0.3,0.3324480604676118,2026-07-19,1.1,3,2000,202607191905,73500,1.3456434737248817,0.05067068274197278,26.556647767649384,1,8
0.3,0.3324480604676118,2026-07-19,1.2,3,2000,202607191905,73500,1.3456434737248817,0.05067068274197278,26.556647767649384,1,8
0.3,0.3324480604676118,2026-07-19,1.3,3,2000,202607191905,73500,1.3456434737248817,0.05067068274197278,26.556647767649384,1,8
0.4,0.40642418352800547,2026-07-19,1.1,3,2000,202607191905,73500,1.240497259730201,0.06194588963234214,20.025497528451567,1,10
0.4,0.40642418352800547,2026-07-19,1.2,3,2000,202607191905,73500,1.240497259730201,0.06194588963234214,20.025497528451567,1,10
0.3,0.34100022208573616,2026-07-19,1.1,5,2000,202607190911,0,1.9771217864840693,0.03410002220857362,57.98007327945289,0,7
0.3,0.34100022208573616,2026-07-19,1.2,5,2000,202607190911,0,1.9771217864840693,0.03410002220857362,57.98007327945289,0,7
0.3,0.34100022208573616,2026-07-19,1.3,5,2000,202607190911,0,1.9771217864840693,0.03410002220857362,57.98007327945289,0,7
0.3,0.34100022208573616,2026-07-19,1.4,5,2000,202607190911,0,1.9771217864840693,0.03410002220857362,57.98007327945289,0,7
0.4,0.42913181044844356,2026-07-19,1.1,5,2000,202607190911,0,1.8884777134379085,0.04291318104484436,44.00693836852704,0,9
0.4,0.42913181044844356,2026-07-19,1.2,5,2000,202607190911,0,1.8884777134379085,0.04291318104484436,44.00693836852704,0,9
0.4,0.42913181044844356,2026-07-19,1.3,5,2000,202607190911,0,1.8884777134379085,0.04291318104484436,44.00693836852704,0,9
0.4,0.42913181044844356,2026-07-19,1.4,5,2000,202607190911,0,1.8884777134379085,0.04291318104484436,44.00693836852704,0,9
0.5,0.5188983916337976,2026-07-19,1.1,5,2000,202607190911,0,1.77625957531689,0.05188983916337976,34.231356349442116,0,10
0.5,0.5188983916337976,2026-07-19,1.2,5,2000,202607190911,0,1.77625957531689,0.05188983916337976,34.231356349442116,0,10
0.5,0.5188983916337976,2026-07-19,1.3,5,2000,202607190911,0,1.77625957531689,0.05188983916337976,34.231356349442116,0,10
0.5,0.5188983916337976,2026-07-19,1.4,5,2000,202607190911,0,1.77625957531689,0.05188983916337976,34.231356349442116,0,10
0.6,0.6278761483469603,2026-07-19,1.1,5,2000,202607190911,0,1.528042481833898,0.06278761483469603,24.33668623751434,0,13
0.6,0.6278761483469603,2026-07-19,1.2,5,2000,202607190911,0,1.528042481833898,0.06278761483469603,24.33668623751434,0,13
0.6,0.6278761483469603,2026-07-19,1.3,5,2000,202607190911,0,1.528042481833898,0.06278761483469603,24.33668623751434,0,13
0.6,0.6278761483469603,2026-07-19,1.4,5,2000,202607190911,0,1.528042481833898,0.06278761483469603,24.33668623751434,0,13
0.7,0.7387689014487643,2026-07-19,1.1,5,2000,202607190911,0,1.2710210929795045,0.07387689014487643,17.204583063620653,0,15
0.7,0.7387689014487643,2026-07-19,1.2,5,2000,202607190911,0,1.2710210929795045,0.07387689014487643,17.204583063620653,0,15
0.3,0.36291702711221085,2026-07-19,1.1,5,2000,202607191606,0,2.7148081040742222,0.036291702711221084,74.80520067290276,0,5
0.3,0.36291702711221085,2026-07-19,1.2,5,2000,202607191606,0,2.7148081040742222,0.036291702711221084,74.80520067290276,0,5
0.3,0.36291702711221085,2026-07-19,1.3,5,2000,202607191606,0,2.7148081040742222,0.036291702711221084,74.80520067290276,0,5
0.3,0.36291702711221085,2026-07-19,1.4,5,2000,202607191606,0,2.7148081040742222,0.036291702711221084,74.80520067290276,0,5
