model,score,rule,cut,R,heads,head_rate,wilson_lo,wilson_hi,months_covered,worst_month_head_rate,min_month_R
LR_ABS_POST,p_cal,>=0.820,0.82,1040,851,0.8182692307692307,0.7936752692677326,0.8405206561823936,5,0.7951219512195122,147
LR_ABS_POST,p_cal,>=0.840,0.84,602,504,0.8372093023255814,0.8055966803766386,0.8645456383585348,5,0.810126582278481,78
LR_ABS_POST,p_cal,>=0.860,0.86,310,261,0.8419354838709677,0.7971738714494149,0.8783264298703072,5,0.8111111111111111,36
LR_ABS_POST,p_cal,>=0.880,0.88,116,101,0.8706896551724138,0.7975686759498692,0.9200460864728124,5,0.8214285714285714,5
LR_ABS_POST,p_cal,>=0.900,0.9,27,25,0.9259259259259259,0.7663040731697686,0.9794453459390113,4,0.8571428571428571,2
LR_ABS_POST,p_cal,>=0.920,0.92,5,4,0.8,0.37553462976252533,0.9637758913675698,2,0.5,2
LR_ABS_POST,p_cal,>=0.940,0.94,0,0,,,,0,,0
LR_ABS_POST,p_cal,>=0.950,0.95,0,0,,,,0,,0
LR_ABS_POST,p_cal,>=0.960,0.96,0,0,,,,0,,0
LR_ABS_POST,p_cal,>=0.970,0.97,0,0,,,,0,,0
LR_ABS_POST,p_cal,>=0.980,0.98,0,0,,,,0,,0
LR_ABS_THREAT_POST,p_raw,>=0.700,0.7,5798,4410,0.7606071058985857,0.7494532339262039,0.7714158765879369,5,0.7457072771872445,932
LR_ABS_THREAT_POST,p_raw,>=0.750,0.75,3624,2865,0.7905629139072847,0.7770107235904902,0.8034997600965779,5,0.7634961439588689,543
LR_ABS_THREAT_POST,p_raw,>=0.800,0.8,1840,1512,0.8217391304347826,0.8035864308396163,0.8385512075868873,5,0.7775,245
LR_ABS_THREAT_POST,p_raw,>=0.820,0.82,1269,1069,0.8423955870764381,0.8213183836016474,0.8614060782532807,5,0.7956989247311828,165
LR_ABS_THREAT_POST,p_raw,>=0.840,0.84,791,672,0.8495575221238938,0.822957153608735,0.8727790763816907,5,0.7897727272727273,98
LR_ABS_THREAT_POST,p_raw,>=0.860,0.86,457,394,0.862144420131291,0.8275056111555978,0.890745738987764,5,0.8155339805825242,57
LR_ABS_THREAT_POST,p_raw,>=0.880,0.88,221,184,0.832579185520362,0.7777664649529943,0.8760275495985175,5,0.75,24
LR_ABS_THREAT_POST,p_raw,>=0.900,0.9,82,69,0.8414634146341463,0.7474213307168286,0.9049440970070054,5,0.7391304347826086,10
LR_ABS_THREAT_POST,p_raw,>=0.920,0.92,25,20,0.8,0.6086904963045967,0.9113941531319742,5,0.5,2
LR_ABS_THREAT_POST,p_raw,>=0.940,0.94,2,2,1.0,0.34238022750665303,1.0,1,1.0,2
LR_ABS_THREAT_POST,p_raw,>=0.950,0.95,1,1,1.0,0.20654931437723745,1.0,1,1.0,1
LR_ABS_THREAT_POST,p_raw,>=0.960,0.96,0,0,,,,0,,0
LR_ABS_THREAT_POST,p_raw,>=0.970,0.97,0,0,,,,0,,0
LR_ABS_THREAT_POST,p_raw,>=0.980,0.98,0,0,,,,0,,0
LR_ABS_THREAT_POST,p_cal,>=0.700,0.7,6054,4593,0.7586719524281467,0.7477316034742297,0.7692842381073556,5,0.7454545454545455,1027
LR_ABS_THREAT_POST,p_cal,>=0.750,0.75,3934,3093,0.78622267412303,0.7731356196202558,0.7987512944543474,5,0.7633986928104575,655
LR_ABS_THREAT_POST,p_cal,>=0.800,0.8,2114,1724,0.815515610217597,0.7984138840438982,0.8314727368095952,5,0.7758186397984886,323
LR_ABS_THREAT_POST,p_cal,>=0.820,0.82,1505,1257,0.8352159468438538,0.8156240263494552,0.8531009706350732,5,0.7956989247311828,227
LR_ABS_THREAT_POST,p_cal,>=0.840,0.84,988,836,0.8461538461538461,0.8223191203132441,0.8673072246202298,5,0.7865168539325843,156
LR_ABS_THREAT_POST,p_cal,>=0.860,0.86,595,514,0.8638655462184874,0.8339661707242016,0.8890966593823049,5,0.819047619047619,93
LR_ABS_THREAT_POST,p_cal,>=0.880,0.88,314,267,0.8503184713375797,0.806635705401047,0.8855332797787939,5,0.75,48
LR_ABS_THREAT_POST,p_cal,>=0.900,0.9,131,113,0.8625954198473282,0.7932459058387804,0.9112851844568723,5,0.7741935483870968,15
LR_ABS_THREAT_POST,p_cal,>=0.920,0.92,36,30,0.8333333333333334,0.6810920568872054,0.9212955240498188,5,0.6666666666666666,2
LR_ABS_THREAT_POST,p_cal,>=0.940,0.94,4,4,1.0,0.5101091635454027,1.0,2,1.0,1
LR_ABS_THREAT_POST,p_cal,>=0.950,0.95,2,2,1.0,0.34238022750665303,1.0,1,1.0,2
LR_ABS_THREAT_POST,p_cal,>=0.960,0.96,0,0,,,,0,,0
LR_ABS_THREAT_POST,p_cal,>=0.970,0.97,0,0,,,,0,,0
LR_ABS_THREAT_POST,p_cal,>=0.980,0.98,0,0,,,,0,,0
LR_V109_FULL_POST,p_raw,>=0.700,0.7,5843,4449,0.7614239260653773,0.7503260005689604,0.7721783330129172,5,0.7457072771872445,955
LR_V109_FULL_POST,p_raw,>=0.750,0.75,3687,2919,0.7917005695687551,0.7782922828114419,0.8045016475155716,5,0.767175572519084,564
