date,month,race_code,PRE,POST,head4,train_head4,old_rank,v258_rank,old_order,v258_order,old_hit_n2,old_ret_n2,old_comp_n2,old_hit_n3,old_ret_n3,old_comp_n3,old_hit_n5,old_ret_n5,old_comp_n5,old_hit_n10,old_ret_n10,old_comp_n10,old_var10_n,old_var10_hit,old_var10_ret,old_var10_comp,v258_hit_n2,v258_ret_n2,v258_comp_n2,v258_hit_n3,v258_ret_n3,v258_comp_n3,v258_hit_n5,v258_ret_n5,v258_comp_n5,v258_hit_n10,v258_ret_n10,v258_comp_n10,v258_var10_n,v258_var10_hit,v258_var10_ret,v258_var10_comp
2026-02-04,2026-02,202602041808,0.1860912110238941,0.1528171749609945,1,66,5,8,4-1-2 4-2-1 4-2-5 4-5-2 4-3-2 4-2-3 4-2-6 4-6-2 4-1-5 4-5-1 4-3-1 4-1-3 4-1-6 4-6-1 4-3-5 4-5-3 4-5-6 4-6-5 4-3-6 4-6-3,4-2-5 4-1-5 4-1-2 4-5-6 4-5-2 4-3-5 4-2-1 4-3-2 4-2-6 4-5-1 4-1-6 4-6-5 4-2-3 4-1-3 4-3-1 4-3-6 4-5-3 4-6-2 4-6-1 4-6-3,0.0,0.0,7.199999999999999,0.0,0.0,5.2288973384030415,1.0,34020.0,3.6291283316103153,1.0,22680.0,2.0075353994547274,2.0,0.0,0.0,7.199999999999999,0.0,0.0,7.178104575163399,0.0,0.0,4.572941623568679,0.0,0.0,3.153675579095144,1.0,22680.0,2.0125600109076136,2.0,0.0,0.0,7.178104575163399
2026-02-05,2026-02,202602050707,0.3902584208205209,0.3742669716116171,0,66,0,0,4-5-1 4-1-5 4-2-1 4-1-2 4-1-3 4-3-1 4-1-6 4-2-5 4-6-1 4-5-2 4-5-3 4-2-3 4-3-5 4-3-2 4-5-6 4-2-6 4-6-5 4-6-2 4-3-6 4-6-3,4-2-1 4-5-6 4-5-1 4-1-6 4-1-5 4-2-6 4-2-5 4-1-3 4-2-3 4-1-2 4-5-3 4-3-1 4-5-2 4-6-1 4-6-5 4-3-6 4-3-5 4-3-2 4-6-3 4-6-2,0.0,0.0,3.9631901840490795,0.0,0.0,3.6091381790021013,0.0,0.0,2.3444149989061813,0.0,0.0,1.9168316492946778,2.0,0.0,0.0,3.9631901840490795,0.0,0.0,20.568165249088697,0.0,0.0,6.498486630216478,0.0,0.0,3.116226993647991,0.0,0.0,2.0067158142773134,3.0,0.0,0.0,6.498486630216478
2026-02-05,2026-02,202602051104,0.1685130610692986,0.1355470288410969,1,66,3,8,4-1-2 4-2-1 4-2-6 4-6-2 4-3-2 4-2-3 4-2-5 4-5-2 4-1-6 4-6-1 4-1-3 4-1-5 4-3-1 4-5-1 4-3-6 4-6-3 4-5-6 4-6-5 4-3-5 4-5-3,4-1-2 4-2-1 4-1-5 4-2-5 4-1-3 4-2-3 4-1-6 4-2-6 4-6-5 4-3-5 4-3-1 4-3-2 4-5-6 4-3-6 4-6-1 4-6-2 4-5-1 4-6-3 4-5-2 4-5-3,0.0,0.0,9.15779569892473,1.0,72600.0,7.312892734014181,1.0,61709.99999999999,6.226497141484482,1.0,39930.0,3.9112494983797013,2.0,0.0,0.0,9.15779569892473,0.0,0.0,9.15779569892473,0.0,0.0,7.5681685935422065,0.0,0.0,5.976906607312848,1.0,39930.0,3.87057858249144,2.0,0.0,0.0,9.15779569892473
2026-02-05,2026-02,202602051407,0.1277966859391682,0.1342767890782198,0,66,0,0,4-6-1 4-1-6 4-1-2 4-2-1 4-1-3 4-3-1 4-1-5 4-6-2 4-5-1 4-2-6 4-6-3 4-6-5 4-3-6 4-3-2 4-2-3 4-5-6 4-2-5 4-5-2 4-3-5 4-5-3,4-1-2 4-1-5 4-6-5 4-1-3 4-2-5 4-6-2 4-2-3 4-3-5 4-3-2 4-1-6 4-6-3 4-2-1 4-6-1 4-5-2 4-3-1 4-2-6 4-5-3 4-5-6 4-3-6 4-5-1,0.0,0.0,22.161695278969958,0.0,0.0,15.6532178875961,0.0,0.0,11.659754646752473,0.0,0.0,7.846746663922339,7.0,0.0,0.0,9.63434987262917,0.0,0.0,33.987355540448675,0.0,0.0,27.70898747955812,0.0,0.0,18.925335996520843,0.0,0.0,9.999114675572814,10.0,0.0,0.0,9.999114675572814
2026-02-05,2026-02,202602051807,0.225652007160442,0.2471240487013818,1,66,17,14,4-6-2 4-6-5 4-2-6 4-5-6 4-6-3 4-3-6 4-6-1 4-5-2 4-2-5 4-1-6 4-2-3 4-5-3 4-3-2 4-3-5 4-2-1 4-5-1 4-1-2 4-1-5 4-3-1 4-1-3,4-2-1 4-6-1 4-5-1 4-2-3 4-2-6 4-2-5 4-6-2 4-6-5 4-5-2 4-5-6 4-3-1 4-6-3 4-5-3 4-1-2 4-3-2 4-1-3 4-1-6 4-1-5 4-3-6 4-3-5,0.0,0.0,6.430526315789473,0.0,0.0,4.186875321263351,0.0,0.0,3.4811014695634706,0.0,0.0,2.4195029564302746,2.0,0.0,0.0,6.430526315789473,0.0,0.0,11.808440366972476,0.0,0.0,11.292587944047607,0.0,0.0,5.0886044135665305,0.0,0.0,2.659895510073347,4.0,0.0,0.0,8.83515524457329
2026-02-06,2026-02,202602060401,0.3709947489211787,0.3605431036303466,0,66,0,0,4-1-6 4-6-1 4-5-1 4-5-6 4-1-5 4-6-5 4-1-2 4-6-2 4-2-1 4-2-6 4-5-2 4-2-5 4-1-3 4-6-3 4-3-1 4-3-6 4-5-3 4-3-5 4-3-2 4-2-3,4-5-1 4-2-1 4-5-6 4-3-1 4-1-2 4-6-1 4-5-2 4-1-6 4-1-5 4-2-6 4-3-2 4-6-5 4-2-5 4-3-6 4-1-3 4-6-2 4-3-5 4-5-3 4-2-3 4-6-3,0.0,0.0,13.771812080536913,0.0,0.0,9.014997727617027,0.0,0.0,5.0924026945911915,0.0,0.0,2.670501047865489,3.0,0.0,0.0,9.014997727617027,0.0,0.0,12.226069246435847,0.0,0.0,8.64373398413667,0.0,0.0,4.992228145348743,0.0,0.0,2.6777314436528323,3.0,0.0,0.0,8.64373398413667
2026-02-06,2026-02,202602061104,0.240436108367778,0.2270486621142096,1,66,13,6,4-6-5 4-5-6 4-2-6 4-6-2 4-6-3 4-3-6 4-6-1 4-1-6 4-2-5 4-5-2 4-5-3 4-2-3 4-3-5 4-3-2 4-5-1 4-2-1 4-1-5 4-1-2 4-1-3 4-3-1,4-2-3 4-2-5 4-5-6 4-2-6 4-6-5 4-3-5 4-5-3 4-3-6 4-6-3 4-2-1 4-5-2 4-3-2 4-1-3 4-1-5 4-6-2 4-1-6 4-3-1 4-5-1 4-6-1 4-1-2,0.0,0.0,24.982277227722772,0.0,0.0,13.971530906162718,0.0,0.0,9.01137025595813,0.0,0.0,6.096067771517955,4.0,0.0,0.0,10.327735917294772,0.0,0.0,32.87023988005997,0.0,0.0,19.048449497550322,0.0,0.0,9.804231664792573,1.0,58310.0,6.221590198822358,5.0,0.0,0.0,9.804231664792573
2026-02-07,2026-02,202602070111,0.110782976783616,0.0844539512487006,1,66,11,2,4-2-6 4-1-6 4-6-1 4-6-2 4-6-5 4-5-6 4-2-1 4-3-6 4-1-2 4-6-3 4-2-5 4-1-5 4-5-1 4-5-2 4-2-3 4-3-1 4-1-3 4-3-2 4-3-5 4-5-3,4-2-6 4-2-5 4-2-1 4-1-6 4-1-5 4-5-6 4-1-2 4-6-5 4-2-3 4-5-1 4-1-3 4-6-1 4-5-2 4-3-6 4-3-5 4-6-2 4-3-1 4-5-3 4-3-2 4-6-3,0.0,0.0,20.850356294536816,0.0,0.0,15.856265792044358,0.0,0.0,10.501447797992713,0.0,0.0,5.439082452101777,5.0,0.0,0.0,10.501447797992713,1.0,258860.0,26.139473684210525,1.0,162540.0,16.453094571908224,1.0,90300.0,9.215918369251378,1.0,48160.0,4.8210275446044735,5.0,1.0,90300.0,9.215918369251378
2026-02-07,2026-02,202602071109,0.0712547471991378,0.1028359137026811,0,66,0,0,4-2-1 4-1-2 4-1-3 4-3-1 4-2-3 4-6-1 4-1-6 4-3-2 4-2-6 4-6-2 4-1-5 4-5-1 4-2-5 4-6-3 4-5-2 4-3-6 4-5-3 4-3-5 4-6-5 4-5-6,4-1-3 4-1-5 4-1-2 4-1-6 4-2-1 4-2-3 4-2-5 4-2-6 4-3-1 4-5-6 4-3-5 4-6-5 4-5-1 4-5-3 4-3-6 4-3-2 4-5-2 4-6-1 4-6-3 4-6-2,0.0,0.0,62.29535508637236,0.0,0.0,40.90169115551041,0.0,0.0,29.69836528340273,0.0,0.0,21.350685946274137,20.0,0.0,0.0,15.172666792846039,0.0,0.0,83.36099773242631,0.0,0.0,46.092850358692104,0.0,0.0,30.781443654784237,0.0,0.0,20.9878698124824,20.0,0.0,0.0,15.172666792846035
2026-02-07,2026-02,202602071206,0.1167987889698049,0.0971815680134234,0,66,0,0,4-2-6 4-6-2 4-6-1 4-1-6 4-6-5 4-5-6 4-2-1 4-2-5 4-1-2 4-3-6 4-6-3 4-5-2 4-2-3 4-5-1 4-1-5 4-3-2 4-3-1 4-1-3 4-3-5 4-5-3,4-2-5 4-2-1 4-2-6 4-1-5 4-1-6 4-5-6 4-6-5 4-2-3 4-5-1 4-1-3 4-1-2 4-3-5 4-6-1 4-3-1 4-3-6 4-5-3 4-5-2 4-6-2 4-6-3 4-3-2,0.0,0.0,53.877551020408156,0.0,0.0,28.67480553537573,0.0,0.0,12.799747027698185,0.0,0.0,7.103610073701391,7.0,0.0,0.0,9.435085014968124,0.0,0.0,54.72295839753467,0.0,0.0,36.54332997833595,0.0,0.0,12.494580642519377,0.0,0.0,7.512326874746976,6.0,0.0,0.0,10.510777639087781
