family,l2,races,second_top1,second_top2,third_top1,third_top2,third_objective,avg_features
THIRD_SCENARIO_CURRENT,0.3,54,37.03703703703704,61.111111111111114,38.88888888888889,62.96296296296296,48.51851851851852,56.0
THIRD_SCENARIO_CURRENT,1.0,54,37.03703703703704,61.111111111111114,37.03703703703704,61.111111111111114,46.66666666666667,56.0
THIRD_SCENARIO_CURRENT,3.0,54,37.03703703703704,61.111111111111114,37.03703703703704,61.111111111111114,46.66666666666667,56.0
THIRD_PLAYER_START,0.3,54,37.03703703703704,61.111111111111114,37.03703703703704,57.407407407407405,45.18518518518518,25.0
THIRD_PLAYER_START,1.0,54,37.03703703703704,61.111111111111114,35.18518518518518,57.407407407407405,44.074074074074076,25.0
THIRD_SCENARIO_LIGHT,0.3,54,37.03703703703704,61.111111111111114,35.18518518518518,57.407407407407405,44.074074074074076,41.0
THIRD_SCENARIO_LIGHT,10.0,54,37.03703703703704,61.111111111111114,35.18518518518518,57.407407407407405,44.074074074074076,41.0
THIRD_RICH_SCENARIO,1.0,54,37.03703703703704,61.111111111111114,37.03703703703704,53.70370370370371,43.70370370370371,70.0
THIRD_SCENARIO_LIGHT,1.0,54,37.03703703703704,61.111111111111114,35.18518518518518,55.55555555555556,43.333333333333336,41.0
THIRD_PLAYER_START,3.0,54,37.03703703703704,61.111111111111114,33.33333333333333,57.407407407407405,42.96296296296296,25.0
THIRD_SCENARIO_LIGHT,3.0,54,37.03703703703704,61.111111111111114,33.33333333333333,57.407407407407405,42.96296296296296,41.0
THIRD_SCENARIO_CURRENT,10.0,54,37.03703703703704,61.111111111111114,31.48148148148148,59.25925925925925,42.592592592592595,56.0
THIRD_RICH_SCENARIO,0.3,54,37.03703703703704,61.111111111111114,33.33333333333333,53.70370370370371,41.48148148148148,70.0
THIRD_PLAYER_START,10.0,54,37.03703703703704,61.111111111111114,29.629629629629626,53.70370370370371,39.25925925925926,25.0
THIRD_RICH_SCENARIO,3.0,54,37.03703703703704,61.111111111111114,31.48148148148148,50.0,38.888888888888886,70.0
THIRD_RICH_SCENARIO,10.0,54,37.03703703703704,61.111111111111114,31.48148148148148,48.148148148148145,38.14814814814815,70.0
