venue,metric,boat,n,baseline_corr,raw_venue_corr,selected_corr,shrink_k
23,一周,6,310,0.0,-0.093797,-0.071618,96.0
23,展示,1,311,0.02,0.017392,0.018007,96.0
23,展示,2,311,0.01,0.004145,0.005526,96.0
23,展示,3,308,0.0,-0.004016,-0.003062,96.0
23,展示,4,311,-0.01,-0.008846,-0.009118,96.0
23,展示,5,310,-0.01,-0.005577,-0.006623,96.0
23,展示,6,309,-0.02,-0.003175,-0.007163,96.0
23,直線,1,312,0.0,-0.015349,-0.011738,96.0
23,直線,2,312,0.0,-0.002304,-0.001762,96.0
23,直線,3,309,0.0,-0.002463,-0.001879,96.0
23,直線,4,312,-0.01,0.005388,0.001767,96.0
23,直線,5,311,-0.02,0.006408,0.000179,96.0
23,直線,6,310,-0.02,0.008371,0.001663,96.0
24,まわり足,1,338,0.2,0.038792,0.074451,96.0
24,まわり足,2,339,0.1,0.01079,0.030477,96.0
24,まわり足,3,339,0.0,-0.002072,-0.001615,96.0
24,まわり足,4,339,-0.05,-0.009948,-0.018787,96.0
24,まわり足,5,338,-0.1,-0.01948,-0.037291,96.0
24,まわり足,6,338,-0.15,-0.018078,-0.047259,96.0
24,一周,1,313,0.4,0.213778,0.257488,96.0
24,一周,2,313,0.3,0.010456,0.078417,96.0
24,一周,3,313,0.2,-0.059768,0.001205,96.0
24,一周,4,313,0.1,-0.053474,-0.017451,96.0
24,一周,5,312,0.05,-0.041934,-0.020302,96.0
24,一周,6,313,0.0,-0.069193,-0.052952,96.0
24,展示,1,318,0.02,0.01146,0.01344,96.0
24,展示,2,318,0.01,0.000863,0.002981,96.0
24,展示,3,318,0.0,-0.003508,-0.002695,96.0
24,展示,4,318,-0.01,-0.00398,-0.005376,96.0
24,展示,5,317,-0.01,-0.002434,-0.004193,96.0
24,展示,6,318,-0.02,-0.002408,-0.006487,96.0
24,直線,1,338,0.0,0.025288,0.019694,96.0
24,直線,2,339,0.0,-0.005158,-0.00402,96.0
24,直線,3,339,0.0,-0.007253,-0.005652,96.0
24,直線,4,339,-0.01,-0.008639,-0.008939,96.0
24,直線,5,338,-0.02,-0.004854,-0.008204,96.0
24,直線,6,338,-0.02,0.000679,-0.003896,96.0
