approved,base_score,date,direct_comp,head,model,race_code,score,threshold,tickets6
0,65.53709218559219,2026-06-09,0.43,3,3まくり,202606090107,55.395400702075705,65,3-1-6;3-1-5;3-1-2;3-6-1;3-6-5;3-6-2
1,65.53709218559219,2026-06-09,0.6220000000000001,3,3まくり差し,202606090107,64.0354007020757,55,3-1-6;3-1-5;3-1-2;3-6-1;3-6-5;3-6-2
1,66.47806166056166,2026-06-09,0.67,3,3まくり,202606090108,66.71293391330892,65,3-5-1;3-5-2;3-5-6;3-1-5;3-1-2;3-1-6
1,66.47806166056166,2026-06-09,0.596,3,3まくり差し,202606090108,63.38293391330892,55,3-5-1;3-5-2;3-5-6;3-1-5;3-1-2;3-1-6
0,53.05920451770453,2026-06-09,0.3833333333333333,4,4カドまくり,202606090109,46.43256248473749,60,4-2-3;4-2-6;4-2-5;4-3-2;4-3-6;4-3-5
0,61.384989981512014,2026-06-09,0.3826666666666667,4,4カドまくり,202606090505,50.98174448983161,60,4-3-1;4-3-2;4-3-5;4-1-3;4-1-2;4-1-5
1,62.664269100084944,2026-06-09,0.894,3,3まくり差し,202606090506,74.69534800504672,55,3-6-1;3-6-2;3-6-4;3-1-6;3-1-2;3-1-4
0,65.68768962674262,2026-06-09,0.45,3,3まくり,202606090507,56.37822929470845,65,3-5-4;3-5-2;3-5-6;3-4-5;3-4-2;3-4-6
0,65.68768962674262,2026-06-09,0.39599999999999996,3,3まくり差し,202606090507,53.94822929470844,55,3-5-4;3-5-2;3-5-6;3-4-5;3-4-2;3-4-6
1,72.47833990406237,2026-06-09,0.5353333333333333,4,4カドまくり,202606090507,63.95308694723431,60,4-5-2;4-5-3;4-5-6;4-2-5;4-2-3;4-2-6
1,59.5645814470594,2026-06-09,0.6246666666666667,4,4カドまくり,202606090609,60.87051979588267,60,4-1-5;4-1-6;4-1-2;4-5-1;4-5-6;4-5-2
1,63.88981724379153,2026-06-09,0.526,3,3まくり差し,202606090611,58.80939948408535,55,3-1-2;3-1-6;3-1-4;3-2-1;3-2-6;3-2-4
0,67.9209523809524,2026-06-09,0.27999999999999997,3,3まくり,202606090708,49.956523809523816,65,3-5-1;3-5-6;3-5-4;3-1-5;3-1-6;3-1-4
1,67.9209523809524,2026-06-09,0.48599999999999993,3,3まくり差し,202606090708,59.22652380952382,55,3-5-1;3-5-6;3-5-4;3-1-5;3-1-6;3-1-4
0,57.13774317526941,2026-06-09,0.51,3,3まくり差し,202606090906,54.375758746398176,55,3-6-4;3-6-1;3-6-5;3-4-6;3-4-1;3-4-5
0,57.19607214477257,2026-06-09,0.49933333333333335,4,4カドまくり,202606090906,53.927839679624924,60,4-6-3;4-6-1;4-6-5;4-3-6;4-3-1;4-3-5
0,60.565645655324055,2026-06-09,0.5880000000000001,4,4カドまくり,202606090907,59.77110511042824,60,4-5-3;4-5-1;4-5-2;4-3-5;4-3-1;4-3-2
1,63.28620296807075,2026-06-09,0.87,3,3まくり差し,202606090910,73.95741163243892,55,3-5-1;3-5-2;3-5-6;3-1-5;3-1-2;3-1-6
0,64.47788095238096,2026-06-09,0.47000000000000003,3,3まくり,202606091103,56.612834523809525,65,3-5-4;3-5-1;3-5-2;3-4-5;3-4-1;3-4-2
0,64.47788095238096,2026-06-09,0.432,3,3まくり差し,202606091103,54.90283452380953,55,3-5-4;3-5-1;3-5-2;3-4-5;3-4-1;3-4-2
0,61.28576190476191,2026-06-09,0.3,3,3まくり,202606091107,47.207169047619054,65,3-2-5;3-2-4;3-2-1;3-5-2;3-5-4;3-5-1
0,61.28576190476191,2026-06-09,0.464,3,3まくり差し,202606091107,54.58716904761906,55,3-2-5;3-2-4;3-2-1;3-5-2;3-5-4;3-5-1
0,57.12980952380953,2026-06-09,0.37866666666666665,4,4カドまくり,202606091110,48.46139523809524,60,4-1-6;4-1-2;4-1-5;4-6-1;4-6-2;4-6-5
0,63.7499761904762,2026-06-09,0.20999999999999996,3,3まくり,202606091112,44.512486904761914,65,3-5-1;3-5-4;3-5-6;3-1-5;3-1-4;3-1-6
1,63.7499761904762,2026-06-09,0.5,3,3まくり差し,202606091112,57.56248690476191,55,3-5-1;3-5-4;3-5-6;3-1-5;3-1-4;3-1-6
0,60.54503174603174,2026-06-09,0.312,3,3まくり差し,202606091308,47.33976746031746,55,3-1-4;3-1-6;3-1-2;3-4-1;3-4-6;3-4-2
0,51.968738095238095,2026-06-09,0.25799999999999995,3,3まくり差し,202606091311,40.19280595238095,55,3-4-6;3-4-5;3-4-2;3-6-4;3-6-5;3-6-2
1,65.27325396825397,2026-06-09,0.658,3,3まくり差し,202606091312,65.51028968253968,55,3-4-6;3-4-1;3-4-5;3-6-4;3-6-1;3-6-5
1,66.48058941687903,2026-06-09,0.88,3,3まくり,202606091503,76.16432417928347,65,3-1-4;3-1-6;3-1-2;3-4-1;3-4-6;3-4-2
1,66.48058941687903,2026-06-09,0.63,3,3まくり差し,202606091503,64.91432417928347,55,3-1-4;3-1-6;3-1-2;3-4-1;3-4-6;3-4-2
1,62.18079540798481,2026-06-09,0.6113333333333334,4,4カドまくり,202606091504,61.709437474391656,60,4-3-2;4-3-5;4-3-1;4-2-3;4-2-5;4-2-1
0,59.20085024733923,2026-06-09,0.354,4,4カドまくり,202606091512,48.49046763603658,60,4-5-2;4-5-1;4-5-6;4-2-5;4-2-1;4-2-6
1,60.1695469861257,2026-06-09,0.6020000000000001,3,3まくり差し,202606091701,60.18325084236914,55,3-4-6;3-4-5;3-4-1;3-6-4;3-6-5;3-6-1
1,65.3934537550592,2026-06-09,0.78,3,3まくり,202606091703,71.06639956528257,65,3-5-4;3-5-1;3-5-6;3-4-5;3-4-1;3-4-6
