rule,conf_cut,points,R,hits,hit_rate,wilson_lo,wilson_hi
HGB_q0.950,0.45,1,204,45,0.22058823529411764,0.16914532388109488,0.28235968071787504
HGB_q0.950,0.45,2,204,82,0.4019607843137255,0.3370922708020665,0.4704533448466949
HGB_q0.950,0.45,3,204,102,0.5,0.43202456361176655,0.5679754363882334
HGB_q0.950,0.45,4,204,108,0.5294117647058824,0.4610082503578922,0.5967280649474793
HGB_q0.950,0.45,5,204,120,0.5882352941176471,0.519675977194626,0.6535329687214888
