split,rule,cut,R,watch,watch_rate,formal,recall,base_watch,base_recall,added,rescued_formal
tune_july,base+prior_ex,0.14750175993690828,4772,478,0.10016764459346186,87,0.7471264367816092,382,0.6781609195402298,96,6
shadow_aug,base+prior_ex,0.14750175993690828,4776,512,0.10720268006700168,110,0.8090909090909091,424,0.7727272727272727,88,4
