actual2,R,top1,top2,top3,exact3
2,114,0.7280701754385965,0.9736842105263158,0.9912280701754386,0.7192982456140351
3,89,0.43820224719101125,0.8426966292134831,0.9775280898876404,0.48314606741573035
4,42,0.16666666666666666,0.4523809523809524,0.8571428571428571,0.19047619047619047
5,32,0.0,0.1875,0.5625,0.125
6,13,0.0,0.0,0.15384615384615385,0.0
