date,month,race_code,layer,model,n,winner,second,third,head4_win,hit,return_yen,profit_yen,comp_odds,tickets
2026-04-01,2026-04,202604010206,A,v283,4,2,4,5,0,0,0.0,-10000.0,,
2026-04-01,2026-04,202604010206,A,v283,6,2,4,5,0,0,0.0,-10000.0,,
2026-04-01,2026-04,202604010206,A,v283,8,2,4,5,0,0,0.0,-10000.0,,
2026-04-01,2026-04,202604010206,A,v283,10,2,4,5,0,0,0.0,-10000.0,,
2026-04-01,2026-04,202604010206,A,v284,4,2,4,5,0,0,0.0,-10000.0,,
2026-04-01,2026-04,202604010206,A,v284,6,2,4,5,0,0,0.0,-10000.0,,
2026-04-01,2026-04,202604010206,A,v284,8,2,4,5,0,0,0.0,-10000.0,,
2026-04-01,2026-04,202604010206,A,v284,10,2,4,5,0,0,0.0,-10000.0,,
2026-04-01,2026-04,202604010603,S,v283,4,4,6,2,1,0,0.0,-10000.0,8.25211933648223,4-1-6|4-1-2|4-5-1|4-5-6
2026-04-01,2026-04,202604010603,S,v283,6,4,6,2,1,0,0.0,-10000.0,5.048383661437056,4-1-6|4-1-2|4-5-1|4-5-6|4-1-3|4-2-1
2026-04-01,2026-04,202604010603,S,v283,8,4,6,2,1,0,0.0,-10000.0,3.772017808241101,4-1-6|4-1-2|4-5-1|4-5-6|4-1-3|4-2-1|4-6-1|4-3-1
2026-04-01,2026-04,202604010603,S,v283,10,4,6,2,1,0,0.0,-10000.0,3.4379016435075127,4-1-6|4-1-2|4-5-1|4-5-6|4-1-3|4-2-1|4-6-1|4-3-1|4-1-5|4-3-6
2026-04-01,2026-04,202604010603,S,v284,4,4,6,2,1,0,0.0,-10000.0,8.25211933648223,4-1-6|4-1-2|4-5-1|4-5-6
2026-04-01,2026-04,202604010603,S,v284,6,4,6,2,1,0,0.0,-10000.0,4.677500602487082,4-1-6|4-1-2|4-5-1|4-5-6|4-6-1|4-1-3
2026-04-01,2026-04,202604010603,S,v284,8,4,6,2,1,0,0.0,-10000.0,4.0461310834426065,4-1-6|4-1-2|4-5-1|4-5-6|4-6-1|4-1-3|4-2-1|4-1-5
2026-04-01,2026-04,202604010603,S,v284,10,4,6,2,1,0,0.0,-10000.0,3.548205415445623,4-1-6|4-1-2|4-5-1|4-5-6|4-6-1|4-1-3|4-2-1|4-1-5|4-3-6|4-3-2
2026-04-01,2026-04,202604010804,S,v283,4,4,1,3,1,0,0.0,-10000.0,7.0760384041179725,4-1-5|4-2-5|4-2-1|4-1-6
2026-04-01,2026-04,202604010804,S,v283,6,4,1,3,1,0,0.0,-10000.0,3.7929190312312944,4-1-5|4-2-5|4-2-1|4-1-6|4-5-1|4-1-2
2026-04-01,2026-04,202604010804,S,v283,8,4,1,3,1,0,0.0,-10000.0,3.5914889649289536,4-1-5|4-2-5|4-2-1|4-1-6|4-5-1|4-1-2|4-5-6|4-3-5
2026-04-01,2026-04,202604010804,S,v283,10,4,1,3,1,0,0.0,-10000.0,3.1747718218682617,4-1-5|4-2-5|4-2-1|4-1-6|4-5-1|4-1-2|4-5-6|4-3-5|4-5-2|4-2-6
2026-04-01,2026-04,202604010804,S,v284,4,4,1,3,1,0,0.0,-10000.0,7.0760384041179725,4-1-5|4-2-5|4-1-6|4-2-1
2026-04-01,2026-04,202604010804,S,v284,6,4,1,3,1,0,0.0,-10000.0,5.396705269335736,4-1-5|4-2-5|4-1-6|4-2-1|4-5-1|4-3-5
2026-04-01,2026-04,202604010804,S,v284,8,4,1,3,1,0,0.0,-10000.0,3.5914889649289536,4-1-5|4-2-5|4-1-6|4-2-1|4-5-1|4-3-5|4-5-6|4-1-2
2026-04-01,2026-04,202604010804,S,v284,10,4,1,3,1,0,0.0,-10000.0,3.469711675333659,4-1-5|4-2-5|4-1-6|4-2-1|4-5-1|4-3-5|4-5-6|4-1-2|4-2-6|4-6-1
2026-04-02,2026-04,202604020108,S,v283,4,1,2,4,0,0,0.0,-10000.0,,
2026-04-02,2026-04,202604020108,S,v283,6,1,2,4,0,0,0.0,-10000.0,,
2026-04-02,2026-04,202604020108,S,v283,8,1,2,4,0,0,0.0,-10000.0,,
2026-04-02,2026-04,202604020108,S,v283,10,1,2,4,0,0,0.0,-10000.0,,
2026-04-02,2026-04,202604020108,S,v284,4,1,2,4,0,0,0.0,-10000.0,,
2026-04-02,2026-04,202604020108,S,v284,6,1,2,4,0,0,0.0,-10000.0,,
2026-04-02,2026-04,202604020108,S,v284,8,1,2,4,0,0,0.0,-10000.0,,
2026-04-02,2026-04,202604020108,S,v284,10,1,2,4,0,0,0.0,-10000.0,,
2026-04-02,2026-04,202604022209,S,v283,4,1,2,4,0,0,0.0,-10000.0,,
