config,R,head_hits,head_rate,worst_month,delta
BASE,204,166,0.8137254901960784,0.7837837837837838,0.0
V304_FULL,204,181,0.8872549019607843,0.6862745098039216,0.07352941176470584
STRICT_TURN_FORM,204,168,0.8235294117647058,0.7837837837837838,0.009803921568627416
STRICT_TURN_FORM_STMOTOR,204,168,0.8235294117647058,0.7222222222222222,0.009803921568627416
