grade,subset,races,hits7,trifecta_hit_rate_pct,odds_races,odds_coverage_pct,avg_composite_odds7,median_composite_odds7
A,A1_PRESENT,55,27,49.09090909090909,49,89.0909090909091,1.574821426595654,1.632900629238654
A,A2_ONLY,73,39,53.42465753424658,69,94.52054794520548,1.529995667257664,1.4486272559165487
A,B1_ANY_A1A2,128,66,51.5625,118,92.1875,1.5486097537624226,1.4846424283444906
S,A1_PRESENT,11,8,72.72727272727273,8,72.72727272727273,1.4828143749795404,1.6986456291261145
S,A2_ONLY,26,13,50.0,25,96.15384615384616,1.5233469965934738,1.4520534073731657
S,B1_ANY_A1A2,37,21,56.75675675675676,33,89.1891891891892,1.5135209065052475,1.4796586896942023
