month,scope,model,alpha,races,top1_pct,top2_pct,top3_pct,top4_pct,top6_pct,top10_pct,top20_pct
2026-04,ALL,V96,0.0,23,8.695652173913043,17.391304347826086,26.08695652173913,39.130434782608695,39.130434782608695,65.21739130434783,100.0
2026-04,ALL,TOP4_PLAYER_TB,1.0,23,13.043478260869565,34.78260869565217,34.78260869565217,39.130434782608695,39.130434782608695,65.21739130434783,100.0
2026-04,SA,V96,0.0,11,0.0,18.181818181818183,27.272727272727273,36.36363636363637,36.36363636363637,54.54545454545455,100.0
2026-04,SA,TOP4_PLAYER_TB,1.0,11,0.0,27.272727272727273,27.272727272727273,36.36363636363637,36.36363636363637,54.54545454545455,100.0
2026-05,ALL,V96,0.0,36,22.22222222222222,33.333333333333336,38.888888888888886,50.0,63.888888888888886,83.33333333333333,100.0
2026-05,ALL,TOP4_PLAYER_TB,1.0,36,22.22222222222222,33.333333333333336,41.666666666666664,50.0,63.888888888888886,83.33333333333333,100.0
2026-05,SA,V96,0.0,15,26.666666666666668,40.0,46.666666666666664,53.333333333333336,66.66666666666667,86.66666666666667,100.0
2026-05,SA,TOP4_PLAYER_TB,1.0,15,20.0,33.333333333333336,40.0,53.333333333333336,66.66666666666667,86.66666666666667,100.0
2026-06,ALL,V96,0.0,28,14.285714285714286,25.0,32.142857142857146,42.857142857142854,60.714285714285715,78.57142857142857,100.0
2026-06,ALL,TOP4_PLAYER_TB,1.0,28,10.714285714285714,25.0,35.714285714285715,42.857142857142854,60.714285714285715,78.57142857142857,100.0
2026-06,SA,V96,0.0,14,14.285714285714286,28.571428571428573,35.714285714285715,42.857142857142854,64.28571428571429,85.71428571428571,100.0
2026-06,SA,TOP4_PLAYER_TB,1.0,14,14.285714285714286,28.571428571428573,35.714285714285715,42.857142857142854,64.28571428571429,85.71428571428571,100.0
