floor,month,coverage_pct,R,head4_wins,hits,head4_rate_pct,hit_rate_pct,avg_comp,return_yen,profit_yen,roi_pct
3.0,2026-04,96.7741935483871,30,11,6,36.666666666666664,20.0,6.447720565572108,577460.0,277460.0,192.48666666666668
3.0,2026-05,88.23529411764706,30,12,6,40.0,20.0,5.7660519976942455,343280.0,43280.0,114.42666666666666
3.0,2026-06,97.14285714285714,34,13,4,38.23529411764706,11.76470588235294,6.1217132187402346,281570.0,-58430.0,82.81470588235294
4.0,2026-04,80.64516129032258,25,11,6,44.0,24.0,7.06349715587451,577460.0,327460.0,230.984
4.0,2026-05,67.6470588235294,23,9,4,39.130434782608695,17.391304347826086,6.384454812933455,265330.0,35330.0,115.36086956521739
4.0,2026-06,80.0,28,12,4,42.857142857142854,14.285714285714285,6.67574213277898,281570.0,1570.0,100.56071428571428
5.0,2026-04,64.51612903225806,20,10,6,50.0,30.0,7.661176897413398,577460.0,377460.0,288.73
5.0,2026-05,35.294117647058826,12,6,3,50.0,25.0,8.018156198459684,222700.0,102700.0,185.58333333333334
5.0,2026-06,51.42857142857143,18,6,2,33.33333333333333,11.11111111111111,7.88705896883942,191130.0,11130.0,106.18333333333334
6.0,2026-04,54.83870967741935,17,10,6,58.82352941176471,35.294117647058826,8.051144246528896,577460.0,407460.0,339.6823529411765
6.0,2026-05,32.35294117647059,11,6,3,54.54545454545454,27.27272727272727,8.209036297189568,222700.0,112700.0,202.45454545454547
6.0,2026-06,34.285714285714285,12,4,1,33.33333333333333,8.333333333333332,9.021057009959398,133170.0,13170.0,110.975
7.0,2026-04,35.483870967741936,11,9,6,81.81818181818183,54.54545454545454,8.981818049060172,577460.0,467460.0,524.9636363636364
7.0,2026-05,26.470588235294116,9,5,2,55.55555555555556,22.22222222222222,8.615505171659304,160120.0,70120.0,177.9111111111111
7.0,2026-06,22.857142857142858,8,4,1,50.0,12.5,10.289616718233608,133170.0,53170.0,166.4625
8.0,2026-04,29.032258064516128,9,8,6,88.88888888888889,66.66666666666666,9.35851532556166,577460.0,487460.0,641.6222222222223
8.0,2026-05,14.705882352941176,5,3,1,60.0,20.0,9.57464872798641,87400.0,37400.0,174.8
8.0,2026-06,20.0,7,4,1,57.14285714285714,14.285714285714285,10.705330168205327,133170.0,63170.0,190.24285714285713
9.0,2026-04,16.129032258064516,5,4,4,80.0,80.0,10.117359167032305,411370.0,361370.0,822.74
9.0,2026-05,8.823529411764707,3,2,0,66.66666666666666,0.0,10.2083438634935,0.0,-30000.0,0.0
9.0,2026-06,11.428571428571429,4,2,1,50.0,25.0,12.338179291346675,133170.0,93170.0,332.925
10.0,2026-04,6.451612903225806,2,2,2,100.0,100.0,11.227848223373776,225390.0,205390.0,1126.95
10.0,2026-05,5.882352941176471,2,2,0,100.0,0.0,10.600508723276903,0.0,-20000.0,0.0
10.0,2026-06,11.428571428571429,4,2,1,50.0,25.0,12.338179291346675,133170.0,93170.0,332.925
12.0,2026-04,0.0,0,0,0,,,,0.0,0.0,
12.0,2026-05,0.0,0,0,0,,,,0.0,0.0,
12.0,2026-06,5.714285714285714,2,1,1,50.0,50.0,14.118036224654325,133170.0,113170.0,665.85
15.0,2026-04,0.0,0,0,0,,,,0.0,0.0,
15.0,2026-05,0.0,0,0,0,,,,0.0,0.0,
15.0,2026-06,0.0,0,0,0,,,,0.0,0.0,
