month,train,test,head_features,guard_features,second_features,third_features,second_train_races,third_train_races,head_oof,guard_oof
2026-02,13428,4071,240,216,78,193,13428,7450,4959,4959
2026-03,17499,4565,240,216,78,193,17499,9708,9030,9030
2026-04,22064,4204,240,216,78,193,22064,12218,13595,13595
2026-05,26268,4744,240,216,78,193,26268,14538,17799,17799
2026-06,31012,4450,240,216,78,193,31012,17141,22543,22543
