1ブロック力,1対3圧力,2壁弱さ,3スタート先行度,3伸び,3旋回足,3脅威度,bet_hit,composite_odds,date,head_hit,model,prob,race,race_code,return,score,tickets,venue,まくり差し指数,直まくり指数
0.721,0.822,0.471,0.525,0.905,0.809,0.698,0,5.07,2026-08-22,0,3まくり差し心理,0.0461,06R,202608220606,0,77.48,8,06,0.775,0.612
0.709,1.0,0.086,0.325,0.5,0.5,0.908,0,5.0,2026-08-22,0,3まくり差し心理,0.065,03R,202608220803,0,69.74,7,08,0.697,0.468
0.825,0.855,0.511,0.618,0.5,0.5,0.576,0,9.56,2026-08-22,0,3まくり差し心理,0.0693,10R,202608220810,0,67.07,20,08,0.671,0.541
0.647,0.871,0.523,0.567,0.677,0.695,0.734,0,5.09,2026-08-22,0,3まくり差し心理,0.0461,04R,202608221604,0,78.07,10,16,0.781,0.629
0.716,0.48,0.583,0.623,0.757,0.23,0.694,0,5.1,2026-08-22,0,3まくり心理,0.0872,03R,202608221903,0,62.48,8,19,0.569,0.625
0.857,1.0,0.536,0.6,0.568,0.514,0.884,1,5.04,2026-08-22,1,3まくり心理,0.0885,06R,202608221906,30650,65.47,11,19,0.811,0.655
0.857,1.0,0.536,0.6,0.568,0.514,0.884,1,5.0,2026-08-22,0,3まくり差し心理,0.0461,06R,202608221906,61300,81.09,11,19,0.811,0.655
0.725,0.756,0.45,0.567,0.5,0.5,0.568,0,5.63,2026-08-22,0,3まくり差し心理,0.0726,11R,202608222011,0,64.61,20,20,0.646,0.507
0.472,0.557,0.694,0.751,0.5,0.5,0.754,0,5.03,2026-08-22,0,3まくり心理,0.0784,02R,202608222202,0,71.13,6,22,0.627,0.711
0.472,0.557,0.694,0.751,0.5,0.5,0.754,1,5.01,2026-08-22,0,3まくり差し心理,0.0772,02R,202608222202,15570,62.65,8,22,0.627,0.711
0.619,0.926,0.075,0.367,0.5,0.5,0.916,0,5.06,2026-08-22,0,3まくり差し心理,0.0692,03R,202608222203,0,68.47,5,22,0.685,0.477
0.695,0.957,0.075,0.476,0.5,0.5,0.712,0,5.03,2026-08-22,0,3まくり差し心理,0.0699,04R,202608222204,0,67.49,8,22,0.675,0.449
0.811,1.0,0.3,0.509,0.423,0.771,0.754,0,6.17,2026-08-22,0,3まくり差し心理,0.0461,11R,202608222311,0,80.34,20,23,0.803,0.538
0.882,0.539,0.15,0.183,0.72,0.6,0.834,0,7.86,2026-08-22,0,3まくり差し心理,0.1015,12R,202608222312,0,56.22,20,23,0.562,0.435
0.82,0.923,0.597,0.59,0.817,0.895,0.889,0,5.62,2026-08-22,0,3まくり心理,0.0917,06R,202608222406,0,68.52,17,24,0.868,0.685
0.82,0.923,0.597,0.59,0.817,0.895,0.889,0,5.04,2026-08-22,0,3まくり差し心理,0.0461,06R,202608222406,0,86.8,8,24,0.868,0.685
0.876,0.85,0.536,0.549,0.509,0.515,0.571,0,5.25,2026-08-23,0,3まくり差し心理,0.0648,09R,202608230209,0,69.81,20,02,0.698,0.523
0.84,0.835,0.15,0.453,0.794,0.524,0.678,0,5.0,2026-08-23,0,3まくり差し心理,0.0721,11R,202608230211,0,65.5,5,02,0.655,0.479
0.766,0.0,0.694,1.0,0.59,0.5,0.795,1,5.03,2026-08-23,0,3まくり心理,0.0987,03R,202608230303,7120,80.9,13,03,0.441,0.809
0.704,0.571,0.484,0.615,0.47,0.5,0.676,0,5.02,2026-08-23,0,3まくり差し心理,0.0873,05R,202608230305,0,60.58,3,03,0.606,0.538
0.553,0.783,0.3,0.517,0.47,0.5,0.733,0,5.03,2026-08-23,0,3まくり差し心理,0.0689,08R,202608230308,0,66.99,12,03,0.67,0.516
0.729,0.554,0.274,0.509,0.47,0.5,0.634,0,5.76,2026-08-23,0,3まくり差し心理,0.0846,09R,202608230309,0,61.39,20,03,0.614,0.512
0.52,0.214,0.646,0.816,0.808,0.514,0.687,0,5.1,2026-08-23,0,3まくり心理,0.0755,01R,202608230401,0,74.04,8,04,0.512,0.74
0.457,0.33,0.853,0.706,0.605,0.144,0.517,0,5.04,2026-08-23,0,3まくり心理,0.0892,01R,202608230601,0,69.17,12,06,0.488,0.692
0.509,0.7,0.0,0.375,0.86,0.8,0.778,0,5.03,2026-08-23,0,3まくり差し心理,0.0724,03R,202608230603,0,64.86,7,06,0.649,0.48
0.792,0.819,0.148,0.243,0.208,0.58,0.705,0,5.18,2026-08-23,0,3まくり差し心理,0.1001,09R,202608230609,0,58.16,20,06,0.582,0.334
0.687,0.838,0.45,0.59,0.47,0.5,0.61,0,5.02,2026-08-23,0,3まくり差し心理,0.0699,08R,202608230808,0,67.35,12,08,0.674,0.534
0.646,0.885,0.0,0.277,0.47,0.5,0.776,0,5.08,2026-08-23,0,3まくり差し心理,0.0908,09R,202608230809,0,59.94,9,08,0.599,0.383
0.882,1.0,0.225,0.434,0.41,0.5,0.836,0,5.62,2026-08-23,0,3まくり差し心理,0.0543,11R,202608230811,0,72.63,20,08,0.726,0.481
0.83,0.608,0.609,0.59,0.5,0.5,0.578,1,5.0,2026-08-23,0,3まくり差し心理,0.0768,11R,202608231811,34120,62.85,7,18,0.629,0.547
0.823,1.0,0.473,0.515,0.614,0.524,0.639,0,5.19,2026-08-23,0,3まくり差し心理,0.0549,12R,202608231912,0,72.53,20,19,0.725,0.516
0.765,0.949,0.11,0.324,0.163,0.57,0.664,0,5.85,2026-08-23,0,3まくり差し心理,0.073,03R,202608232003,0,65.09,20,20,0.651,0.391
0.852,0.435,0.075,0.292,0.726,0.81,0.85,0,5.04,2026-08-23,1,3まくり差し心理,0.0898,07R,202608232007,0,60.17,4,20,0.602,0.46
0.765,0.772,0.15,0.427,0.592,0.885,0.571,1,5.04,2026-08-23,0,3まくり差し心理,0.0727,11R,202608232011,21240,63.99,9,20,0.64,0.381
0.798,0.996,0.0,0.427,0.769,0.715,0.764,0,6.9,2026-08-23,0,3まくり差し心理,0.0507,11R,202608232111,0,73.21,20,21,0.732,0.478
0.846,1.0,0.817,0.691,0.443,0.305,0.692,1,5.01,2026-08-23,0,3まくり心理,0.0904,12R,202608232112,14250,66.34,15,21,0.717,0.663
0.6,0.803,0.0,0.275,0.706,0.611,0.669,0,5.04,2026-08-23,0,3まくり差し心理,0.1014,04R,202608232204,0,56.8,12,22,0.568,0.373
0.61,0.837,0.56,0.673,0.88,0.335,0.735,0,5.09,2026-08-23,0,3まくり心理,0.0919,07R,202608232207,0,67.5,11,22,0.669,0.675
0.94,0.955,0.45,0.581,0.663,0.705,0.847,1,9.44,2026-08-23,0,3まくり差し心理,0.0461,11R,202608232411,47080,82.68,20,24,0.827,0.63
0.525,0.552,0.012,0.519,0.53,0.5,0.619,0,5.02,2026-08-24,0,3まくり差し心理,0.1008,08R,202608240308,0,57.43,12,03,0.574,0.47
0.944,1.0,0.45,0.656,0.5,0.5,0.729,0,5.05,2026-08-24,0,3まくり差し心理,0.0461,09R,202608240309,0,75.02,20,03,0.75,0.613
0.626,0.44,0.225,0.633,0.209,0.58,0.681,1,5.0,2026-08-24,1,3まくり差し心理,0.1014,06R,202608240606,10830,56.84,11,06,0.568,0.498
0.825,0.315,0.511,0.918,0.757,0.895,0.636,0,5.04,2026-08-24,0,3まくり心理,0.0833,08R,202608240708,0,70.05,10,07,0.546,0.7
0.814,0.703,0.462,0.525,0.41,0.5,0.836,0,5.05,2026-08-24,0,3まくり差し心理,0.0555,04R,202608240804,0,72.44,10,08,0.724,0.592
0.894,1.0,0.45,0.618,0.41,0.5,0.797,0,5.0,2026-08-24,0,3まくり差し心理,0.0461,09R,202608240809,0,76.42,7,08,0.764,0.59
0.957,0.414,0.3,0.383,0.59,0.5,0.722,0,5.02,2026-08-24,0,3まくり差し心理,0.101,10R,202608240810,0,57.19,20,08,0.572,0.494
0.867,0.623,0.361,0.708,0.65,0.5,0.695,0,6.38,2026-08-24,0,3まくり差し心理,0.0866,11R,202608240811,0,60.84,20,08,0.608,0.595
0.565,0.348,0.731,0.741,0.5,0.5,0.685,0,5.07,2026-08-24,0,3まくり心理,0.0821,06R,202608241006,0,70.27,5,10,0.575,0.703
0.565,0.348,0.731,0.741,0.5,0.5,0.685,0,5.07,2026-08-24,0,3まくり差し心理,0.1008,06R,202608241006,0,57.45,7,10,0.575,0.703
0.778,0.78,0.148,0.525,0.5,0.5,0.684,0,5.02,2026-08-24,0,3まくり差し心理,0.0698,07R,202608241007,0,67.29,9,10,0.673,0.504
0.769,0.574,0.399,0.551,0.5,0.5,0.722,0,5.03,2026-08-24,0,3まくり差し心理,0.0699,10R,202608241010,0,66.7,10,10,0.667,0.573
0.833,1.0,0.0,0.281,0.5,0.5,0.789,0,5.07,2026-08-24,0,3まくり差し心理,0.0721,11R,202608241011,0,65.59,7,10,0.656,0.409
0.614,0.561,0.285,0.418,0.5,0.5,0.722,0,5.01,2026-08-24,0,3まくり差し心理,0.0908,01R,202608241301,0,59.93,4,13,0.599,0.505
0.799,0.911,0.3,0.509,0.5,0.5,0.76,0,6.66,2026-08-24,0,3まくり差し心理,0.05,09R,202608241309,0,73.32,20,13,0.733,0.545
0.911,1.0,0.375,0.533,0.5,0.5,0.716,0,8.13,2026-08-24,0,3まくり差し心理,0.0514,12R,202608241312,0,73.1,20,13,0.731,0.495
0.745,1.0,0.0,0.333,0.5,0.5,0.753,0,5.05,2026-08-24,0,3まくり差し心理,0.0722,03R,202608241503,0,64.26,11,15,0.643,0.392
0.876,0.484,0.572,0.448,0.5,0.5,0.571,0,5.03,2026-08-24,0,3まくり差し心理,0.1002,04R,202608241504,0,57.9,18,15,0.579,0.494
0.852,1.0,0.15,0.459,0.5,0.5,0.79,1,5.14,2026-08-24,1,3まくり差し心理,0.0549,12R,202608241512,28700,72.53,20,15,0.725,0.492
0.826,0.455,0.609,0.525,0.469,0.499,0.533,1,5.02,2026-08-24,0,3まくり差し心理,0.101,03R,202608241803,14820,57.18,17,18,0.572,0.488
0.482,0.096,0.682,0.891,0.48,0.6,0.661,1,5.11,2026-08-24,0,3まくり心理,0.0917,10R,202608241810,17950,67.8,10,18,0.438,0.678
0.432,0.092,0.523,0.756,0.86,0.8,0.712,0,6.72,2026-08-24,0,3まくり心理,0.0807,06R,202608241906,0,70.48,20,19,0.539,0.705
0.712,0.56,0.639,0.417,0.663,0.705,0.503,0,5.04,2026-08-24,0,3まくり差し心理,0.0866,02R,202608242102,0,60.83,19,21,0.608,0.502
0.663,0.768,0.347,0.661,0.318,0.761,0.739,0,5.15,2026-08-24,0,3まくり差し心理,0.064,08R,202608242108,0,70.28,15,21,0.703,0.56
0.846,1.0,0.78,0.691,0.249,0.381,0.605,0,5.47,2026-08-24,0,3まくり心理,0.0799,11R,202608242111,0,59.69,20,21,0.695,0.597
0.646,0.802,0.147,0.234,0.983,0.905,0.731,1,5.04,2026-08-24,1,3まくり差し心理,0.07,03R,202608242203,15300,66.3,4,22,0.663,0.465
0.914,1.0,0.075,0.359,0.5,0.5,0.747,0,10.24,2026-08-25,0,3まくり差し心理,0.0732,02R,202608250102,0,65.27,20,01,0.653,0.386
0.82,0.952,0.0,0.376,0.5,0.5,0.917,0,7.15,2026-08-25,0,3まくり差し心理,0.0647,06R,202608250106,0,69.86,20,01,0.699,0.463
0.902,0.879,0.0,0.176,0.58,0.766,0.943,0,5.0,2026-08-25,0,3まくり差し心理,0.07,08R,202608250108,0,67.61,11,01,0.676,0.406
0.91,0.904,0.075,0.226,0.5,0.5,0.903,0,7.25,2026-08-25,0,3まくり差し心理,0.0731,11R,202608250111,0,65.14,20,01,0.651,0.424
0.635,0.927,0.45,0.693,0.65,0.5,0.826,0,5.01,2026-08-25,0,3まくり差し心理,0.0617,02R,202608250302,0,71.06,7,03,0.711,0.636
0.783,0.325,0.56,0.865,0.35,0.5,0.566,0,5.06,2026-08-25,0,3まくり心理,0.087,05R,202608250305,0,62.4,20,03,0.471,0.624
0.453,0.504,0.208,0.425,0.509,0.515,0.795,0,5.08,2026-08-25,0,3まくり差し心理,0.0952,03R,202608250603,0,59.15,10,06,0.592,0.515
0.877,0.381,0.523,0.364,0.346,0.676,0.724,0,5.01,2026-08-25,0,3まくり差し心理,0.0989,07R,202608250607,0,58.52,15,06,0.585,0.47
0.806,1.0,0.499,0.691,0.41,0.5,0.816,0,5.01,2026-08-25,1,3まくり差し心理,0.0461,03R,202608250803,0,74.74,7,08,0.747,0.631
0.505,0.378,0.248,0.543,0.53,0.5,0.831,0,5.17,2026-08-25,0,3まくり差し心理,0.0878,04R,202608250804,0,60.41,11,08,0.604,0.558
0.807,0.874,0.0,0.384,0.59,0.5,0.637,0,7.81,2026-08-25,0,3まくり差し心理,0.0969,11R,202608250811,0,58.95,20,08,0.59,0.362
0.831,0.797,0.15,0.442,0.223,0.57,0.587,0,8.05,2026-08-25,0,3まくり差し心理,0.0857,07R,202608250907,0,61.28,20,09,0.613,0.375
0.674,0.0,0.817,0.798,0.275,0.856,0.719,0,5.01,2026-08-25,0,3まくり心理,0.0909,09R,202608251009,0,66.7,10,10,0.527,0.667
0.634,0.795,0.45,0.766,0.463,0.505,0.738,0,5.02,2026-08-25,0,3まくり差し心理,0.0721,11R,202608251011,0,65.77,11,10,0.658,0.658
0.504,0.116,0.597,0.959,0.279,0.4,0.765,0,5.07,2026-08-25,0,3まくり心理,0.0784,01R,202608251301,0,71.06,4,13,0.415,0.711
0.689,0.589,0.196,0.309,0.619,0.8,0.675,0,5.11,2026-08-25,0,3まくり差し心理,0.091,03R,202608251303,0,59.87,17,13,0.599,0.431
0.782,0.984,0.597,0.572,0.539,0.6,0.675,0,5.13,2026-08-25,0,3まくり差し心理,0.0461,04R,202608251304,0,76.23,12,13,0.762,0.568
0.911,0.365,0.375,0.322,0.82,1.0,0.669,0,6.28,2026-08-25,0,3まくり差し心理,0.0965,10R,202608251310,0,59.01,20,13,0.59,0.439
0.777,0.59,0.45,0.732,0.5,0.5,0.786,1,5.07,2026-08-25,0,3まくり差し心理,0.0788,02R,202608251702,24240,62.39,5,17,0.624,0.638
0.867,0.669,0.45,0.399,0.5,0.5,0.702,0,9.68,2026-08-25,0,3まくり差し心理,0.0731,03R,202608251703,0,65.11,20,17,0.651,0.53
0.88,0.65,0.422,0.316,0.5,0.5,0.671,0,8.21,2026-08-25,0,3まくり差し心理,0.0942,05R,202608251705,0,59.32,20,17,0.593,0.458
0.638,0.899,0.0,0.275,0.5,0.5,0.704,0,5.1,2026-08-25,0,3まくり差し心理,0.0994,06R,202608251706,0,58.25,10,17,0.583,0.364
0.876,0.72,0.15,0.459,0.81,0.9,0.649,0,11.96,2026-08-25,0,3まくり差し心理,0.0626,12R,202608251812,0,70.83,20,18,0.708,0.502
0.905,1.0,0.225,0.4,0.73,0.817,0.932,0,6.18,2026-08-26,0,3まくり差し心理,0.0461,02R,202608260102,0,80.92,20,01,0.809,0.542
0.879,1.0,0.375,0.541,0.69,0.783,0.913,0,5.49,2026-08-26,0,3まくり差し心理,0.0461,04R,202608260104,0,85.97,20,01,0.86,0.616
0.93,0.733,0.0,0.259,0.381,0.931,0.876,0,5.02,2026-08-26,0,3まくり差し心理,0.0699,05R,202608260105,0,68.27,13,01,0.683,0.399
0.873,1.0,0.45,0.65,0.561,0.931,0.772,0,8.21,2026-08-26,0,3まくり差し心理,0.0461,07R,202608260107,0,80.67,20,01,0.807,0.577
0.874,0.921,0.075,0.268,0.66,0.6,0.753,0,5.12,2026-08-26,0,3まくり差し心理,0.0879,08R,202608260108,0,60.47,20,01,0.605,0.342
0.89,0.716,0.15,0.215,0.181,0.731,0.833,0,5.02,2026-08-26,0,3まくり差し心理,0.0811,09R,202608260109,0,61.92,12,01,0.619,0.364
0.542,0.895,0.342,0.376,0.35,0.5,0.826,0,5.02,2026-08-26,0,3まくり差し心理,0.0676,04R,202608260304,0,69.23,5,03,0.692,0.515
0.539,0.659,0.841,0.775,0.774,0.99,0.75,0,5.03,2026-08-26,0,3まくり心理,0.0776,06R,202608260606,0,77.12,8,06,0.75,0.771
0.539,0.659,0.841,0.775,0.774,0.99,0.75,0,5.16,2026-08-26,0,3まくり差し心理,0.0461,06R,202608260606,0,74.99,4,06,0.75,0.771
0.647,0.829,0.45,0.632,0.491,0.948,0.818,0,5.03,2026-08-26,0,3まくり差し心理,0.0461,07R,202608260607,0,79.44,5,06,0.794,0.615
0.906,1.0,0.45,0.547,0.361,0.731,0.845,0,8.86,2026-08-26,0,3まくり差し心理,0.0461,12R,202608260612,0,83.44,20,06,0.834,0.567
0.79,0.595,0.272,0.576,0.47,0.5,0.836,0,5.0,2026-08-26,0,3まくり差し心理,0.0699,06R,202608260806,0,67.4,14,08,0.674,0.573
0.897,0.454,0.375,0.424,0.59,0.5,0.844,0,5.03,2026-08-26,0,3まくり差し心理,0.0772,11R,202608260811,0,62.55,12,08,0.626,0.549
0.815,0.671,0.225,0.333,0.35,0.5,0.797,0,5.04,2026-08-26,0,3まくり差し心理,0.0877,12R,202608260812,0,60.36,18,08,0.604,0.435
0.296,0.0,0.707,0.966,0.438,0.761,0.714,1,5.19,2026-08-26,0,3まくり心理,0.077,04R,202608260904,37760,77.02,7,09,0.458,0.77
0.851,0.632,0.45,0.876,0.666,0.876,0.825,0,5.04,2026-08-26,0,3まくり差し心理,0.0704,09R,202608260909,0,67.93,9,09,0.679,0.726
0.82,0.358,0.499,0.431,0.817,0.895,0.727,0,5.07,2026-08-26,0,3まくり差し心理,0.0753,10R,202608260910,0,63.05,3,09,0.631,0.525
0.679,0.805,0.776,0.708,0.5,0.5,0.89,0,5.04,2026-08-26,0,3まくり心理,0.0752,02R,202608261102,0,74.12,10,11,0.749,0.741
0.679,0.805,0.776,0.708,0.5,0.5,0.89,0,5.16,2026-08-26,0,3まくり差し心理,0.0461,02R,202608261102,0,74.91,9,11,0.749,0.741
0.677,0.905,0.3,0.458,0.5,0.5,0.717,1,5.02,2026-08-26,1,3まくり差し心理,0.0687,04R,202608261104,18720,68.66,10,11,0.687,0.498
0.652,0.745,0.792,0.607,0.432,0.485,0.699,0,5.03,2026-08-26,0,3まくり心理,0.0876,06R,202608261106,0,64.48,12,11,0.71,0.645
0.652,0.745,0.792,0.607,0.432,0.485,0.699,0,5.01,2026-08-26,0,3まくり差し心理,0.0619,06R,202608261106,0,71.02,13,11,0.71,0.645
0.477,0.0,0.78,0.865,1.0,1.0,0.798,0,5.08,2026-08-26,0,3まくり心理,0.0951,01R,202608261301,0,81.99,5,13,0.567,0.82
0.764,0.923,0.134,0.3,0.5,0.5,0.625,1,5.03,2026-08-26,1,3まくり差し心理,0.081,05R,202608261405,66880,61.98,7,14,0.62,0.412
0.667,0.909,0.424,0.61,0.5,0.5,0.757,1,5.11,2026-08-26,1,3まくり差し心理,0.0573,08R,202608261408,16510,72.11,4,14,0.721,0.584
0.804,0.706,0.487,0.683,0.5,0.5,0.56,0,5.02,2026-08-26,0,3まくり差し心理,0.0897,11R,202608261411,0,60.17,7,14,0.602,0.545
0.74,0.445,0.3,0.817,0.734,0.524,0.821,0,5.06,2026-08-26,0,3まくり差し心理,0.1016,03R,202608261503,0,56.36,6,15,0.564,0.677
0.764,0.661,0.682,0.659,0.76,0.334,0.577,0,5.0,2026-08-26,0,3まくり心理,0.0878,01R,202608261701,0,64.31,9,17,0.615,0.643
0.648,0.802,0.075,0.492,0.817,0.895,0.728,0,5.03,2026-08-26,0,3まくり差し心理,0.0504,10R,202608261710,0,73.27,13,17,0.733,0.518
0.794,1.0,0.0,0.494,0.563,0.97,0.82,0,5.01,2026-08-26,0,3まくり差し心理,0.0461,11R,202608261711,0,78.93,9,17,0.789,0.454
0.943,1.0,0.45,0.656,0.617,0.695,0.748,0,5.12,2026-08-26,0,3まくり差し心理,0.0461,12R,202608261712,0,77.37,20,17,0.774,0.601
0.557,0.414,0.621,0.7,0.598,0.496,0.62,1,5.06,2026-08-26,1,3まくり心理,0.0881,03R,202608262003,16450,63.94,11,20,0.562,0.639
0.557,0.414,0.621,0.7,0.598,0.496,0.62,1,5.09,2026-08-26,0,3まくり差し心理,0.1015,03R,202608262003,9870,56.23,12,20,0.562,0.639
0.782,0.688,0.15,0.376,0.558,0.513,0.629,0,5.2,2026-08-26,0,3まくり差し心理,0.1015,10R,202608262010,0,56.31,20,20,0.563,0.394
0.523,0.53,0.15,0.266,0.275,0.856,0.76,0,5.04,2026-08-26,0,3まくり差し心理,0.0942,03R,202608262203,0,59.33,6,22,0.593,0.413
0.864,0.926,0.075,0.234,0.54,0.966,0.766,0,9.82,2026-08-27,0,3まくり差し心理,0.0654,05R,202608270105,0,69.35,20,01,0.693,0.374
0.858,0.619,0.45,0.439,0.5,0.5,0.802,0,5.02,2026-08-27,0,3まくり差し心理,0.0731,03R,202608270403,0,65.22,9,04,0.652,0.529
0.571,0.538,0.3,0.542,0.5,0.5,0.629,1,5.02,2026-08-27,1,3まくり差し心理,0.0989,04R,202608270704,36000,58.57,9,07,0.586,0.485
0.756,0.813,0.534,0.442,0.5,0.5,0.734,0,5.07,2026-08-27,0,3まくり差し心理,0.064,09R,202608270709,0,70.26,13,07,0.703,0.559
0.71,0.616,0.487,0.7,0.41,0.5,0.723,1,5.06,2026-08-27,0,3まくり差し心理,0.0789,02R,202608270802,6380,62.24,15,08,0.622,0.607
0.587,0.52,0.45,0.659,0.47,0.5,0.591,0,6.1,2026-08-27,0,3まくり差し心理,0.1009,05R,202608270805,0,57.34,20,08,0.573,0.566
0.809,1.0,0.0,0.361,0.65,0.5,0.665,0,6.15,2026-08-27,0,3まくり差し心理,0.0731,10R,202608270810,0,65.17,20,08,0.652,0.422
0.781,1.0,0.0,0.301,0.59,0.5,0.8,0,5.11,2026-08-27,0,3まくり差し心理,0.073,12R,202608270812,0,64.13,12,08,0.641,0.392
0.777,0.756,0.496,0.468,0.845,0.809,0.54,0,5.81,2026-08-27,0,3まくり差し心理,0.0687,01R,202608270901,0,68.6,20,09,0.686,0.513
0.889,1.0,0.658,0.667,0.834,0.99,0.882,0,5.07,2026-08-27,0,3まくり心理,0.0764,09R,202608270909,0,72.62,13,09,0.891,0.726
0.889,1.0,0.658,0.667,0.834,0.99,0.882,0,5.04,2026-08-27,0,3まくり差し心理,0.0461,09R,202608270909,0,89.11,9,09,0.891,0.726
0.822,0.451,0.633,0.551,0.431,0.485,0.748,0,5.03,2026-08-27,1,3まくり差し心理,0.0722,10R,202608270910,0,65.63,6,09,0.656,0.597
0.862,0.754,0.45,0.734,0.811,0.619,0.728,0,5.01,2026-08-27,0,3まくり差し心理,0.0683,04R,202608271004,0,68.79,9,10,0.688,0.674
0.777,0.803,0.0,0.307,0.351,0.501,0.689,0,5.0,2026-08-27,0,3まくり差し心理,0.1009,02R,202608271302,0,57.32,10,13,0.573,0.352
0.448,0.365,0.225,0.617,1.0,1.0,0.903,0,5.0,2026-08-27,0,3まくり差し心理,0.0687,03R,202608271303,0,68.66,10,13,0.687,0.643
0.882,1.0,0.548,0.573,0.69,0.9,0.705,0,5.03,2026-08-27,0,3まくり差し心理,0.0461,09R,202608271309,0,82.44,12,13,0.824,0.573
0.911,1.0,0.15,0.359,0.56,0.8,0.833,0,13.61,2026-08-27,0,3まくり差し心理,0.0461,11R,202608271311,0,76.31,20,13,0.763,0.475
0.858,0.483,0.462,0.583,0.266,0.476,0.582,0,5.25,2026-08-27,0,3まくり差し心理,0.0988,01R,202608271401,0,58.55,20,14,0.585,0.499
0.736,0.0,0.523,1.0,0.348,0.115,0.935,0,5.08,2026-08-27,0,3まくり心理,0.079,10R,202608271410,0,77.49,6,14,0.377,0.775
0.489,0.519,0.375,0.719,0.163,0.57,0.707,1,5.16,2026-08-27,0,3まくり差し心理,0.1015,11R,202608271411,17120,56.23,5,14,0.562,0.539
0.861,1.0,0.56,0.533,0.383,0.97,0.891,0,5.06,2026-08-27,0,3まくり差し心理,0.0461,12R,202608271412,0,90.8,13,14,0.908,0.623
0.742,0.747,0.312,0.492,0.871,0.619,0.54,0,6.84,2026-08-27,0,3まくり差し心理,0.074,10R,202608271710,0,63.53,20,17,0.635,0.487
0.851,1.0,0.3,0.515,0.914,0.524,0.878,0,5.04,2026-08-27,0,3まくり差し心理,0.0461,11R,202608271711,0,78.78,6,17,0.788,0.605
0.831,0.533,0.225,0.315,0.73,0.7,0.713,0,8.09,2026-08-27,0,3まくり差し心理,0.0969,11R,202608271811,0,58.96,20,18,0.59,0.455
0.809,0.536,0.45,0.433,0.349,0.781,0.603,0,6.6,2026-08-27,0,3まくり差し心理,0.0873,10R,202608272210,0,60.59,20,22,0.606,0.423
0.85,1.0,0.15,0.417,0.42,0.6,0.932,0,9.58,2026-08-28,0,3まくり差し心理,0.0461,07R,202608280107,0,76.11,20,01,0.761,0.501
0.917,1.0,0.3,0.425,0.371,0.948,0.867,0,6.27,2026-08-28,0,3まくり差し心理,0.0461,09R,202608280109,0,83.7,20,01,0.837,0.522
0.806,1.0,0.499,0.581,0.483,0.77,0.777,0,5.02,2026-08-28,0,3まくり差し心理,0.0461,03R,202608280403,0,81.87,10,04,0.819,0.587
0.493,0.392,0.3,0.55,0.5,0.5,0.663,0,5.47,2026-08-28,0,3まくり差し心理,0.1008,02R,202608280502,0,57.45,20,05,0.575,0.527
0.64,0.592,0.086,0.41,0.5,0.5,0.73,0,5.02,2026-08-28,0,3まくり差し心理,0.0992,03R,202608280503,0,58.44,9,05,0.584,0.461
0.833,1.0,0.45,0.65,0.5,0.5,0.825,0,5.05,2026-08-28,0,3まくり差し心理,0.0461,04R,202608280504,0,76.96,10,05,0.77,0.637
0.791,0.618,0.829,0.548,0.5,0.5,0.651,0,5.1,2026-08-28,0,3まくり差し心理,0.069,06R,202608280506,0,66.5,8,05,0.665,0.567
0.916,0.662,0.498,0.624,0.5,0.5,0.571,0,6.87,2026-08-28,0,3まくり差し心理,0.0772,10R,202608280510,0,62.56,20,05,0.626,0.54
0.558,0.365,0.792,0.809,0.966,0.81,0.728,0,5.01,2026-08-28,0,3まくり心理,0.0764,03R,202608280903,0,75.44,13,09,0.61,0.754
0.558,0.365,0.792,0.809,0.966,0.81,0.728,0,5.08,2026-08-28,1,3まくり差し心理,0.0863,03R,202608280903,0,60.99,15,09,0.61,0.754
0.526,0.474,0.3,0.508,0.842,0.704,0.71,0,5.14,2026-08-28,0,3まくり差し心理,0.0872,08R,202608280908,0,60.6,5,09,0.606,0.513
0.685,0.707,0.3,0.575,0.648,0.715,0.815,1,5.02,2026-08-28,0,3まくり差し心理,0.0496,10R,202608280910,118830,73.39,6,09,0.734,0.593
0.802,0.819,0.597,0.59,0.739,0.069,0.806,0,5.07,2026-08-28,0,3まくり心理,0.0911,07R,202608281007,0,66.77,12,10,0.679,0.668
0.851,0.99,0.694,0.557,0.549,0.98,0.918,0,5.01,2026-08-28,0,3まくり差し心理,0.0461,03R,202608281103,0,93.14,10,11,0.931,0.68
0.759,0.451,0.3,0.692,0.786,0.81,0.661,0,5.02,2026-08-28,0,3まくり差し心理,0.0942,04R,202608281104,0,59.32,5,11,0.593,0.559
0.494,0.526,0.3,0.533,0.799,0.8,0.887,1,5.0,2026-08-28,0,3まくり差し心理,0.0612,01R,202608281301,9000,71.27,8,13,0.713,0.61
0.64,0.0,0.56,1.0,0.27,0.3,0.655,0,5.06,2026-08-28,0,3まくり心理,0.088,02R,202608281302,0,64.97,8,13,0.31,0.65
0.857,0.337,0.45,0.542,0.69,0.9,0.59,0,6.29,2026-08-28,0,3まくり差し心理,0.074,03R,202608281303,0,63.44,20,13,0.634,0.522
0.928,0.903,0.45,0.508,0.72,0.6,0.695,0,14.26,2026-08-28,0,3まくり差し心理,0.0524,11R,202608281311,0,72.94,20,13,0.729,0.529
0.743,0.525,0.731,0.39,0.748,0.515,0.683,0,5.17,2026-08-28,0,3まくり差し心理,0.096,04R,202608281404,0,59.04,3,14,0.59,0.526
