month,regime,feature,beta,fallback_global,train_races
2026-02,OUTER,t_cur_st__vs4,0.17200638778042437,0,22
2026-02,OUTER,t_cur_st__abs4,1.4894331074838643,0,22
2026-02,OUTER,t_cur_orig_lap__vs4,-0.17409836130529469,0,22
2026-02,OUTER,t_cur_orig_lap__abs4,-0.09572345828321914,0,22
2026-02,OUTER,t_cur_orig_turn__vs4,0.14531722066721545,0,22
2026-02,OUTER,t_cur_orig_turn__abs4,-0.03734908252546458,0,22
2026-02,OUTER,t_cur_orig_straight__vs4,0.11928875771110659,0,22
2026-02,OUTER,t_cur_orig_straight__abs4,-0.3396797440974769,0,22
2026-02,OUTER,t_h4_attack_x_is_inner123,0.5935241227748829,0,22
2026-02,OUTER,t_h4_attack_x_is_outer56,-0.6344571372164892,0,22
2026-02,OUTER,t_h4_attack_x_is_inner_edge3,0.43969571437142274,0,22
2026-02,OUTER,t_h4_attack_x_is_outer_edge5,-0.20378165016729263,0,22
2026-02,OUTER,t_h4_attack_x_cur_orig_lap,-0.8495310426495148,0,22
2026-02,OUTER,t_h4_attack_x_cur_orig_turn,-0.12330536528806722,0,22
2026-02,OUTER,t_h4_attack_x_cur_orig_straight,0.5086414369374445,0,22
2026-02,OUTER,t_h4_attack_x_cur_st,1.0420988832585558,0,22
2026-02,OUTER,pair_same_side4,0.2450595012026931,0,22
2026-02,OUTER,pair_third_inner,-0.2450595012026931,0,22
2026-02,OUTER,pair_third_outer,0.2450595012026931,0,22
2026-02,OUTER,pair_adjacent,0.2450595012026931,0,22
2026-02,OUTER,pair_distance,-0.08650528642754099,0,22
2026-02,OUTER,pair_third_minus_second,0.053720735943694795,0,22
2026-02,OUTER,pair_second_is5,5.653757306662492e-16,0,22
2026-02,OUTER,pair_second_is6,-5.653757306662492e-16,0,22
2026-02,OUTER,diff_v93_national,1.0465266583018678,0,22
2026-02,OUTER,diff_v93_local,0.4280435580562047,0,22
2026-02,OUTER,diff_v93_motor,0.2853566073667535,0,22
2026-02,OUTER,diff_v93_grade,-0.3700369590342561,0,22
2026-02,OUTER,diff_v93_nst,-1.180741595296807,0,22
2026-02,OUTER,diff_pref_pl_all_p2,0.19853956127023445,0,22
2026-02,OUTER,diff_pref_pl_all_win,0.6630161689347435,0,22
2026-02,OUTER,diff_pref_pl_frame_p2,-1.2666408636755577,0,22
2026-02,OUTER,diff_pref_pl_recent_p2,-0.41221642518987733,0,22
2026-02,OUTER,diff_pref_pl_frame_win,-0.09326491400901639,0,22
2026-02,OUTER,diff_suf_st_raw,0.9743362584296352,0,22
2026-02,OUTER,diff_suf_st_raw_strength,0.17542167218955948,0,22
2026-02,OUTER,diff_suf_st_corr_strength,-1.5457503326242155,0,22
2026-02,OUTER,diff_cur_ex,-0.0714047287484995,0,22
2026-02,OUTER,diff_cur_st,0.17429857956997188,0,22
2026-02,OUTER,diff_cur_orig_lap,-0.1650672476640406,0,22
2026-02,OUTER,diff_cur_orig_turn,0.1197175207664938,0,22
2026-02,OUTER,diff_cur_orig_straight,0.12241214150881048,0,22
2026-02,OUTER,diff_cur_orig_avg,0.15027738247736047,0,22
2026-03,INNER,t_v93_national,0.9867344139926143,0,65
2026-03,INNER,t_v93_local,0.11509298692274464,0,65
2026-03,INNER,t_cur_st,-0.047340277692017256,0,65
2026-03,INNER,t_cur_orig_lap,0.4836486833865407,0,65
2026-03,INNER,t_cur_orig_turn,-0.3600474267062526,0,65
2026-03,INNER,t_cur_orig_straight,0.06525806683519741,0,65
2026-03,INNER,t_pref_pl_all_p2,0.16229397837540332,0,65
2026-03,INNER,t_pref_pl_all_win,-0.1914397533070754,0,65
2026-03,INNER,t_pref_pl_recent_p2,-0.2865789661665285,0,65
2026-03,INNER,t_is_boat1,-0.039418210991093196,0,65
2026-03,INNER,t_is_boat2,-0.14260456741723943,0,65
2026-03,INNER,t_is_boat3,0.17678033534328266,0,65
2026-03,INNER,t_is_boat5,0.0021038734031033146,0,65
2026-03,INNER,t_is_boat6,-0.018317027288830494,0,65
2026-03,INNER,t_is_inner123,0.014041003140506941,0,65
2026-03,INNER,t_is_outer56,-0.014041003140506941,0,65
2026-03,INNER,t_is_inner_edge3,0.17678033534328266,0,65
2026-03,INNER,t_is_outer_edge5,0.0021038734031033146,0,65
2026-03,INNER,t_h4_attack,-4.1514211215078764e-16,0,65
2026-03,INNER,t_cur_st__vs4,-0.03093435020707471,0,65
2026-03,INNER,t_cur_st__abs4,0.19770196638308107,0,65
2026-03,INNER,t_cur_orig_lap__vs4,0.3444338479015534,0,65
2026-03,INNER,t_cur_orig_lap__abs4,-0.3066361294046091,0,65
2026-03,INNER,t_cur_orig_turn__vs4,-0.2595104781813078,0,65
2026-03,INNER,t_cur_orig_turn__abs4,-0.06511872491082436,0,65
2026-03,INNER,t_cur_orig_straight__vs4,0.04449572685218833,0,65
2026-03,INNER,t_cur_orig_straight__abs4,0.5256609607514261,0,65
2026-03,INNER,t_h4_attack_x_is_inner123,-0.03096444437478354,0,65
2026-03,INNER,t_h4_attack_x_is_outer56,0.030964444374782147,0,65
2026-03,INNER,t_h4_attack_x_is_inner_edge3,-0.47632523030135054,0,65
2026-03,INNER,t_h4_attack_x_is_outer_edge5,0.24334050394644305,0,65
2026-03,INNER,t_h4_attack_x_cur_orig_lap,-0.7731596810134587,0,65
2026-03,INNER,t_h4_attack_x_cur_orig_turn,0.5398732956907066,0,65
2026-03,INNER,t_h4_attack_x_cur_orig_straight,-0.2741837947289095,0,65
2026-03,INNER,t_h4_attack_x_cur_st,0.9719603410802742,0,65
2026-03,INNER,pair_same_side4,0.014041003140506941,0,65
2026-03,INNER,pair_third_inner,0.014041003140506941,0,65
2026-03,INNER,pair_third_outer,-0.014041003140506941,0,65
2026-03,INNER,pair_adjacent,0.40790100443207367,0,65
2026-03,INNER,pair_distance,0.058972409572730346,0,65
2026-03,INNER,pair_third_minus_second,0.027892497746142594,0,65
2026-03,INNER,pair_second_is1,-1.0760950448483322e-15,0,65
2026-03,INNER,pair_second_is2,4.311133776742255e-16,0,65
2026-03,INNER,pair_second_is3,-1.2186953587571134e-16,0,65
2026-03,INNER,diff_v93_national,0.701893866631782,0,65
2026-03,INNER,diff_v93_local,0.08749210452893649,0,65
2026-03,INNER,diff_v93_motor,0.07824464414449823,0,65
2026-03,INNER,diff_v93_grade,-0.9661890909991119,0,65
2026-03,INNER,diff_v93_nst,-0.6562112058254741,0,65
2026-03,INNER,diff_pref_pl_all_p2,0.11638253559101094,0,65
2026-03,INNER,diff_pref_pl_all_win,-0.13181036925710857,0,65
2026-03,INNER,diff_pref_pl_frame_p2,0.12185659138751033,0,65
2026-03,INNER,diff_pref_pl_recent_p2,-0.2072661906869563,0,65
2026-03,INNER,diff_pref_pl_frame_win,-0.5153640600810127,0,65
2026-03,INNER,diff_suf_st_raw,-0.5314577431233753,0,65
2026-03,INNER,diff_suf_st_raw_strength,-0.032490435425069415,0,65
2026-03,INNER,diff_suf_st_corr_strength,-1.236240353985731,0,65
2026-03,INNER,diff_cur_ex,-0.17896542789170664,0,65
2026-03,INNER,diff_cur_st,-0.032490435425068416,0,65
2026-03,INNER,diff_cur_orig_lap,0.3369285831495419,0,65
2026-03,INNER,diff_cur_orig_turn,-0.25545659322911174,0,65
2026-03,INNER,diff_cur_orig_straight,0.041771946693215614,0,65
2026-03,INNER,diff_cur_orig_avg,0.030435578842785735,0,65
2026-03,OUTER,t_v93_national,1.2034863040827373,0,28
2026-03,OUTER,t_v93_local,-0.03881532276726629,0,28
2026-03,OUTER,t_cur_st,0.2710270904543081,0,28
2026-03,OUTER,t_cur_orig_lap,-0.1315446015459569,0,28
2026-03,OUTER,t_cur_orig_turn,-0.10613239308203691,0,28
2026-03,OUTER,t_cur_orig_straight,0.3432828367058583,0,28
2026-03,OUTER,t_pref_pl_all_p2,0.2525417024104804,0,28
2026-03,OUTER,t_pref_pl_all_win,1.0587191594170535,0,28
2026-03,OUTER,t_pref_pl_recent_p2,-0.3579405194472042,0,28
2026-03,OUTER,t_is_boat1,0.3034912495196188,0,28
2026-03,OUTER,t_is_boat2,-0.33821299721808873,0,28
2026-03,OUTER,t_is_boat3,-0.3967146009736496,0,28
2026-03,OUTER,t_is_boat5,0.16562897237859117,0,28
2026-03,OUTER,t_is_boat6,0.38327910144197286,0,28
2026-03,OUTER,t_is_inner123,-0.4314363486721204,0,28
2026-03,OUTER,t_is_outer56,0.4314363486721204,0,28
2026-03,OUTER,t_is_inner_edge3,-0.3967146009736496,0,28
2026-03,OUTER,t_is_outer_edge5,0.16562897237859117,0,28
2026-03,OUTER,t_h4_attack,-2.021864707010903e-15,0,28
2026-03,OUTER,t_cur_st__vs4,0.17727675579711327,0,28
2026-03,OUTER,t_cur_st__abs4,0.7356709077744829,0,28
2026-03,OUTER,t_cur_orig_lap__vs4,-0.08754228732974272,0,28
2026-03,OUTER,t_cur_orig_lap__abs4,-0.5816758603529235,0,28
2026-03,OUTER,t_cur_orig_turn__vs4,-0.07870772315103379,0,28
2026-03,OUTER,t_cur_orig_turn__abs4,-0.2688136483763527,0,28
2026-03,OUTER,t_cur_orig_straight__vs4,0.2147123536915343,0,28
2026-03,OUTER,t_cur_orig_straight__abs4,-0.7043052969175687,0,28
2026-03,OUTER,t_h4_attack_x_is_inner123,0.9801603452060595,0,28
2026-03,OUTER,t_h4_attack_x_is_outer56,-1.038317474436898,0,28
2026-03,OUTER,t_h4_attack_x_is_inner_edge3,0.3932881745414292,0,28
2026-03,OUTER,t_h4_attack_x_is_outer_edge5,-0.4333859498831147,0,28
2026-03,OUTER,t_h4_attack_x_cur_orig_lap,-1.340175358012144,0,28
