date,race_code,venue,venue_name,race,boat1_name,p109,grade,top7,entry_course,winner,head_hit,actual_combo,payout100,ticket7_hit,invest7,return7
2026-09-01,202609010704,07,蒲郡,04,山田 晃大,0.8628056127844341,S,1-4-5;1-4-2;1-5-4;1-2-4;1-4-3;1-2-5;1-5-2,1,1,1,1-4-2,560,1,700,560
2026-09-01,202609010705,07,蒲郡,05,西丸 敦基,0.6871408713184545,A,1-4-5;1-5-4;1-4-2;1-4-6;1-4-3;1-2-4;1-5-2,1,1,1,1-3-5,1070,0,700,0
2026-09-01,202609010706,07,蒲郡,06,金子 萌,0.7525013036044556,S,1-5-3;1-3-5;1-5-6;1-5-4;1-5-2;1-3-6;1-3-4,1,5,0,5-3-1,4890,0,700,0
2026-09-01,202609010707,07,蒲郡,07,小林 一樹,0.6675257998283145,A,1-3-5;1-3-4;1-3-2;1-5-3;1-4-3;1-2-3;1-3-6,1,1,1,1-3-4,320,1,700,320
2026-09-01,202609010708,07,蒲郡,08,大場 恒季,0.8074322566888561,S,1-6-3;1-3-6;1-6-2;1-2-6;1-3-2;1-2-3;1-6-5,1,4,0,4-6-3,41510,0,700,0
2026-09-01,202609010709,07,蒲郡,09,伊藤 誠二,0.7674835912271447,S,1-3-6;1-6-3;1-3-4;1-6-4;1-3-2;1-3-5;1-4-3,1,1,1,1-4-6,3420,0,700,0
2026-09-01,202609010710,07,蒲郡,10,西野 雄貴,0.8665841546849506,S,1-2-6;1-6-2;1-2-5;1-2-3;1-3-2;1-3-6;1-6-5,1,1,1,1-3-2,620,1,700,620
2026-09-01,202609010711,07,蒲郡,11,北村 征嗣,0.7133766318622212,A,1-2-3;1-3-2;1-2-4;1-4-2;1-2-5;1-3-4;1-4-3,1,4,0,4-6-2,48060,0,700,0
2026-09-01,202609010712,07,蒲郡,12,上野 真之介,0.8030205470743973,S,1-3-4;1-4-3;1-4-2;1-2-4;1-3-2;1-2-3;1-4-6,1,3,0,3-1-2,6970,0,700,0
2026-09-01,202609011201,12,住之江,01,上田 紗奈,0.7417128561793398,S,1-4-5;1-5-4;1-3-5;1-5-3;1-3-4;1-4-3;1-2-5,1,1,1,1-5-4,2070,1,700,2070
2026-09-01,202609011202,12,住之江,02,宮村 勇哉,0.5584185186945476,B,1-5-2;1-2-5;1-5-6;1-5-3;1-6-5;1-2-6;1-3-5,1,1,1,1-6-3,7580,0,700,0
2026-09-01,202609011203,12,住之江,03,草場 康幸,0.3495128816725856,B,1-3-4;1-4-3;1-3-6;1-3-2;1-2-3;1-4-2;1-4-6,1,3,0,3-4-5,3680,0,700,0
2026-09-01,202609011204,12,住之江,04,東 健介,0.3107165004442078,B,1-2-4;1-4-2;1-2-6;1-2-3;1-3-2;1-6-2;1-2-5,1,4,0,4-1-2,8350,0,700,0
2026-09-01,202609011205,12,住之江,05,近江 翔吾,0.7916890687913141,S,1-2-6;1-6-2;1-2-4;1-6-4;1-2-3;1-4-6;1-4-2,1,1,1,1-2-6,440,1,700,440
2026-09-01,202609011206,12,住之江,06,齋藤 真之,0.36894953618156234,B,1-2-4;1-4-2;1-2-5;1-2-6;1-2-3;1-5-2;1-4-5,1,2,0,2-1-3,3850,0,700,0
2026-09-01,202609011207,12,住之江,07,芝田 浩治,0.6508510148730191,A,1-3-5;1-3-2;1-2-3;1-5-3;1-3-4;1-2-5;1-3-6,1,1,1,1-4-3,3770,0,700,0
2026-09-01,202609011208,12,住之江,08,佐々木 翔斗,0.6020614384681898,B,1-5-6;1-5-4;1-5-2;1-6-5;1-4-5;1-5-3;1-2-5,1,1,1,1-3-4,2180,0,700,0
2026-09-01,202609011209,12,住之江,09,池田 雄祐,0.5560636557038992,B,1-2-3;1-3-2;1-2-6;1-2-4;1-2-5;1-3-6;1-4-2,1,1,1,1-3-5,1450,0,700,0
2026-09-01,202609011210,12,住之江,10,烏野 賢太,0.7312063426390304,S,1-4-5;1-5-4;1-4-3;1-4-6;1-3-4;1-4-2;1-2-4,1,1,1,1-4-2,1210,1,700,1210
2026-09-01,202609011211,12,住之江,11,渡邉 翼,0.5434648551931336,B,1-2-4;1-4-2;1-2-5;1-5-2;1-2-3;1-2-6;1-4-5,1,2,0,2-1-3,4710,0,700,0
2026-09-01,202609011212,12,住之江,12,徳増 秀樹,0.6065166295455467,B,1-3-5;1-5-3;1-5-6;1-2-5;1-3-6;1-4-5;1-6-5,1,1,1,1-5-3,2610,1,700,2610
