month,feature,beta
2026-04,v93_local,0.36349592608657083
2026-04,v93_motor,0.18841635371154256
2026-04,v93_nst,-0.4871465199030143
2026-04,pos_boat_number,-0.05064264945846026
2026-04,pos_inside4,-0.010290906799307602
2026-04,pos_outside4,0.010290906799307602
2026-04,pos_distance4,0.10159738932470948
2026-04,cur_ex,-0.10390023521958058
2026-04,cur_st,0.025282138209049326
2026-04,cur_orig_lap,0.5117065311876312
2026-04,cur_orig_turn,0.17522728175043503
2026-04,cur_orig_straight,0.7022319949058996
2026-04,cur_orig_avg,-0.3796732370607813
2026-04,pref_pl_all_p2,0.2635054061398168
2026-04,pref_pl_all_win,0.01619234458931232
2026-04,pref_pl_frame_p2,0.03165465255446378
2026-04,pref_pl_recent_p2,-0.19066987494740215
2026-04,pref_pl_frame_win,-0.29365967667095116
2026-04,suf_st_raw,-0.44562972248210614
2026-04,suf_st_raw_strength,0.025282138209048084
2026-04,suf_st_raw_rank,0.45780579701676233
2026-04,suf_st_corr_strength,-0.23016472735831134
2026-04,suf_st_corr_rank,0.6810663089710429
2026-04,is_boat1,0.12451103512839928
2026-04,is_boat2,-0.023972526701707804
2026-04,is_boat3,-0.11314224375110887
2026-04,is_boat5,0.047581967757619754
2026-04,is_boat6,-0.034978232433198427
2026-04,is_inner123,-0.010290906799307602
2026-04,is_outer56,0.010290906799307602
2026-04,is_inner_edge3,-0.11314224375110887
2026-04,is_outer_edge5,0.047581967757619754
2026-04,h4_attack,-8.298541048165586e-16
2026-04,h4_turning,-1.0706456406851665e-15
2026-04,cur_ex__vs4,-0.06574627409624478
2026-04,cur_ex__abs4,-0.07632089218675706
2026-04,cur_st__vs4,0.012237187140815715
2026-04,cur_st__abs4,0.25018490779314
2026-04,cur_orig_lap__vs4,0.3458137396920387
2026-04,cur_orig_lap__abs4,-0.11900113755649305
2026-04,cur_orig_turn__vs4,0.1232907278464401
2026-04,cur_orig_turn__abs4,0.01400317700469522
2026-04,cur_orig_straight__vs4,0.4748849910121252
2026-04,cur_orig_straight__abs4,0.11253591963301499
2026-04,cur_orig_avg__vs4,-0.25686963678474634
2026-04,cur_orig_avg__abs4,-0.20823637185700758
2026-04,h4_attack_x_is_inner123,-0.1560659806561603
2026-04,h4_attack_x_is_outer56,0.16001539976365592
2026-04,h4_attack_x_is_inner_edge3,0.2518622026850631
2026-04,h4_attack_x_is_outer_edge5,0.015055128025191208
2026-04,h4_attack_x_cur_orig_lap,-0.5936224282034473
2026-04,h4_attack_x_cur_orig_turn,-0.19949640513326203
2026-04,h4_attack_x_cur_orig_straight,-1.0185299101303336
2026-04,h4_attack_x_cur_st,0.9913907453383147
2026-05,v93_grade,-0.38151840295719175
2026-05,v93_national,0.713976065415278
2026-05,v93_local,0.31845414966214164
2026-05,v93_motor,0.115807436288714
2026-05,v93_nst,-0.4751593989551404
2026-05,pos_boat_number,-0.06932329281564965
2026-05,pos_inside4,-0.026930077303130205
2026-05,pos_outside4,0.026930077303130205
2026-05,pos_distance4,0.18138165226857625
2026-05,cur_ex,-0.030353276493523772
2026-05,cur_st,-0.10680939375778639
2026-05,cur_orig_lap,0.363881487818718
2026-05,cur_orig_turn,0.15335531508347672
2026-05,cur_orig_straight,0.6646267139635789
2026-05,cur_orig_avg,-0.3522277119500475
2026-05,pref_pl_all_p2,0.28615006357145256
2026-05,pref_pl_all_win,0.06836558118684354
2026-05,pref_pl_frame_p2,-0.0293406243628499
2026-05,pref_pl_recent_p2,-0.25905612833071023
2026-05,pref_pl_frame_win,-0.3754435020332806
2026-05,suf_st_raw,-0.4548945857224562
2026-05,suf_st_raw_strength,-0.10680939375778918
2026-05,suf_st_raw_rank,0.5559281139008898
2026-05,suf_st_corr_strength,-0.1051198862439096
2026-05,suf_st_corr_rank,0.5540317945817458
2026-05,is_boat1,0.1885048606805022
2026-05,is_boat2,-0.013640804932835652
2026-05,is_boat3,-0.2078465298108522
2026-05,is_boat5,0.05701739097334136
2026-05,is_boat6,-0.024034916910154698
2026-05,is_inner123,-0.026930077303130205
2026-05,is_outer56,0.026930077303130205
2026-05,is_inner_edge3,-0.2078465298108522
2026-05,is_outer_edge5,0.05701739097334136
2026-05,h4_attack,-2.1621182547477894e-15
2026-05,h4_turning,-1.7192452822050667e-15
2026-05,cur_ex__vs4,-0.011241989731160293
2026-05,cur_ex__abs4,-0.013685985518587532
2026-05,cur_st__vs4,-0.07471145930622315
2026-05,cur_st__abs4,0.26761134188494623
2026-05,cur_orig_lap__vs4,0.24653816594391229
2026-05,cur_orig_lap__abs4,-0.10081723956892333
2026-05,cur_orig_turn__vs4,0.10559213096742623
2026-05,cur_orig_turn__abs4,0.00737606509159961
2026-05,cur_orig_straight__vs4,0.45786285841358026
2026-05,cur_orig_straight__abs4,0.02036724321410099
2026-05,cur_orig_avg__vs4,-0.24146477685737128
2026-05,cur_orig_avg__abs4,-0.04603722309384631
2026-05,h4_attack_x_is_inner123,-0.11267891169137226
2026-05,h4_attack_x_is_outer56,0.11552390722871059
2026-05,h4_attack_x_is_inner_edge3,0.47024921260132835
2026-05,h4_attack_x_is_outer_edge5,0.04264410665204177
2026-05,h4_attack_x_cur_orig_lap,-0.39129531159734937
2026-05,h4_attack_x_cur_orig_turn,-0.18683418945824462
2026-05,h4_attack_x_cur_orig_straight,-0.9368855329835523
2026-05,h4_attack_x_cur_st,1.05234166770856
2026-06,v93_grade,-0.21391679238077138
2026-06,v93_national,0.5139755805750689
2026-06,v93_local,0.2150093371862045
2026-06,v93_motor,0.12655426283874976
2026-06,v93_nst,-0.3754572742400306
2026-06,pos_boat_number,-0.01833072468331638
2026-06,pos_inside4,-0.06018623294673509
2026-06,pos_outside4,0.06018623294673509
2026-06,pos_distance4,0.19249869013873042
2026-06,cur_ex,0.044041051927117096
2026-06,cur_st,-0.09128030767457666
2026-06,cur_orig_lap,0.33394905029683203
2026-06,cur_orig_turn,0.04139070386193213
2026-06,cur_orig_straight,0.7053998425399818
2026-06,cur_orig_avg,-0.428321745984445
2026-06,pref_pl_all_p2,0.22273862380502413
2026-06,pref_pl_all_win,-0.02623224005752084
2026-06,pref_pl_frame_p2,-0.001078303172521046
2026-06,pref_pl_recent_p2,-0.16582571503508264
2026-06,pref_pl_frame_win,-0.2885816853662358
2026-06,suf_st_raw,-0.3733995899969481
2026-06,suf_st_raw_strength,-0.09128030767458044
2026-06,suf_st_raw_rank,0.4568484619211556
2026-06,suf_st_corr_strength,-0.0799746181439967
2026-06,suf_st_corr_rank,0.4470329301272543
2026-06,is_boat1,0.14603650821313527
2026-06,is_boat2,0.004203837043878538
2026-06,is_boat3,-0.22395312538690557
2026-06,is_boat5,0.00985756064906878
2026-06,is_boat6,0.06385521948082162
2026-06,is_inner123,-0.06018623294673509
2026-06,is_outer56,0.06018623294673509
2026-06,is_inner_edge3,-0.22395312538690557
2026-06,is_outer_edge5,0.00985756064906878
2026-06,h4_attack,3.3383447623085245e-16
2026-06,h4_turning,1.1868061278465584e-15
2026-06,cur_ex__vs4,0.05550732943603866
2026-06,cur_ex__abs4,0.0665054345854338
2026-06,cur_st__vs4,-0.07376630920689027
2026-06,cur_st__abs4,0.22943650523665823
2026-06,cur_orig_lap__vs4,0.23145962101193146
2026-06,cur_orig_lap__abs4,-0.08682910597938884
2026-06,cur_orig_turn__vs4,0.028260020454999805
2026-06,cur_orig_turn__abs4,0.10282439821797813
2026-06,cur_orig_straight__vs4,0.4894691646613893
2026-06,cur_orig_straight__abs4,-0.11578320974197275
2026-06,cur_orig_avg__vs4,-0.2980542149069501
2026-06,cur_orig_avg__abs4,0.11852231542611352
2026-06,h4_attack_x_is_inner123,0.06043928033433867
2026-06,h4_attack_x_is_outer56,-0.06192778683181042
2026-06,h4_attack_x_is_inner_edge3,0.36479665972474096
2026-06,h4_attack_x_is_outer_edge5,0.22498025643540664
2026-06,h4_attack_x_cur_orig_lap,-0.23257963663722198
2026-06,h4_attack_x_cur_orig_turn,0.233394063512828
2026-06,h4_attack_x_cur_orig_straight,-0.952015376094389
2026-06,h4_attack_x_cur_st,0.8376481872060552
