actual2,R,second_top1,second_top2,third_top2,exact3
2,114,0.6754385964912281,0.9824561403508771,0.7894736842105263,0.6842105263157895
3,89,0.47191011235955055,0.8426966292134831,0.7528089887640449,0.48314606741573035
4,42,0.16666666666666666,0.35714285714285715,0.6428571428571429,0.16666666666666666
5,32,0.03125,0.1875,0.59375,0.125
6,13,0.0,0.0,0.6153846153846154,0.0
