scope,policy,R,head,hit,roi,avg_pts
VAL,dynamic,175,38.285714285714285,32.0,101.5677966101695,8.09142857142857
VAL,fixed10,175,38.285714285714285,32.57142857142858,84.18285714285715,10.0
TEST,dynamic,270,38.51851851851852,25.185185185185183,82.25895316804407,8.103703703703705
TEST,fixed10,270,38.51851851851852,29.259259259259256,103.23791821561338,10.0
2026-06,dynamic,73,41.0958904109589,24.65753424657534,78.62711864406779,8.082191780821917
2026-06,fixed10,73,41.0958904109589,30.136986301369863,91.16438356164383,10.0
2026-07,dynamic,87,29.88505747126437,22.988505747126435,78.55113636363636,8.091954022988507
2026-07,fixed10,87,29.88505747126437,26.436781609195403,116.32183908045977,10.0
2026-08,dynamic,110,43.63636363636363,27.27272727272727,87.63574660633485,8.127272727272727
2026-08,fixed10,110,43.63636363636363,30.909090909090907,100.88073394495413,10.0
