pre_cut,post_cut,target_comp,R,avg_n,avg_comp,hit_pct,roi_pct,profit_yen,R_feb_jun,roi_feb_jun_pct
0.15,0.15,10.0,396,3.217171717171717,8.524316118611843,9.595959595959595,81.65151515151516,-726600.0,323,80.19876160990712
0.15,0.15,10.5,396,3.0707070707070705,8.839513768621392,9.343434343434344,81.3689393939394,-737790.0,323,79.85232198142415
0.15,0.15,11.0,396,2.946969696969697,9.10996472012578,9.343434343434344,81.88358585858586,-717410.0,323,80.48328173374613
0.15,0.15,11.5,396,2.856060606060606,9.27241501974855,8.83838383838384,77.20505050505051,-902680.0,323,74.39133126934985
0.15,0.15,12.0,396,2.772727272727273,9.488073621023181,8.83838383838384,77.70353535353536,-882940.0,323,75.00247678018576
0.15,0.15,12.5,396,2.6843434343434343,9.704849579115884,8.83838383838384,78.71515151515152,-842880.0,323,75.88668730650154
0.15,0.15,13.0,396,2.595959595959596,9.895837726648827,8.83838383838384,78.9020202020202,-835480.0,323,76.11578947368422
0.15,0.15,13.5,396,2.5454545454545454,10.047515645845866,8.585858585858585,76.30050505050505,-938500.0,323,72.92631578947369
0.15,0.15,14.0,396,2.5,10.182946177600163,8.585858585858585,76.48737373737374,-931100.0,323,73.15541795665635
0.15,0.15,14.5,396,2.446969696969697,10.361314993323433,8.585858585858585,79.17828282828283,-824540.0,323,76.45448916408668
0.15,0.15,15.0,396,2.393939393939394,10.558666651695287,8.585858585858585,79.36515151515151,-817140.0,323,76.68359133126935
0.15,0.16,10.0,374,3.0481283422459895,8.438333722377733,9.62566844919786,80.52139037433155,-728500.0,304,81.31644736842105
0.15,0.16,10.5,374,2.9010695187165774,8.759818330421524,9.358288770053475,80.22219251336898,-739690.0,304,80.9483552631579
0.15,0.16,11.0,374,2.77807486631016,9.034421393190064,9.358288770053475,80.76711229946524,-719310.0,304,81.61875
0.15,0.16,11.5,374,2.695187165775401,9.18288335187017,8.823529411764707,75.50588235294117,-916080.0,304,75.14605263157895
0.15,0.16,12.0,374,2.6176470588235294,9.40399422712862,8.823529411764707,76.03368983957219,-896340.0,304,75.7953947368421
0.15,0.16,12.5,374,2.5427807486631018,9.617803875990827,8.823529411764707,76.5994652406417,-875180.0,304,76.49144736842105
0.15,0.16,13.0,374,2.478609625668449,9.77469373977692,8.823529411764707,76.5994652406417,-875180.0,304,76.49144736842105
0.15,0.16,13.5,374,2.4385026737967914,9.929579689102924,8.55614973262032,73.84491978609626,-978200.0,304,73.10263157894737
0.15,0.16,14.0,374,2.4010695187165774,10.061818052656806,8.55614973262032,73.84491978609626,-978200.0,304,73.10263157894737
0.15,0.16,14.5,374,2.355614973262032,10.233470323759523,8.55614973262032,76.69411764705882,-871640.0,304,76.6078947368421
0.15,0.16,15.0,374,2.3101604278074865,10.435272999804747,8.55614973262032,76.69411764705882,-871640.0,304,76.6078947368421
0.15,0.17,10.0,352,2.928977272727273,8.388205374596986,9.659090909090908,80.04147727272728,-702540.0,285,79.92912280701755
0.15,0.17,10.5,352,2.7982954545454546,8.691024098536639,9.375,79.30596590909092,-728430.0,285,79.02070175438597
0.15,0.17,11.0,352,2.6818181818181817,8.971029308877098,9.375,79.6065340909091,-717850.0,285,79.3919298245614
0.15,0.17,11.5,352,2.6051136363636362,9.119248357522167,8.806818181818182,74.01647727272727,-914620.0,285,72.48771929824561
0.15,0.17,12.0,352,2.539772727272727,9.317104245677264,8.806818181818182,74.57727272727273,-894880.0,285,73.18035087719298
0.15,0.17,12.5,352,2.46875,9.533757407210349,8.806818181818182,75.17840909090908,-873720.0,285,73.92280701754386
0.15,0.17,13.0,352,2.409090909090909,9.687054119944406,8.806818181818182,75.17840909090908,-873720.0,285,73.92280701754386
0.15,0.17,13.5,352,2.3693181818181817,9.849800324161684,8.522727272727272,72.25170454545454,-976740.0,285,70.3080701754386
0.15,0.17,14.0,352,2.335227272727273,9.984814579047827,8.522727272727272,72.25170454545454,-976740.0,285,70.3080701754386
0.15,0.17,14.5,352,2.2926136363636362,10.14119856943119,8.522727272727272,73.525,-931920.0,285,71.88070175438597
0.15,0.17,15.0,352,2.258522727272727,10.32189443130717,8.522727272727272,73.525,-931920.0,285,71.88070175438597
0.15,0.18,10.0,329,2.857142857142857,8.310106593203344,10.030395136778116,82.67446808510638,-570010.0,268,84.99925373134329
0.15,0.18,10.5,329,2.7416413373860182,8.58421930146739,9.72644376899696,81.88753799392097,-595900.0,268,84.03320895522388
0.15,0.18,11.0,329,2.6382978723404253,8.845592994889909,9.72644376899696,82.20911854103343,-585320.0,268,84.42798507462686
0.15,0.18,11.5,329,2.56838905775076,8.99700750436472,9.118541033434651,76.22826747720364,-782090.0,268,77.08582089552239
0.15,0.18,12.0,329,2.5045592705167175,9.206220599095086,9.118541033434651,76.82826747720365,-762350.0,268,77.8223880597015
0.15,0.18,12.5,329,2.440729483282675,9.412801535649798,9.118541033434651,77.47142857142858,-741190.0,268,78.61194029850746
0.15,0.18,13.0,329,2.386018237082067,9.551469956162626,9.118541033434651,77.47142857142858,-741190.0,268,78.61194029850746
0.15,0.18,13.5,329,2.349544072948328,9.710065010812674,8.814589665653495,74.3401215805471,-844210.0,268,74.7679104477612
0.15,0.18,14.0,329,2.31306990881459,9.854517952210614,8.814589665653495,74.3401215805471,-844210.0,268,74.7679104477612
0.15,0.18,14.5,329,2.276595744680851,9.977095704277763,8.814589665653495,75.70243161094226,-799390.0,268,76.44029850746269
0.15,0.18,15.0,329,2.243161094224924,10.138213638550578,8.814589665653495,75.70243161094226,-799390.0,268,76.44029850746269
0.15,0.19,10.0,307,2.791530944625407,8.26681750414482,10.423452768729643,86.41009771986971,-417210.0,252,87.72936507936508
0.15,0.19,10.5,307,2.6775244299674266,8.533459357334744,10.097719869706841,85.56677524429968,-443100.0,252,86.70198412698413
0.15,0.19,11.0,307,2.583061889250814,8.786283949637504,10.097719869706841,85.9114006514658,-432520.0,252,87.1218253968254
0.15,0.19,11.5,307,2.521172638436482,8.923574199276205,9.446254071661238,79.50195439739414,-629290.0,252,79.31349206349206
0.15,0.19,12.0,307,2.465798045602606,9.112665421265952,9.446254071661238,80.14495114006515,-609550.0,252,80.0968253968254
0.15,0.19,12.5,307,2.403908794788274,9.323270975940568,9.446254071661238,80.8342019543974,-588390.0,252,80.93650793650794
0.15,0.19,13.0,307,2.3550488599348536,9.435137636262862,9.446254071661238,80.8342019543974,-588390.0,252,80.93650793650794
0.15,0.19,13.5,307,2.3159609120521174,9.605097808835712,9.120521172638437,77.47850162866449,-691410.0,252,76.8484126984127
0.15,0.19,14.0,307,2.2801302931596092,9.754029869166107,9.120521172638437,77.47850162866449,-691410.0,252,76.8484126984127
0.15,0.19,14.5,307,2.254071661237785,9.857774261199356,9.120521172638437,78.9384364820847,-646590.0,252,78.62698412698413
0.15,0.19,15.0,307,2.224755700325733,10.00461067004848,9.120521172638437,78.9384364820847,-646590.0,252,78.62698412698413
0.15,0.2,10.0,282,2.719858156028369,8.173263535984253,10.638297872340425,87.96843971631206,-339290.0,233,87.49785407725322
0.15,0.2,10.5,282,2.617021276595745,8.420453038959215,10.638297872340425,89.7595744680851,-288780.0,233,89.6656652360515
0.15,0.2,11.0,282,2.521276595744681,8.686921275928533,10.638297872340425,90.13475177304964,-278200.0,233,90.11974248927038
0.15,0.2,11.5,282,2.475177304964539,8.801091408356225,9.929078014184398,83.15709219858157,-474970.0,233,81.67467811158798
0.15,0.2,12.0,282,2.421985815602837,8.983854604024417,9.929078014184398,83.85709219858155,-455230.0,233,82.52188841201716
0.15,0.2,12.5,282,2.3617021276595747,9.174395449178396,9.929078014184398,84.60744680851064,-434070.0,233,83.43004291845493
0.15,0.2,13.0,282,2.3156028368794326,9.279121073574203,9.929078014184398,84.60744680851064,-434070.0,233,83.43004291845493
0.15,0.2,13.5,282,2.280141843971631,9.438933637345746,9.574468085106384,80.95425531914894,-537090.0,233,79.00858369098712
0.15,0.2,14.0,282,2.25177304964539,9.566701113332103,9.574468085106384,80.95425531914894,-537090.0,233,79.00858369098712
0.15,0.2,14.5,282,2.230496453900709,9.66126402590672,9.574468085106384,82.54361702127659,-492270.0,233,80.93218884120172
0.15,0.2,15.0,282,2.198581560283688,9.821117846887857,9.574468085106384,82.54361702127659,-492270.0,233,80.93218884120172
0.15,0.21,10.0,260,2.6615384615384614,8.101990457402959,10.76923076923077,87.21384615384615,-332440.0,214,85.30607476635514
0.15,0.21,10.5,260,2.576923076923077,8.304667569853022,10.76923076923077,89.15653846153846,-281930.0,214,87.66635514018692
0.15,0.21,11.0,260,2.4884615384615385,8.566597131345889,10.76923076923077,89.15653846153846,-281930.0,214,87.66635514018692
0.15,0.21,11.5,260,2.4384615384615387,8.690427813440541,10.0,81.58846153846154,-478700.0,214,78.4714953271028
0.15,0.21,12.0,260,2.3807692307692307,8.888655587203734,10.0,82.34769230769231,-458960.0,214,79.39392523364486
0.15,0.21,12.5,260,2.326923076923077,9.07808301967218,10.0,82.34769230769231,-458960.0,214,79.39392523364486
0.15,0.21,13.0,260,2.2884615384615383,9.149615411057843,10.0,82.34769230769231,-458960.0,214,79.39392523364486
0.15,0.21,13.5,260,2.25,9.322950576379288,9.615384615384617,78.38538461538461,-561980.0,214,74.57990654205608
0.15,0.21,14.0,260,2.223076923076923,9.441095571429715,9.615384615384617,78.38538461538461,-561980.0,214,74.57990654205608
0.15,0.21,14.5,260,2.2,9.543659961222186,9.615384615384617,80.10923076923076,-517160.0,214,76.67429906542056
0.15,0.21,15.0,260,2.1653846153846152,9.717039874747881,9.615384615384617,80.10923076923076,-517160.0,214,76.67429906542056
0.15,0.22,10.0,242,2.6198347107438016,8.02988969386496,11.15702479338843,88.96280991735537,-267100.0,198,86.40858585858585
0.15,0.22,10.5,242,2.5371900826446283,8.23698089720282,11.15702479338843,91.05,-216590.0,198,88.95959595959596
0.15,0.22,11.0,242,2.450413223140496,8.497503176164232,11.15702479338843,91.05,-216590.0,198,88.95959595959596
0.15,0.22,11.5,242,2.4008264462809916,8.61696837695583,10.330578512396695,82.9190082644628,-413360.0,198,79.02171717171717
0.15,0.22,12.0,242,2.355371900826446,8.776213230252866,10.330578512396695,83.73471074380166,-393620.0,198,80.01868686868687
0.15,0.22,12.5,242,2.3016528925619837,8.970516858510004,10.330578512396695,83.73471074380166,-393620.0,198,80.01868686868687
0.15,0.22,13.0,242,2.260330578512397,9.047369840990472,10.330578512396695,83.73471074380166,-393620.0,198,80.01868686868687
0.15,0.22,13.5,242,2.2231404958677685,9.194034538469413,9.917355371900827,79.47768595041322,-496640.0,198,74.81565656565657
0.15,0.22,14.0,242,2.206611570247934,9.266939425442683,9.917355371900827,79.47768595041322,-496640.0,198,74.81565656565657
0.15,0.22,14.5,242,2.1818181818181817,9.377132571500708,9.917355371900827,81.3297520661157,-451820.0,198,77.07929292929293
0.15,0.22,15.0,242,2.1487603305785123,9.524662897795968,9.917355371900827,81.3297520661157,-451820.0,198,77.07929292929293
0.15,0.23,10.0,223,2.623318385650224,7.939438747190026,11.659192825112108,92.48789237668161,-167520.0,183,88.55027322404372
0.15,0.23,10.5,223,2.5381165919282513,8.145484947247068,11.659192825112108,94.75291479820628,-117010.0,183,91.3103825136612
0.15,0.23,11.0,223,2.4573991031390134,8.3841061511934,11.659192825112108,94.75291479820628,-117010.0,183,91.3103825136612
0.15,0.23,11.5,223,2.408071748878924,8.494487095104354,11.210762331838566,89.98385650224215,-223360.0,183,85.49890710382513
0.15,0.23,12.0,223,2.3587443946188342,8.66729989554329,11.210762331838566,90.86905829596412,-203620.0,183,86.5775956284153
0.15,0.23,12.5,223,2.304932735426009,8.861818653612168,11.210762331838566,90.86905829596412,-203620.0,183,86.5775956284153
0.15,0.23,13.0,223,2.2600896860986546,8.945219648052854,11.210762331838566,90.86905829596412,-203620.0,183,86.5775956284153
0.15,0.23,13.5,223,2.2242152466367715,9.085051841866804,10.762331838565023,86.24932735426009,-306640.0,183,80.94808743169399
0.15,0.23,14.0,223,2.210762331838565,9.128032702513428,10.762331838565023,86.24932735426009,-306640.0,183,80.94808743169399
0.15,0.23,14.5,223,2.1838565022421523,9.247614502271466,10.762331838565023,88.25919282511211,-261820.0,183,83.39726775956284
0.15,0.23,15.0,223,2.1524663677130045,9.378069869889275,10.762331838565023,88.25919282511211,-261820.0,183,83.39726775956284
0.15,0.24,10.0,207,2.5990338164251208,7.904106330451921,12.077294685990339,95.07149758454106,-102020.0,170,89.76294117647059
0.15,0.24,10.5,207,2.5120772946859904,8.117785318347618,12.077294685990339,97.51159420289855,-51510.0,170,92.73411764705882
0.15,0.24,11.0,207,2.4396135265700485,8.333880136341506,12.077294685990339,97.51159420289855,-51510.0,170,92.73411764705882
0.15,0.24,11.5,207,2.391304347826087,8.450462276009224,11.594202898550725,92.37391304347825,-157860.0,170,86.47823529411765
0.15,0.24,12.0,207,2.342995169082126,8.634183252656518,11.594202898550725,93.32753623188405,-138120.0,170,87.63941176470588
0.15,0.24,12.5,207,2.289855072463768,8.841116038190677,11.594202898550725,93.32753623188405,-138120.0,170,87.63941176470588
0.15,0.24,13.0,207,2.256038647342995,8.913362031123489,11.594202898550725,93.32753623188405,-138120.0,170,87.63941176470588
