variant,score,scope,R,auc,brier,logloss
POST_HGB_RECOVERED,p_raw,pooled_Feb-Jun,18949,0.8581265806950074,0.1630131078684277,0.5479447397722884
POST_HGB_RECOVERED,p_cal,pooled_Feb-Jun,18949,0.8567215972126443,0.1609898937189207,0.5281596253211881
POST_LR_RECOVERED,p_raw,pooled_Feb-Jun,18949,0.8374141072747575,0.1731712082652925,0.5804958761647481
POST_LR_RECOVERED,p_cal,pooled_Feb-Jun,18949,0.8409202718868535,0.1658590407972451,0.527682513507866
PRE_HGB_RECOVERED,p_raw,pooled_Feb-Jun,21860,0.8622707074791539,0.1574836338968582,0.5170908676226507
PRE_HGB_RECOVERED,p_cal,pooled_Feb-Jun,21860,0.862021990097841,0.1554257199543251,0.5040757940274218
PRE_LR_RECOVERED,p_raw,pooled_Feb-Jun,21860,0.8411935291292112,0.16831700790757156,0.5613426627025889
PRE_LR_RECOVERED,p_cal,pooled_Feb-Jun,21860,0.8445250107419333,0.16284598836011097,0.5189237821187749
