scope,key,rule,R,head,hit,cov,cost,ret,roi
jcd,15,BASE,27,33.33333333333333,25.925925925925924,77.77777777777779,27000.0,21240.0,78.66666666666667
jcd,15,turn>=-0.2,3,66.66666666666666,66.66666666666666,100.0,3000.0,2740.0,91.33333333333333
jcd,15,turn>=0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
jcd,09,BASE,22,27.27272727272727,13.636363636363635,50.0,21000.0,5640.0,26.857142857142858
jcd,09,turn>=-0.2,7,42.857142857142854,28.57142857142857,66.66666666666666,6000.0,3800.0,63.333333333333336
jcd,09,turn>=0.0,2,50.0,50.0,100.0,2000.0,2390.0,119.5
jcd,13,BASE,22,50.0,31.818181818181817,63.63636363636363,22000.0,8140.0,37.0
jcd,13,turn>=-0.2,4,75.0,75.0,100.0,4000.0,2230.0,55.75
jcd,13,turn>=0.0,2,100.0,100.0,100.0,2000.0,1090.0,54.5
jcd,19,BASE,21,33.33333333333333,33.33333333333333,100.0,21000.0,17770.0,84.61904761904762
jcd,19,turn>=-0.2,4,50.0,50.0,100.0,4000.0,4500.0,112.5
jcd,19,turn>=0.0,1,100.0,100.0,100.0,1000.0,3450.0,345.0
jcd,01,BASE,19,42.10526315789473,36.84210526315789,87.5,19000.0,22200.0,116.84210526315789
jcd,01,turn>=-0.2,1,0.0,0.0,0.0,1000.0,0.0,0.0
jcd,01,turn>=0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
jcd,03,BASE,13,53.84615384615385,46.15384615384615,85.71428571428571,13000.0,14450.0,111.15384615384616
jcd,03,turn>=-0.2,13,53.84615384615385,46.15384615384615,85.71428571428571,13000.0,14450.0,111.15384615384616
jcd,03,turn>=0.0,13,53.84615384615385,46.15384615384615,85.71428571428571,13000.0,14450.0,111.15384615384616
jcd,05,BASE,12,25.0,25.0,100.0,12000.0,15460.0,128.83333333333334
jcd,05,turn>=-0.2,2,0.0,0.0,0.0,2000.0,0.0,0.0
jcd,05,turn>=0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
jcd,23,BASE,10,40.0,20.0,50.0,10000.0,3820.0,38.2
