date,race_code,boat,tilt,band,delta,up,down,same,win,makuri,ms,attack,stfast,strength,turn,stretch
2026-06-01,202606010502,3,-0.5,-0.5以下,,0,0,0,1,1,0,1,0.4166666666666666,0.4035,0.6952623294858342,0.557292759706191
2026-06-01,202606010502,4,0.0,0,,0,0,0,0,0,0,0,0.4166666666666666,0.14250000000000002,0.14447534102833157,0.785414480587618
2026-06-01,202606010502,5,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.25,0.8675,0.6007345225603358,0.4804197271773347
2026-06-01,202606010503,3,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.5833333333333334,0.8299999999999998,0.31494753410283316,0.4285414480587618
2026-06-01,202606010503,4,0.0,0,,0,0,0,0,0,0,0,0.0,0.0,0.14447534102833157,0.7254144805876179
2026-06-01,202606010503,5,0.0,0,,0,0,0,0,0,0,0,1.0,0.0,0.4941605456453305,0.2966631689401889
2026-06-01,202606010504,3,0.0,0,,0,0,0,0,0,0,0,0.08333333333333341,0.0,0.019685204616998953,0.3912486883525708
2026-06-01,202606010504,4,0.0,0,,0,0,0,0,0,0,0,0.75,0.47020000000000006,0.1244228751311647,0.33395592864637985
2026-06-01,202606010504,5,0.0,0,,0,0,0,0,0,0,0,0.4166666666666666,0.611,0.2857869884575026,0.35187827911857295
2026-06-01,202606010505,3,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.3333333333333334,0.46560000000000007,0.9606295907660021,0.3975026232948583
2026-06-01,202606010505,4,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.1666666666666666,0.615,0.6098426023084995,0.5256243441762855
2026-06-01,202606010505,5,0.0,0,,0,0,0,0,0,0,0,0.5833333333333334,0.6124999999999999,0.41020986358866735,0.44583420776495275
2026-06-01,202606010506,3,0.0,0,,0,0,0,0,0,0,0,0.0,0.0,0.2003672612801679,0.14020986358866735
2026-06-01,202606010506,4,0.0,0,,0,0,0,0,0,0,0,0.5,0.5387,0.9606295907660021,0.5175026232948583
2026-06-01,202606010506,5,0.0,0,,0,0,0,0,0,0,0,0.5833333333333334,0.7462000000000001,0.5236883525708289,0.673536201469045
2026-06-01,202606010507,3,0.0,0,,0,0,0,0,0,0,0,0.5,0.18899999999999995,0.6846852046169989,0.5712486883525708
2026-06-01,202606010507,4,0.0,0,,0,0,0,0,0,0,0,0.5,0.6849,0.32442287513116475,0.65395592864638
2026-06-01,202606010507,5,0.0,0,,0,0,0,0,0,0,0,0.0,0.0,0.14447534102833157,0.7254144805876179
2026-06-01,202606010508,3,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.08333333333333341,0.23070000000000002,0.5153147953830011,0.8087513116474292
2026-06-01,202606010508,4,0.0,0,,0,0,0,0,0,0,0,0.6666666666666666,0.8288,0.4287932843651626,0.8364533053515215
2026-06-01,202606010508,5,0.0,0,,0,0,0,0,0,0,0,0.4166666666666666,0.16239999999999993,0.39015739769150054,0.35437565582371455
2026-06-01,202606010509,3,0.0,0,,0,0,0,0,0,0,0,0.6666666666666666,0.6959,0.32442287513116475,0.7739559286463799
2026-06-01,202606010509,4,0.5,+0.5,,0,0,0,1,0,0,0,0.1666666666666666,0.0,0.04921301154249738,0.8281217208814271
2026-06-01,202606010509,5,0.0,0,,0,0,0,0,0,0,0,0.4166666666666666,0.14250000000000002,0.14447534102833157,0.785414480587618
2026-06-01,202606010510,3,0.0,0,,0,0,0,0,0,0,0,0.4166666666666666,0.10560000000000003,0.7901573976915006,0.5143756558237146
2026-06-01,202606010510,4,0.0,0,,0,0,0,0,0,0,0,0.25,0.5308,0.5708394543546695,0.16333683105981112
2026-06-01,202606010510,5,0.0,0,,0,0,0,0,0,0,0,0.5,0.5387,0.9606295907660021,0.5175026232948583
2026-06-01,202606010511,3,0.0,0,,0,0,0,0,0,0,0,0.5833333333333334,0.4534,0.8755771248688353,0.6060440713536202
2026-06-01,202606010511,4,0.0,0,,0,0,0,1,0,1,1,0.5,0.18899999999999995,0.6846852046169989,0.5712486883525708
2026-06-01,202606010511,5,0.0,0,,0,0,0,0,0,0,0,0.5833333333333334,0.34349999999999997,0.6189506820566631,0.9308289611752362
2026-06-01,202606010512,3,0.0,0,,0,0,0,0,0,0,0,0.8333333333333334,0.7749,0.4948950682056663,0.29708289611752364
2026-06-01,202606010512,4,0.0,0,,0,0,0,0,0,0,0,0.25,0.1346,0.6948950682056663,0.6170828961175236
2026-06-01,202606010512,5,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.3333333333333334,0.072,0.2952623294858342,0.45729275970619093
2026-06-01,202606010801,3,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.25,0.0,0.9901573976915006,0.8943756558237146
2026-06-01,202606010801,4,0.0,0,,0,0,0,0,0,0,0,0.4166666666666666,0.06150000000000002,0.38104931794333685,0.06917103882476391
2026-06-01,202606010801,5,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.4166666666666666,0.02269999999999997,0.6653672612801679,0.12020986358866736
2026-06-01,202606010802,3,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.75,0.3737999999999999,0.4200524658971668,0.5514585519412383
2026-06-01,202606010802,4,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.1666666666666666,0.3076,0.6752098635886673,0.2858342077649528
2026-06-01,202606010802,5,0.0,0,,0,0,0,0,0,0,0,1.0,0.0,0.5810493179433368,0.5091710388247639
