actual_combo,approved_A,approved_S,date,ex_head,head_boat,head_hit,history_adjust,history_pct,hit_20,hit_4,hit_6,hit_8,invest_20,invest_4,invest_6,invest_8,kimarite,method_hit,model,orig_straight_head,orig_turn_head,pair_weight,payout,period,preview_comp,prior1,prior2,race_code,return_20,return_4,return_6,return_8,st_head,tickets_20,tickets_4,tickets_6,tickets_8,tilt,v53_score,winner
3-1-4,1,0,2026-07-16,0.6,3,1,-0.916,0.2709,1,1,1,1,2000,400,600,800,まくり差し,1,3まくり差し,0.5,0.8,,1020,validation,0.6697,0.45527472527472523,0.46705494505494505,202607161309,1020,1020,1020,1020,0.6,3-1-4;3-1-5;3-1-2;3-1-6;3-2-4;3-2-5;3-4-1;3-6-4;3-2-1;3-4-5;3-5-4;3-6-1;3-6-5;3-5-1;3-4-2;3-2-6;3-6-2;3-4-6;3-5-2;3-5-6,3-1-4;3-1-5;3-1-2;3-1-6,3-1-4;3-1-5;3-1-2;3-1-6;3-2-4;3-2-5,3-1-4;3-1-5;3-1-2;3-1-6;3-2-4;3-2-5;3-4-1;3-6-4,0,66.004,3
3-5-6,1,0,2026-07-16,0.4,3,1,-1.157,0.2107,1,0,0,0,2000,400,600,800,まくり,0,3まくり差し,0.0,0.6,,2110,validation,0.5827500000000001,0.4073452256033578,0.4015320041972718,202607161710,2110,0,0,0,1.0,3-1-5;3-1-4;3-2-5;3-1-2;3-4-5;3-2-4;3-1-6;3-5-4;3-6-5;3-6-4;3-5-2;3-5-1;3-4-2;3-2-1;3-4-1;3-2-6;3-6-2;3-5-6;3-6-1;3-4-6,3-1-5;3-1-4;3-2-5;3-1-2,3-1-5;3-1-4;3-2-5;3-1-2;3-4-5;3-2-4,3-1-5;3-1-4;3-2-5;3-1-2;3-4-5;3-2-4;3-1-6;3-5-4,0,57.06800000000001,3
1-3-2,0,0,2026-07-16,0.6,3,0,0.556,0.6389,0,0,0,0,2000,400,600,800,逃げ,0,3まくり,0.5,0.19999999999999996,0.0,960,validation,0.43200000000000005,0.5399999999999999,0.5376336996336997,202607161810,0,0,0,0,0.4,3-4-6;3-4-1;3-1-4;3-1-6;3-4-2;3-4-5;3-2-4;3-6-4;3-5-4;3-1-2;3-2-6;3-2-1;3-6-1;3-5-6;3-5-1;3-1-5;3-6-2;3-5-2;3-2-5;3-6-5,3-4-6;3-4-1;3-1-4;3-1-6,3-4-6;3-4-1;3-1-4;3-1-6;3-4-2;3-4-5,3-4-6;3-4-1;3-1-4;3-1-6;3-4-2;3-4-5;3-2-4;3-6-4,0.5,43.856,1
1-3-5,1,1,2026-07-16,1.0,3,0,0.894,0.7236,0,0,0,0,2000,400,600,800,逃げ,0,3まくり,1.0,1.0,0.0,830,validation,0.97665,0.6289087093389296,0.7476579223504721,202607162103,0,0,0,0,1.0,3-5-4;3-4-1;3-4-6;3-4-5;3-4-2;3-2-4;3-1-4;3-5-1;3-5-6;3-5-2;3-2-1;3-2-6;3-1-6;3-2-5;3-1-5;3-6-4;3-1-2;3-6-1;3-6-5;3-6-2,3-5-4;3-4-1;3-4-6;3-4-5,3-5-4;3-4-1;3-4-6;3-4-5;3-4-2;3-2-4,3-5-4;3-4-1;3-4-6;3-4-5;3-4-2;3-2-4;3-1-4;3-5-1,0,98.34900000000002,1
1-3-2,0,0,2026-07-16,1.0,3,0,0.324,0.5811,0,0,0,0,2000,400,600,800,逃げ,0,3まくり,0.0,0.19999999999999996,0.0,1080,validation,0.40798333333333336,0.5121878279118572,0.4895624344176285,202607162112,0,0,0,0,0.19999999999999996,3-5-1;3-5-4;3-1-4;3-4-1;3-5-6;3-2-1;3-1-5;3-2-4;3-1-6;3-4-5;3-5-2;3-4-6;3-1-2;3-4-2;3-2-5;3-2-6;3-6-1;3-6-4;3-6-5;3-6-2,3-5-1;3-5-4;3-1-4;3-4-1,3-5-1;3-5-4;3-1-4;3-4-1;3-5-6;3-2-1,3-5-1;3-5-4;3-1-4;3-4-1;3-5-6;3-2-1;3-1-5;3-2-4,-0.5,41.07233333333334,1
2-3-1,1,1,2026-07-16,1.0,3,0,1.097,0.7743,0,0,0,0,2000,400,600,800,差し,0,3まくり,1.0,0.19999999999999996,0.0,4500,validation,0.7805,0.6673452256033577,0.7444679958027283,202607162402,0,0,0,0,0.6,3-4-6;3-4-1;3-4-2;3-2-4;3-1-4;3-4-5;3-5-4;3-6-4;3-2-6;3-1-6;3-5-6;3-2-1;3-5-1;3-1-2;3-6-1;3-5-2;3-2-5;3-6-2;3-1-5;3-6-5,3-4-6;3-4-1;3-4-2;3-2-4,3-4-6;3-4-1;3-4-2;3-2-4;3-1-4;3-4-5,3-4-6;3-4-1;3-4-2;3-2-4;3-1-4;3-4-5;3-5-4;3-6-4,0,78.937,2
4-1-6,1,0,2026-07-16,0.6,3,0,-1.007,0.2484,0,0,0,0,2000,400,600,800,差し,0,3まくり差し,0.4,1.0,,13330,validation,0.5685,0.4345330535152151,0.5007198321091291,202607160504,0,0,0,0,0.4,3-1-5;3-1-4;3-1-2;3-2-5;3-2-4;3-1-6;3-6-5;3-6-4;3-4-5;3-5-4;3-2-6;3-6-2;3-4-2;3-5-2;3-2-1;3-4-6;3-6-1;3-4-1;3-5-6;3-5-1,3-1-5;3-1-4;3-1-2;3-2-5,3-1-5;3-1-4;3-1-2;3-2-5;3-2-4;3-1-6,3-1-5;3-1-4;3-1-2;3-2-5;3-2-4;3-1-6;3-6-5;3-6-4,0,55.793000000000006,4
1-3-5,1,0,2026-07-16,0.6,3,0,-0.694,0.3264,0,0,0,0,2000,400,600,800,抜き,0,3まくり差し,0.4,1.0,,1740,validation,0.5705,0.49,0.4478761804826863,202607160509,0,0,0,0,0.6,3-1-5;3-1-4;3-1-2;3-2-5;3-2-4;3-1-6;3-4-5;3-5-4;3-4-2;3-2-1;3-5-2;3-6-5;3-6-4;3-2-6;3-6-2;3-4-1;3-5-1;3-6-1;3-4-6;3-5-6,3-1-5;3-1-4;3-1-2;3-2-5,3-1-5;3-1-4;3-1-2;3-2-5;3-2-4;3-1-6,3-1-5;3-1-4;3-1-2;3-2-5;3-2-4;3-1-6;3-4-5;3-5-4,0,56.306,1
1-3-6,1,0,2026-07-16,1.0,3,0,0.48,0.6199,0,0,0,0,2000,400,600,800,逃げ,0,3まくり差し,0.19999999999999996,0.4,,920,validation,0.6504000000000001,0.5582791185729276,0.5117187827911858,202607160803,0,0,0,0,0.8,3-1-5;3-1-4;3-1-6;3-1-2;3-2-5;3-2-4;3-4-5;3-6-5;3-6-4;3-5-4;3-2-1;3-4-1;3-2-6;3-6-1;3-4-2;3-6-2;3-5-1;3-5-2;3-4-6;3-5-6,3-1-5;3-1-4;3-1-6;3-1-2,3-1-5;3-1-4;3-1-6;3-1-2;3-2-5;3-2-4,3-1-5;3-1-4;3-1-6;3-1-2;3-2-5;3-2-4;3-4-5;3-6-5,0,65.47000000000001,1
1-3-2,1,1,2026-07-16,1.0,3,0,1.74,0.9351,0,0,0,0,2000,400,600,800,逃げ,0,3まくり差し,0.5,0.6,,1010,validation,0.7138000000000001,0.8300000000000001,0.7317802197802197,202607161208,0,0,0,0,0.6,3-1-5;3-1-4;3-1-2;3-2-5;3-4-5;3-2-4;3-1-6;3-5-4;3-6-5;3-5-1;3-4-1;3-2-1;3-6-4;3-5-2;3-4-2;3-6-1;3-2-6;3-5-6;3-6-2;3-4-6,3-1-5;3-1-4;3-1-2;3-2-5,3-1-5;3-1-4;3-1-2;3-2-5;3-4-5;3-2-4,3-1-5;3-1-4;3-1-2;3-2-5;3-4-5;3-2-4;3-1-6;3-5-4,0,73.07000000000001,1
