month,core_features,guard_features,combo_features,train,test,head_oof,guard_oof,combo_train_headwins,combo_classes
2026-02,154,118,154,13428,4071,4959,4959,7450,20
2026-03,154,118,154,17499,4565,9030,9030,9708,20
2026-04,154,118,154,22064,4204,13595,13595,12218,20
2026-05,154,118,154,26268,4744,17799,17799,14538,20
2026-06,154,118,154,31012,4450,22543,22543,17141,20
