model,policy,month,R,avg_n,n_dist,head4_wins,hits,hit_rate_pct,avg_selected_comp,avg_abs_target_gap,return_yen,profit_yen,roi_pct
v283,ODDS_2_10_T10.5,2026-04,31,2.4516129032258065,"2:22,3:4,4:5",11,5,16.129032258064516,9.183725939542796,1.882893246138304,505690.0,195690.0,163.1258064516129
v283,ODDS_2_10_T10.5,2026-05,34,2.264705882352941,"2:28,3:3,4:3",15,4,11.76470588235294,7.701707700010862,3.070748158278662,290320.0,-49680.0,85.38823529411765
v283,ODDS_2_10_T10.5,2026-06,35,2.4857142857142858,"2:25,3:6,4:2,5:1,6:1",14,3,8.571428571428571,8.157862795872344,2.509820350651498,237940.00000000003,-112059.99999999997,67.98285714285716
v283,ODDS_2_20_T10.5,2026-04,31,2.4516129032258065,"2:22,3:4,4:5",11,5,16.129032258064516,9.183725939542796,1.882893246138304,505690.0,195690.0,163.1258064516129
v283,ODDS_2_20_T10.5,2026-05,34,2.264705882352941,"2:28,3:3,4:3",15,4,11.76470588235294,7.701707700010862,3.070748158278662,290320.0,-49680.0,85.38823529411765
v283,ODDS_2_20_T10.5,2026-06,35,2.4857142857142858,"2:25,3:6,4:2,5:1,6:1",14,3,8.571428571428571,8.157862795872344,2.509820350651498,237940.00000000003,-112059.99999999997,67.98285714285716
v283,ODDS_4610_T10.5,2026-04,31,4.0,4:31,11,6,19.35483870967742,6.3354601221267846,4.2584557776633805,577460.0,267460.0,186.2774193548387
v283,ODDS_4610_T10.5,2026-05,34,4.0,4:34,15,8,23.52941176470588,5.406157532436384,5.114897205785733,402180.0,62180.0,118.28823529411764
v283,ODDS_4610_T10.5,2026-06,35,4.114285714285714,"4:33,6:2",14,4,11.428571428571429,5.760945787327361,4.758171188223335,229460.0,-120540.0,65.56
v284,ODDS_2_10_T10.5,2026-04,31,2.5806451612903225,"2:20,3:6,4:4,6:1",11,2,6.451612903225806,9.280858789585526,1.7423922741324331,196020.0,-113980.0,63.23225806451613
v284,ODDS_2_10_T10.5,2026-05,34,2.264705882352941,"2:28,3:3,4:3",15,5,14.705882352941178,7.809718168068835,2.8270029843586513,406940.0,66940.0,119.68823529411765
v284,ODDS_2_10_T10.5,2026-06,35,2.6,"2:21,3:10,4:2,5:1,6:1",14,4,11.428571428571429,8.080748984903028,2.545214850851842,336760.0,-13240.0,96.21714285714286
v284,ODDS_2_20_T10.5,2026-04,31,2.5806451612903225,"2:20,3:6,4:4,6:1",11,2,6.451612903225806,9.280858789585526,1.7423922741324331,196020.0,-113980.0,63.23225806451613
v284,ODDS_2_20_T10.5,2026-05,34,2.264705882352941,"2:28,3:3,4:3",15,5,14.705882352941178,7.809718168068835,2.8270029843586513,406940.0,66940.0,119.68823529411765
v284,ODDS_2_20_T10.5,2026-06,35,2.6,"2:21,3:10,4:2,5:1,6:1",14,4,11.428571428571429,8.080748984903028,2.545214850851842,336760.0,-13240.0,96.21714285714286
v284,ODDS_4610_T10.5,2026-04,31,4.064516129032258,"4:30,6:1",11,3,9.67741935483871,6.470875008440514,4.031979356096518,268310.0,-41690.0,86.5516129032258
v284,ODDS_4610_T10.5,2026-05,34,4.0,4:34,15,7,20.588235294117645,5.369200385946409,5.130799614053591,381450.0,41450.0,112.19117647058823
v284,ODDS_4610_T10.5,2026-06,35,4.114285714285714,"4:33,6:2",14,4,11.428571428571429,5.915253055626857,4.603863919923839,244560.0,-105440.0,69.87428571428572
