actual_combo,head_boat,hit,invest,kimarite,model,payout,race,race_code,return,tickets,v53_score,validation_n,validation_roi,validation_rule,winner
1-5-2,4,0,400,逃げ,4カドまくり,10630,浜名湖8R,202609020608,0,4-5-1;4-6-1;4-5-2;4-2-1,88.7,24,57.1,S/4点,1
2-5-1,5,0,800,まくり,5頭展開,12770,多摩川10R,202609020510,0,5-1-2;5-1-6;5-1-3;5-1-4;5-4-1;5-2-1;5-4-6;5-4-2,72.0,13,281.6,S/8点,2
5-4-6,5,1,800,まくり差し,5頭展開,1200,児島3R,202609021603,1200,5-1-2;5-1-6;5-1-3;5-1-4;5-4-1;5-2-1;5-4-6;5-4-2,81.35,13,281.6,S/8点,5
