rule,head_q,guard_q,conf_cut,R,heads,head_rate,hit5,trifecta5_rate,months,worst_head_month,worst_tri5_month,min_month_R,head_wilson_lo,head_wilson_hi,tri5_wilson_lo,tri5_wilson_hi
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.55,3,3,1.0,2,0.6666666666666666,1,1.0,0.6666666666666666,3,0.4385029682449546,1.0,0.2076596008020477,0.9385080552796037
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.6,0,0,,0,,0,,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.65,0,0,,0,,0,,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.7,0,0,,0,,0,,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.75,0,0,,0,,0,,,0,,,,
HGB_q0.975_AND_LR_q0.950,0.975,0.95,0.0,252,213,0.8452380952380952,113,0.44841269841269843,5,0.7857142857142857,0.21428571428571427,11,0.7954338023623044,0.8846748899585422,0.3882414806509474,0.510133082565478
HGB_q0.975_AND_LR_q0.950,0.975,0.95,0.45,52,43,0.8269230769230769,29,0.5576923076923077,5,0.3333333333333333,0.0,3,0.702691358755192,0.9061752560868979,0.42339761787202884,0.6840494318059871
HGB_q0.975_AND_LR_q0.950,0.975,0.95,0.5,15,12,0.8,5,0.3333333333333333,4,0.5,0.0,2,0.5481455128483065,0.9295245065301844,0.15176324439714725,0.5828645226148023
HGB_q0.975_AND_LR_q0.950,0.975,0.95,0.55,1,1,1.0,0,0.0,1,1.0,0.0,1,0.20654931437723745,1.0,0.0,0.7934506856227626
HGB_q0.975_AND_LR_q0.950,0.975,0.95,0.6,0,0,,0,,0,,,0,,,,
HGB_q0.975_AND_LR_q0.950,0.975,0.95,0.65,0,0,,0,,0,,,0,,,,
HGB_q0.975_AND_LR_q0.950,0.975,0.95,0.7,0,0,,0,,0,,,0,,,,
HGB_q0.975_AND_LR_q0.950,0.975,0.95,0.75,0,0,,0,,0,,,0,,,,
HGB_q0.975_AND_LR_q0.975,0.975,0.975,0.0,165,141,0.8545454545454545,73,0.44242424242424244,5,0.7272727272727273,0.18181818181818182,11,0.7926916115058602,0.9002661538274244,0.36880582194311406,0.518662575139515
HGB_q0.975_AND_LR_q0.975,0.975,0.975,0.45,31,25,0.8064516129032258,17,0.5483870967741935,5,0.3333333333333333,0.0,3,0.6371974218820453,0.908129916384139,0.37772167637354503,0.7083826401947998
HGB_q0.975_AND_LR_q0.975,0.975,0.975,0.5,10,9,0.9,4,0.4,4,0.5,0.0,1,0.5958499732047615,0.9821237869049271,0.16818032970623614,0.6873262302663417
HGB_q0.975_AND_LR_q0.975,0.975,0.975,0.55,1,1,1.0,0,0.0,1,1.0,0.0,1,0.20654931437723745,1.0,0.0,0.7934506856227626
HGB_q0.975_AND_LR_q0.975,0.975,0.975,0.6,0,0,,0,,0,,,0,,,,
HGB_q0.975_AND_LR_q0.975,0.975,0.975,0.65,0,0,,0,,0,,,0,,,,
HGB_q0.975_AND_LR_q0.975,0.975,0.975,0.7,0,0,,0,,0,,,0,,,,
HGB_q0.975_AND_LR_q0.975,0.975,0.975,0.75,0,0,,0,,0,,,0,,,,
HGB_q0.985_AND_LR_q0.900,0.985,0.9,0.0,153,137,0.8954248366013072,69,0.45098039215686275,5,0.75,0.0,3,0.8368801609855367,0.9345995288223148,0.3742981275388657,0.5300638943857809
HGB_q0.985_AND_LR_q0.900,0.985,0.9,0.45,29,26,0.896551724137931,15,0.5172413793103449,5,0.5,0.0,1,0.736149189092262,0.9641851086493229,0.34431021881994717,0.6861390984731652
HGB_q0.985_AND_LR_q0.900,0.985,0.9,0.5,7,7,1.0,2,0.2857142857142857,4,1.0,0.0,1,0.6456695649333126,1.0,0.08221892400405678,0.6410655481673808
HGB_q0.985_AND_LR_q0.900,0.985,0.9,0.55,0,0,,0,,0,,,0,,,,
HGB_q0.985_AND_LR_q0.900,0.985,0.9,0.6,0,0,,0,,0,,,0,,,,
HGB_q0.985_AND_LR_q0.900,0.985,0.9,0.65,0,0,,0,,0,,,0,,,,
HGB_q0.985_AND_LR_q0.900,0.985,0.9,0.7,0,0,,0,,0,,,0,,,,
HGB_q0.985_AND_LR_q0.900,0.985,0.9,0.75,0,0,,0,,0,,,0,,,,
HGB_q0.985_AND_LR_q0.950,0.985,0.95,0.0,134,119,0.8880597014925373,57,0.4253731343283582,5,0.75,0.0,3,0.8235107040316352,0.9309792795319056,0.3448920676402656,0.5100137047513613
HGB_q0.985_AND_LR_q0.950,0.985,0.95,0.45,27,24,0.8888888888888888,14,0.5185185185185185,5,0.5,0.0,1,0.7194219918172017,0.9614796517169016,0.33985615754952286,0.6925677302378153
HGB_q0.985_AND_LR_q0.950,0.985,0.95,0.5,7,7,1.0,2,0.2857142857142857,4,1.0,0.0,1,0.6456695649333126,1.0,0.08221892400405678,0.6410655481673808
HGB_q0.985_AND_LR_q0.950,0.985,0.95,0.55,0,0,,0,,0,,,0,,,,
HGB_q0.985_AND_LR_q0.950,0.985,0.95,0.6,0,0,,0,,0,,,0,,,,
HGB_q0.985_AND_LR_q0.950,0.985,0.95,0.65,0,0,,0,,0,,,0,,,,
HGB_q0.985_AND_LR_q0.950,0.985,0.95,0.7,0,0,,0,,0,,,0,,,,
HGB_q0.985_AND_LR_q0.950,0.985,0.95,0.75,0,0,,0,,0,,,0,,,,
HGB_q0.985_AND_LR_q0.975,0.985,0.975,0.0,103,91,0.883495145631068,43,0.4174757281553398,5,0.7142857142857143,0.0,3,0.8073288034372147,0.9320845373388708,0.3268873640675524,0.5139983727274672
HGB_q0.985_AND_LR_q0.975,0.985,0.975,0.45,21,18,0.8571428571428571,11,0.5238095238095238,5,0.5,0.0,1,0.6536393971937906,0.9501898750027473,0.3236953458284443,0.7165599389846583
HGB_q0.985_AND_LR_q0.975,0.985,0.975,0.5,6,6,1.0,2,0.3333333333333333,4,1.0,0.0,1,0.6096657120978346,1.0,0.09677141110578041,0.700006684861608
HGB_q0.985_AND_LR_q0.975,0.985,0.975,0.55,0,0,,0,,0,,,0,,,,
HGB_q0.985_AND_LR_q0.975,0.985,0.975,0.6,0,0,,0,,0,,,0,,,,
HGB_q0.985_AND_LR_q0.975,0.985,0.975,0.65,0,0,,0,,0,,,0,,,,
HGB_q0.985_AND_LR_q0.975,0.985,0.975,0.7,0,0,,0,,0,,,0,,,,
HGB_q0.985_AND_LR_q0.975,0.985,0.975,0.75,0,0,,0,,0,,,0,,,,
HGB_q0.990_AND_LR_q0.900,0.99,0.9,0.0,93,84,0.9032258064516129,43,0.46236559139784944,4,0.6666666666666666,0.3333333333333333,3,0.8262133606698858,0.9482483307722633,0.3645462130759074,0.5631706957228254
HGB_q0.990_AND_LR_q0.900,0.99,0.9,0.45,15,13,0.8666666666666667,9,0.6,3,0.6666666666666666,0.5,2,0.6211801716767764,0.9626387408969346,0.357468301206246,0.8017550385865841
HGB_q0.990_AND_LR_q0.900,0.99,0.9,0.5,5,5,1.0,2,0.4,3,1.0,0.0,1,0.5655175352168251,1.0,0.11762077423264783,0.769275718723987
HGB_q0.990_AND_LR_q0.900,0.99,0.9,0.55,0,0,,0,,0,,,0,,,,
HGB_q0.990_AND_LR_q0.900,0.99,0.9,0.6,0,0,,0,,0,,,0,,,,
HGB_q0.990_AND_LR_q0.900,0.99,0.9,0.65,0,0,,0,,0,,,0,,,,
HGB_q0.990_AND_LR_q0.900,0.99,0.9,0.7,0,0,,0,,0,,,0,,,,
HGB_q0.990_AND_LR_q0.900,0.99,0.9,0.75,0,0,,0,,0,,,0,,,,
HGB_q0.990_AND_LR_q0.950,0.99,0.95,0.0,87,78,0.896551724137931,39,0.4482758620689655,4,0.6666666666666666,0.3333333333333333,3,0.8149501910373753,0.9446148896621154,0.3481717712815222,0.5527545225402833
HGB_q0.990_AND_LR_q0.950,0.99,0.95,0.45,15,13,0.8666666666666667,9,0.6,3,0.6666666666666666,0.5,2,0.6211801716767764,0.9626387408969346,0.357468301206246,0.8017550385865841
HGB_q0.990_AND_LR_q0.950,0.99,0.95,0.5,5,5,1.0,2,0.4,3,1.0,0.0,1,0.5655175352168251,1.0,0.11762077423264783,0.769275718723987
HGB_q0.990_AND_LR_q0.950,0.99,0.95,0.55,0,0,,0,,0,,,0,,,,
HGB_q0.990_AND_LR_q0.950,0.99,0.95,0.6,0,0,,0,,0,,,0,,,,
HGB_q0.990_AND_LR_q0.950,0.99,0.95,0.65,0,0,,0,,0,,,0,,,,
HGB_q0.990_AND_LR_q0.950,0.99,0.95,0.7,0,0,,0,,0,,,0,,,,
HGB_q0.990_AND_LR_q0.950,0.99,0.95,0.75,0,0,,0,,0,,,0,,,,
HGB_q0.990_AND_LR_q0.975,0.99,0.975,0.0,73,64,0.8767123287671232,32,0.4383561643835616,4,0.6666666666666666,0.3333333333333333,3,0.7819969564497797,0.9337624896109706,0.3304534902599767,0.552422236748264
HGB_q0.990_AND_LR_q0.975,0.99,0.975,0.45,13,11,0.8461538461538461,8,0.6153846153846154,3,0.6666666666666666,0.5,2,0.5776536898051745,0.9567418216419186,0.35522891512665694,0.8229029220223743
HGB_q0.990_AND_LR_q0.975,0.99,0.975,0.5,4,4,1.0,2,0.5,3,1.0,0.0,1,0.5101091635454027,1.0,0.15003898915214947,0.8499610108478506
HGB_q0.990_AND_LR_q0.975,0.99,0.975,0.55,0,0,,0,,0,,,0,,,,
