strategy,alpha,month,R,hits,hit_rate
JOINT,0.4,2026-05,69,33,0.4782608695652174
JOINT,0.4,2026-06,51,25,0.49019607843137253
SECOND1X3,0.4,2026-02,18,6,0.3333333333333333
SECOND1X3,0.4,2026-03,29,14,0.4827586206896552
SECOND1X3,0.4,2026-04,37,16,0.43243243243243246
SECOND1X3,0.4,2026-05,69,32,0.463768115942029
SECOND1X3,0.4,2026-06,51,18,0.35294117647058826
SECOND3X1,0.4,2026-02,18,5,0.2777777777777778
SECOND3X1,0.4,2026-03,29,14,0.4827586206896552
SECOND3X1,0.4,2026-04,37,13,0.35135135135135137
SECOND3X1,0.4,2026-05,69,24,0.34782608695652173
SECOND3X1,0.4,2026-06,51,20,0.39215686274509803
HYBRID,0.4,2026-02,18,8,0.4444444444444444
HYBRID,0.4,2026-03,29,16,0.5517241379310345
HYBRID,0.4,2026-04,37,19,0.5135135135135135
HYBRID,0.4,2026-05,69,33,0.4782608695652174
HYBRID,0.4,2026-06,51,24,0.47058823529411764
TOP2XTOP2,0.5,2026-02,18,8,0.4444444444444444
TOP2XTOP2,0.5,2026-03,29,16,0.5517241379310345
