date,race_code,venue,boat,racer_id,racer_name,ex_course,actual_course,course_same,ex_st,actual_st,delta_actual_minus_ex,inside_ex_st,outside_ex_st,inside_bucket,outside_bucket,own_bucket
2026-05-01,202605010107,01,4,3889,須藤 隆雄,4,4,1,0.32,0.16,-0.16,0.23,0.33,>.20,>.20,>.20
2026-05-01,202605010107,01,5,5108,柴田 愛梨,5,5,1,0.33,0.24,-0.09000000000000002,0.32,0.24,>.20,>.20,>.20
2026-05-01,202605010107,01,6,5377,鳥居塚 嶺王,6,6,1,0.24,0.17,-0.06999999999999998,0.33,,>.20,missing,>.20
2026-05-01,202605010108,01,1,3686,鳥居塚 孝博,1,1,1,0.08,0.14,0.06000000000000001,,0.05,missing,<=.05,.06-.10
2026-05-01,202605010108,01,2,3947,寺本 昇平,2,2,1,0.05,0.17,0.12000000000000001,0.08,0.06,.06-.10,.06-.10,<=.05
2026-05-01,202605010108,01,3,5306,河内 悠利杏,4,4,1,0.11,0.28,0.17000000000000004,0.06,0.14,.06-.10,.11-.15,.11-.15
2026-05-01,202605010108,01,4,4887,富澤 祐作,3,3,1,0.06,0.13,0.07,0.05,0.11,<=.05,.11-.15,.06-.10
2026-05-01,202605010108,01,5,4851,関 浩哉,5,5,1,0.14,0.27,0.13,0.11,0.26,.11-.15,>.20,.11-.15
2026-05-01,202605010108,01,6,5361,植竹 玲奈,6,6,1,0.26,0.3,0.03999999999999998,0.14,,.11-.15,missing,>.20
2026-05-01,202605010109,01,1,3475,橋本 久和,1,1,1,0.18,0.2,0.020000000000000018,,0.14,missing,.11-.15,.16-.20
2026-05-01,202605010109,01,2,3740,大澤 普司,2,2,1,0.14,0.14,0.0,0.18,0.13,.16-.20,.11-.15,.11-.15
2026-05-01,202605010109,01,3,3655,本橋 克洋,3,3,1,0.13,0.1,-0.03,0.14,0.15,.11-.15,.11-.15,.11-.15
2026-05-01,202605010109,01,4,4407,鹿島 敏弘,5,4,0,0.13,0.11,-0.020000000000000004,0.15,0.09,.11-.15,.06-.10,.11-.15
2026-05-01,202605010109,01,5,5150,坂本 雄紀,6,6,1,0.09,0.07,-0.01999999999999999,0.13,,.11-.15,missing,.06-.10
2026-05-01,202605010109,01,6,3679,飯島 昌弘,4,5,0,0.15,0.09,-0.06,0.13,0.13,.11-.15,.11-.15,.11-.15
2026-05-01,202605010110,01,1,5234,塚越 海斗,1,1,1,-0.03,0.15,0.18,,0.03,missing,<=.05,F
2026-05-01,202605010110,01,2,4539,金子 賢志,2,2,1,0.03,0.15,0.12,-0.03,0.19,F,.16-.20,<=.05
2026-05-01,202605010110,01,3,3441,土屋 太朗,3,3,1,0.19,0.19,0.0,0.03,0.15,<=.05,.11-.15,.16-.20
2026-05-01,202605010110,01,4,4491,田中 堅,4,4,1,0.15,0.1,-0.04999999999999999,0.19,0.07,.16-.20,.06-.10,.11-.15
2026-05-01,202605010110,01,5,3406,中里 英夫,5,5,1,0.07,0.11,0.039999999999999994,0.15,-0.04,.11-.15,F,.06-.10
2026-05-01,202605010110,01,6,4645,上村 純一,6,6,1,-0.04,0.1,0.14,0.07,,.06-.10,missing,F
2026-05-01,202605010111,01,1,3532,柴田 光,1,1,1,0.07,0.19,0.12,,0.06,missing,.06-.10,.06-.10
2026-05-01,202605010111,01,2,4305,金子 拓矢,2,2,1,0.06,0.2,0.14,0.07,0.09,.06-.10,.06-.10,.06-.10
2026-05-01,202605010111,01,3,4888,金児 隆太,3,3,1,0.09,0.21,0.12,0.06,0.08,.06-.10,.06-.10,.06-.10
2026-05-01,202605010111,01,4,4486,野村 誠,4,4,1,0.08,0.23,0.15000000000000002,0.09,-0.03,.06-.10,F,.06-.10
2026-05-01,202605010111,01,5,4420,津久井 拓也,5,5,1,-0.03,0.33,0.36,0.08,0.11,.06-.10,.11-.15,F
2026-05-01,202605010111,01,6,5216,長谷川 晴哉,6,6,1,0.11,0.24,0.13,-0.03,,F,missing,.11-.15
2026-05-01,202605010112,01,1,4851,関 浩哉,1,1,1,0.15,0.1,-0.04999999999999999,,0.09,missing,.06-.10,.11-.15
2026-05-01,202605010112,01,2,4188,久田 敏之,4,5,0,-0.01,0.11,0.12,-0.03,0.05,F,<=.05,F
2026-05-01,202605010112,01,3,3159,江口 晃生,2,2,1,0.09,0.24,0.15,0.15,-0.03,.11-.15,F,.06-.10
2026-05-01,202605010112,01,4,4787,椎名 豊,5,6,0,0.05,0.12,0.06999999999999999,-0.01,0.15,F,.11-.15,<=.05
2026-05-01,202605010112,01,5,4362,土屋 智則,6,4,0,0.15,0.22,0.07,0.05,,<=.05,missing,.11-.15
2026-05-01,202605010112,01,6,4238,毒島 誠,3,3,1,-0.03,0.14,0.17,0.09,-0.01,.06-.10,F,F
2026-05-01,202605010201,02,1,3596,河上 年昭,1,1,1,0.27,0.13,-0.14,,0.17,missing,.16-.20,>.20
2026-05-01,202605010201,02,2,5167,小川 竜太朗,2,2,1,0.17,0.17,0.0,0.27,-0.01,>.20,F,.16-.20
2026-05-01,202605010201,02,3,5087,佐藤 航,3,3,1,-0.01,0.19,0.2,0.17,-0.01,.16-.20,F,F
2026-05-01,202605010201,02,4,5357,田中 瀬里奈,4,4,1,-0.01,0.2,0.21000000000000002,-0.01,-0.03,F,F,F
2026-05-01,202605010201,02,5,3952,中澤 和志,5,5,1,-0.03,0.18,0.21,-0.01,0.19,F,.16-.20,F
2026-05-01,202605010201,02,6,4191,赤羽 克也,6,6,1,0.19,0.18,-0.010000000000000009,-0.03,,F,missing,.16-.20
2026-05-01,202605010202,02,1,5005,石田 貴洋,1,1,1,0.07,0.21,0.13999999999999999,,0.01,missing,<=.05,.06-.10
2026-05-01,202605010202,02,2,3647,伊藤 雄二,2,3,0,0.01,0.25,0.24,0.07,-0.04,.06-.10,F,<=.05
2026-05-01,202605010202,02,3,4738,清埜 翔子,3,2,0,-0.04,0.15,0.19,0.01,0.02,<=.05,<=.05,F
2026-05-01,202605010202,02,4,3983,須藤 博倫,4,4,1,0.02,0.1,0.08,-0.04,0.01,F,<=.05,<=.05
2026-05-01,202605010202,02,5,4109,谷津 幸宏,5,5,1,0.01,0.12,0.11,0.02,0.12,<=.05,.11-.15,<=.05
2026-05-01,202605010202,02,6,5466,成田 華音,6,6,1,0.12,0.13,0.010000000000000009,0.01,,<=.05,missing,.11-.15
2026-05-01,202605010203,02,1,5259,野田 昇吾,1,2,0,0.21,0.09,-0.12,,0.25,missing,>.20,>.20
2026-05-01,202605010203,02,2,5132,中野 希一,2,1,0,0.25,0.13,-0.12,0.21,0.09,>.20,.06-.10,>.20
2026-05-01,202605010203,02,3,3664,鈴木 賢一,3,3,1,0.09,0.1,0.010000000000000009,0.25,0.22,>.20,>.20,.06-.10
2026-05-01,202605010203,02,4,4700,金子 和之,4,4,1,0.22,0.1,-0.12,0.09,0.03,.06-.10,<=.05,>.20
2026-05-01,202605010203,02,5,5322,根岸 真優,5,5,1,0.03,0.18,0.15,0.22,0.12,>.20,.11-.15,<=.05
2026-05-01,202605010203,02,6,4528,黒井 達矢,6,6,1,0.12,0.15,0.03,0.03,,<=.05,missing,.11-.15
2026-05-01,202605010204,02,1,3306,武田 正紀,1,1,1,-0.02,0.26,0.28,,0.03,missing,<=.05,F
2026-05-01,202605010204,02,2,5042,畑田 汰一,2,2,1,0.03,0.29,0.26,-0.02,0.07,F,.06-.10,<=.05
2026-05-01,202605010204,02,3,5287,滝沢 織寧,3,3,1,0.07,0.36,0.29,0.03,0.04,<=.05,<=.05,.06-.10
2026-05-01,202605010204,02,4,4159,向後 龍一,4,4,1,0.04,0.2,0.16,0.07,-0.05,.06-.10,F,<=.05
2026-05-01,202605010204,02,5,5051,松本 純平,5,5,1,-0.05,0.19,0.24,0.04,-0.15,<=.05,F,F
2026-05-01,202605010204,02,6,5147,田中 勇輔,6,6,1,-0.15,0.2,0.35,-0.05,,F,missing,F
2026-05-01,202605010205,02,1,5045,平川 香織,1,1,1,0.04,0.11,0.07,,0.12,missing,.11-.15,<=.05
2026-05-01,202605010205,02,2,4836,大谷 健太,2,2,1,0.12,0.19,0.07,0.04,0.21,<=.05,>.20,.11-.15
2026-05-01,202605010205,02,3,3497,後藤 浩,3,3,1,0.21,0.16,-0.04999999999999999,0.12,-0.04,.11-.15,F,>.20
2026-05-01,202605010205,02,4,4444,桐生 順平,4,4,1,-0.04,0.16,0.2,0.21,0.02,>.20,<=.05,F
2026-05-01,202605010205,02,5,4432,黄金井 力良,5,5,1,0.02,0.21,0.19,-0.04,-0.04,F,F,<=.05
2026-05-01,202605010205,02,6,4186,小川 時光,6,6,1,-0.04,0.17,0.21000000000000002,0.02,,<=.05,missing,F
2026-05-01,202605010206,02,1,3546,中里 昌志,1,1,1,0.03,0.11,0.08,,-0.07,missing,F,<=.05
2026-05-01,202605010206,02,2,3412,鈴木 博,2,2,1,-0.07,0.09,0.16,0.03,-0.03,<=.05,F,F
2026-05-01,202605010206,02,3,5191,飛田 江己,3,3,1,-0.03,0.08,0.11,-0.07,0.03,F,<=.05,F
2026-05-01,202605010206,02,4,3251,平石 和男,4,4,1,0.03,0.12,0.09,-0.03,-0.03,F,F,<=.05
2026-05-01,202605010206,02,5,4573,佐藤 翼,5,5,1,-0.03,0.17,0.2,0.03,0.08,<=.05,.06-.10,F
