month,race_code,p2_top1,p2_top2,p2_ratio,p2_top2_mass,joint_mass2,joint_mass4,joint_mass6,joint_mass8,joint_mass10,joint_entropy,cond_ratio_mean_top2second,full_order
2026-04,202604010206,0.32610492637120514,0.24374656769036906,1.3378852037229743,0.5698514940615742,0.1807942416708867,0.32999007654846574,0.4710544717523617,0.5886508344510367,0.6928486084216311,0.9634739591986932,1.5906906815219004,4-2-5|4-2-3|4-1-5|4-1-2|4-3-5|4-3-2|4-5-2|4-5-3|4-2-1|4-1-3|4-5-1|4-5-6|4-2-6|4-1-6|4-3-1|4-6-5|4-3-6|4-6-2|4-6-3|4-6-1
2026-04,202604010603,0.40259343538406,0.18154107586267895,2.217643767235296,0.584134511246739,0.19135324550433375,0.31607981402649543,0.45874902908629245,0.5757435145683939,0.6709168073536398,0.9679139462325879,1.8091662004541023,4-1-6|4-1-2|4-5-1|4-5-6|4-1-3|4-2-1|4-6-1|4-3-1|4-1-5|4-3-6|4-2-3|4-2-6|4-5-3|4-3-2|4-6-3|4-5-2|4-6-2|4-6-5|4-3-5|4-2-5
2026-04,202604010804,0.41413835932935417,0.25859547754761586,1.6014911136761771,0.67273383687697,0.2376304022351276,0.3900603929876825,0.5451391127945582,0.6598203914900399,0.7523209179533663,0.9335100085732255,3.7175513747402134,4-1-5|4-2-5|4-2-1|4-1-6|4-5-1|4-1-2|4-5-6|4-3-5|4-5-2|4-2-6|4-3-1|4-2-3|4-1-3|4-6-5|4-3-2|4-5-3|4-3-6|4-6-1|4-6-2|4-6-3
2026-04,202604020108,0.45131138301977863,0.387696339546479,1.1640847152380018,0.8390077225662576,0.23189389474970618,0.4104249568924001,0.5685110718484804,0.6991681669151086,0.7748679096605395,0.9291111267223279,1.9995359013901948,4-5-1|4-1-5|4-1-2|4-5-2|4-5-3|4-5-6|4-1-3|4-1-6|4-2-1|4-2-5|4-2-3|4-6-5|4-6-1|4-3-2|4-3-5|4-3-1|4-2-6|4-6-2|4-6-3|4-3-6
2026-04,202604022209,0.4269874153947216,0.2931176467954354,1.456710027740885,0.720105062190157,0.2306072796996164,0.37503392727058854,0.5167335913213376,0.6294120716510848,0.7204651205709032,0.9488534109040854,3.5129047579176014,4-1-5|4-5-1|4-1-3|4-5-3|4-1-2|4-1-6|4-6-1|4-2-1|4-5-6|4-6-5|4-5-2|4-3-1|4-2-3|4-2-5|4-6-3|4-3-5|4-3-2|4-6-2|4-2-6|4-3-6
2026-04,202604030402,0.6354202127485613,0.2292947236514523,2.771194219516602,0.8647149364000136,0.3261810694158801,0.49448369134274295,0.6552498667693,0.7648095679000717,0.8336404628196789,0.8729217359531056,2.817640826960245,4-2-1|4-2-5|4-5-1|4-5-6|4-2-3|4-2-6|4-1-5|4-5-3|4-3-5|4-5-2|4-3-1|4-1-6|4-1-3|4-1-2|4-6-5|4-3-6|4-3-2|4-6-1|4-6-3|4-6-2
2026-04,202604031806,0.38508236190767764,0.24021156672123856,1.6030966666753361,0.6252939286289162,0.22511070233872482,0.3611290436287349,0.5030327644603181,0.6097015489013968,0.7060221388959907,0.9521609453852538,4.101763168147949,4-6-5|4-1-5|4-6-1|4-1-6|4-5-1|4-5-6|4-2-5|4-2-1|4-1-2|4-6-2|4-5-2|4-6-3|4-5-3|4-3-5|4-1-3|4-2-6|4-2-3|4-3-1|4-3-2|4-3-6
2026-04,202604042202,0.4857530630394935,0.21526025748924163,2.256584976275849,0.7010133205287351,0.2287290374834325,0.37271913625462755,0.515277536539436,0.638272381555426,0.7272488323453798,0.9500466372199915,1.4546575610784358,4-5-2|4-5-1|4-3-2|4-3-5|4-5-6|4-5-3|4-1-2|4-1-5|4-3-1|4-6-5|4-2-5|4-6-2|4-2-1|4-3-6|4-6-1|4-1-6|4-1-3|4-2-3|4-6-3|4-2-6
2026-04,202604070808,0.4587777399347189,0.27194140385391796,1.6870463027438294,0.7307191437886369,0.24340740423032614,0.39374899950683745,0.5302787236847692,0.6541794300875986,0.7528903797877948,0.9297963279649025,3.5527907712331324,4-1-5|4-5-1|4-1-2|4-5-2|4-5-6|4-3-5|4-2-5|4-1-6|4-5-3|4-1-3|4-2-1|4-3-2|4-3-1|4-2-3|4-6-5|4-3-6|4-2-6|4-6-1|4-6-2|4-6-3
2026-04,202604072403,0.26561793349573554,0.23770774748492976,1.117413867684625,0.5033256809806653,0.16977979587144892,0.3016103933566125,0.4580747595304489,0.5842797100201215,0.6846726328272665,0.9703673354058079,1.913660005836484,4-1-2|4-5-1|4-5-2|4-1-6|4-2-1|4-6-1|4-5-6|4-6-2|4-2-6|4-3-2|4-1-5|4-6-5|4-3-1|4-2-5|4-2-3|4-3-6|4-5-3|4-1-3|4-6-3|4-3-5
2026-04,202604090703,0.5204680847091309,0.18402321486061407,2.8282740582667922,0.704491299569745,0.25853472877612854,0.40455038943266586,0.5622985295859212,0.6754194361738516,0.762669801307393,0.9292749383568394,1.8105517409930956,4-6-5|4-6-1|4-2-5|4-2-1|4-6-2|4-1-5|4-5-1|4-1-2|4-5-2|4-6-3|4-2-3|4-5-6|4-2-6|4-3-5|4-1-6|4-3-2|4-5-3|4-1-3|4-3-1|4-3-6
