month,date,race_code,actual2,actual3,p2,p3,nfeat2,nfeat3,pair_rank,second_rank,third_rank,selected_SA,v96_rank
2026-02,2026-02-23,202602230602,3,6,1:0.112884168638|2:0.708468556085|3:0.0995212556476|5:0.0229149311657|6:0.0562110884633,1:0.247186640154|2:0.127837026067|3:0.0510868679776|5:0.43772057851|6:0.136168887292,25,25,11,3,3,0,6
2026-02,2026-02-23,202602231501,1,2,1:0.237651148316|2:0.291930890269|3:0.145975588338|5:0.11648201015|6:0.207960362926,1:0.296663238013|2:0.461755242683|3:0.150429230291|5:0.0312353328836|6:0.0599169561287,25,25,1,2,1,0,8
2026-02,2026-02-25,202602252303,1,5,1:0.562001020617|2:0.0972619847149|3:0.110867560153|5:0.0496477664977|6:0.180221668018,1:0.0995226933085|2:0.159588124863|3:0.172552024006|5:0.142159758179|6:0.426177399643,25,25,4,1,4,0,3
2026-02,2026-02-27,202602270806,1,6,1:0.479955900872|2:0.08696577946|3:0.0993554206518|5:0.102030850785|6:0.231692048232,1:0.315058821833|2:0.199419795044|3:0.079649940102|5:0.0276391040787|6:0.378232338942,25,25,1,1,1,0,2
2026-02,2026-02-28,202602280309,1,5,1:0.398023170114|2:0.0865504071959|3:0.152743109481|5:0.0876863491618|6:0.274996964047,1:0.20391562064|2:0.149062754831|3:0.0374562585935|5:0.4744405258|6:0.135124840136,25,25,1,1,1,0,1
2026-02,2026-02-28,202602280707,5,6,1:0.456498006158|2:0.297890367638|3:0.0749397963206|5:0.09219929188|6:0.078472538003,1:0.293908003999|2:0.0803421881984|3:0.262372444794|5:0.256322842652|6:0.107054520357,25,25,16,3,4,0,12
2026-03,2026-03-01,202603011808,5,1,1:0.0622530074434|2:0.138801590614|3:0.25968568156|5:0.44119476514|6:0.0980649552427,1:0.351200911176|2:0.190085671695|3:0.122014031342|5:0.140851144879|6:0.195848240909,25,25,1,1,1,0,11
2026-03,2026-03-03,202603030307,5,3,1:0.30116803365|2:0.173291031731|3:0.256529971691|5:0.17287003917|6:0.0961409237587,1:0.453315006985|2:0.0934306684573|3:0.0477362703741|5:0.314305794289|6:0.0912122598937,25,25,18,4,5,0,6
2026-03,2026-03-05,202603050704,5,6,1:0.128767814468|2:0.317227981386|3:0.0646003858918|5:0.128482362404|6:0.36092145585,1:0.0582900401468|2:0.157930842034|3:0.20900740464|5:0.159130757151|6:0.415640956028,25,25,8,4,1,0,3
2026-03,2026-03-05,202603050707,2,5,1:0.730492062882|2:0.0682533681019|3:0.161523387578|5:0.0320882727909|6:0.00764290864652,1:0.0362595186373|2:0.121640413903|3:0.0422251894857|5:0.633766178907|6:0.166108699067,25,25,6,3,1,0,9
2026-03,2026-03-08,202603080203,6,2,1:0.113300641074|2:0.0740239627652|3:0.0447813018612|5:0.145260465268|6:0.622633629031,1:0.156207322961|2:0.577540450732|3:0.0777784992412|5:0.090768984086|6:0.097704742979,25,25,1,1,1,0,1
2026-03,2026-03-11,202603111010,1,5,1:0.300079995589|2:0.419132588572|3:0.114836022397|5:0.0586263540049|6:0.107325039437,1:0.128644509499|2:0.0758971305803|3:0.0577172883201|5:0.25378475168|6:0.483956319921,25,25,4,2,2,0,10
2026-03,2026-03-12,202603120205,6,2,1:0.488808753444|2:0.261986438669|3:0.115810853109|5:0.0701719825066|6:0.0632219722717,1:0.079141012945|2:0.601942857347|3:0.0323628415421|5:0.199366940491|6:0.0871863476753,25,25,10,5,1,0,12
2026-03,2026-03-12,202603120609,5,6,1:0.350491158316|2:0.333511505303|3:0.0968433453602|5:0.175885568657|6:0.043268422364,1:0.199054817529|2:0.134010764098|3:0.0857957939784|5:0.446670848547|6:0.134467775847,25,25,11,3,3,0,12
2026-03,2026-03-13,202603131101,6,3,1:0.112269568757|2:0.0550942366791|3:0.486813483757|5:0.21508443825|6:0.130738272557,1:0.163283773977|2:0.322789826995|3:0.0851745245193|5:0.132116137761|6:0.296635736748,25,25,15,3,5,0,4
2026-03,2026-03-14,202603140711,1,5,1:0.372736117985|2:0.0723804709833|3:0.337705025928|5:0.17541038552|6:0.0417679995836,1:0.0353518336074|2:0.0790516517778|3:0.0197724742951|5:0.602899101202|6:0.262924939117,25,25,1,1,1,0,1
2026-03,2026-03-16,202603160306,1,6,1:0.169110811977|2:0.280265099256|3:0.147262454833|5:0.182879055532|6:0.220482578402,1:0.0940750213117|2:0.221899497626|3:0.0621214152583|5:0.440137849273|6:0.181766216531,25,25,11,4,3,0,5
2026-03,2026-03-16,202603160608,5,1,1:0.412661022216|2:0.0970399338381|3:0.177445021805|5:0.166912001923|6:0.145942020217,1:0.0720643426149|2:0.18763554556|3:0.043355215027|5:0.317917393274|6:0.379027503524,25,25,15,3,4,0,4
2026-03,2026-03-16,202603160702,5,6,1:0.153420641536|2:0.375895854549|3:0.0906074087913|5:0.313498635432|6:0.0665774596914,1:0.396642643477|2:0.0513327796709|3:0.0703573205073|5:0.401413821359|6:0.0802534349859,25,25,7,2,3,0,9
2026-03,2026-03-18,202603180109,1,5,1:0.0437012761711|2:0.333339027368|3:0.119287666563|5:0.459181134273|6:0.044490895625,1:0.273811611055|2:0.379049278979|3:0.020875527809|5:0.302109115461|6:0.0241544666954,25,25,15,5,2,0,14
2026-03,2026-03-20,202603200402,6,1,1:0.497061625446|2:0.200137915564|3:0.0992359279497|5:0.0911271877371|6:0.112437343303,1:0.126532918448|2:0.123550182701|3:0.0404618937466|5:0.42714754533|6:0.282307459774,25,25,12,3,3,0,6
2026-03,2026-03-21,202603210505,1,5,1:0.189201271731|2:0.16876349619|3:0.174576412089|5:0.443166198796|6:0.0242926211946,1:0.257419841545|2:0.306556654432|3:0.0580481778831|5:0.0452190873186|6:0.332756238822,25,25,14,2,5,0,4
2026-03,2026-03-22,202603221607,6,3,1:0.470865723074|2:0.272160100002|3:0.132997805911|5:0.0545855593428|6:0.0693908116705,1:0.0352315479071|2:0.0798634372407|3:0.0266970162678|5:0.127044545031|6:0.731163453554,25,25,18,4,5,0,7
2026-03,2026-03-23,202603230801,1,5,1:0.557211051592|2:0.245237629305|3:0.0662072539707|5:0.0508621167853|6:0.0804819483471,1:0.0388111391884|2:0.337910040608|3:0.082895909781|5:0.104270013932|6:0.43611289649,25,25,4,1,3,0,7
2026-03,2026-03-23,202603231801,6,1,1:0.495844128979|2:0.333696048561|3:0.113759958195|5:0.0407016880135|6:0.0159981762517,1:0.153750884329|2:0.103323342559|3:0.105747356855|5:0.409763946924|6:0.227414469333,25,25,18,5,3,0,10
2026-03,2026-03-24,202603241803,1,3,1:0.46697054564|2:0.219616588542|3:0.20920527568|5:0.0483050774275|6:0.0559025127099,1:0.0224752410387|2:0.0108319038683|3:0.0560251542724|5:0.367349052864|6:0.543318647956,25,25,7,1,3,0,1
2026-03,2026-03-27,202603270909,1,5,1:0.592511816927|2:0.0354961703376|3:0.138985409495|5:0.0459657661948|6:0.187040837046,1:0.0477071336192|2:0.155189135898|3:0.0476470379929|5:0.705481291616|6:0.0439754008743,25,25,1,1,1,0,8
2026-03,2026-03-28,202603280806,1,2,1:0.263634301758|2:0.527204749868|3:0.0699108826062|5:0.0533952509937|6:0.0858548147744,1:0.0800320601238|2:0.0982406233139|3:0.0661075165367|5:0.715917392654|6:0.0397024073711,25,25,7,2,2,0,2
2026-03,2026-03-29,202603290502,3,2,1:0.170454253485|2:0.492641791909|3:0.190263078312|5:0.0639410715506|6:0.0826998047429,1:0.228303480997|2:0.411483442154|3:0.24713634737|5:0.0908287334797|6:0.0222479959994,25,25,3,2,1,0,2
2026-03,2026-03-30,202603300506,2,3,1:0.304867184127|2:0.449712228008|3:0.149237983274|5:0.0432309003493|6:0.0529517042423,1:0.246697822623|2:0.204979473701|3:0.0570493021955|5:0.0568298965094|6:0.434443504972,25,25,6,1,4,0,5
2026-03,2026-03-30,202603301507,2,6,1:0.204595532184|2:0.414186314917|3:0.104820071561|5:0.0650932602499|6:0.211304821088,1:0.127834533331|2:0.154012872244|3:0.0336338567947|5:0.645210241949|6:0.0393084956814,25,25,9,1,4,0,2
2026-03,2026-03-30,202603302109,1,5,1:0.274239203806|2:0.276135877605|3:0.0928234655867|5:0.145680582961|6:0.211120870041,1:0.302860591988|2:0.0584997975|3:0.147045026191|5:0.416451634818|6:0.0751429495028,25,25,2,2,1,0,5
2026-03,2026-03-31,202603310809,5,6,1:0.253312206281|2:0.163444739554|3:0.210706703006|5:0.161355625958|6:0.2111807252,1:0.130080417105|2:0.0485934651055|3:0.104668570471|5:0.172943074884|6:0.543714472435,25,25,4,5,1,0,8
2026-04,2026-04-01,202604010603,6,2,1:0.402593435384|2:0.152214764271|3:0.135697407718|5:0.181541075863|6:0.127953316765,1:0.379545504681|2:0.0865233657614|3:0.0995383681453|5:0.0475407973422|6:0.38685196407,25,25,17,5,4,1,16
2026-04,2026-04-01,202604010804,1,3,1:0.414138359329|2:0.258595477548|3:0.0886515143196|5:0.206169921644|6:0.032444727159,1:0.192542947931|2:0.267404804109|3:0.0686606655817|5:0.225510412974|6:0.245881169405,25,25,9,1,5,1,15
2026-04,2026-04-06,202604060408,3,5,1:0.507546156177|2:0.12086376475|3:0.167969933452|5:0.113131734706|6:0.0904884109151,1:0.183003892192|2:0.164502040539|3:0.138230107383|5:0.334906205211|6:0.179357754676,25,25,5,2,1,0,11
2026-04,2026-04-08,202604082303,3,1,1:0.376020265984|2:0.0482781924772|3:0.0908810461331|5:0.249402923331|6:0.235417572075,1:0.0884014478751|2:0.0898756656859|3:0.0207387308198|5:0.223216473335|6:0.577767682284,25,25,16,4,4,0,13
