label,group,value,races,head3,head_rate,hits,hit_rate,coverage,investment,return_yen,roi,top1_return_share,top3_return_share
ALL,all,ALL,270,104,38.51851851851852,79,29.25925925925926,75.96153846153847,269000,277710.0,103.23791821561338,11.162723704583918,21.33520579021281
2026-06,month,2026-06,73,30,41.0958904109589,22,30.136986301369863,73.33333333333333,73000,66550.0,91.16438356164383,12.47182569496619,35.97295266716754
2026-07,month,2026-07,87,26,29.885057471264368,23,26.436781609195403,88.46153846153847,87000,101200.0,116.32183908045977,30.632411067193676,45.355731225296445
2026-08,month,2026-08,110,48,43.63636363636363,34,30.90909090909091,70.83333333333333,109000,109960.0,100.88073394495413,14.296107675518371,34.74899963623135
venue_20,venue,20,270,104,38.51851851851852,79,29.25925925925926,75.96153846153847,269000,277710.0,103.23791821561338,11.162723704583918,21.33520579021281
p3_0.30_0.35,p3_band,0.30-0.35,172,67,38.95348837209303,53,30.813953488372093,79.1044776119403,172000,199650.0,116.07558139534883,15.52717255196594,26.095667417981467
p3_0.35_0.40,p3_band,0.35-0.40,68,23,33.8235294117647,17,25.0,73.91304347826087,67000,60210.0,89.86567164179104,26.108619830592925,53.446271383491116
p3_0.40_0.50,p3_band,0.40-0.50,26,12,46.15384615384615,9,34.61538461538461,75.0,26000,17850.0,68.65384615384616,27.675070028011206,63.24929971988796
p3_0.50_2.00,p3_band,0.50-2.00,4,2,50.0,0,0.0,0.0,4000,0,0.0,0,0
