selector,policy,selected_R,settled_R,coverage_pct,head4_rate_pct,trifecta_hits,trifecta_hit_rate_pct,avg_n,avg_comp_odds,cost_yen,return_yen,profit_yen,new_roi_pct,min_month_roi_pct,month_roi,robust_roi
V265_150_FLOOR,FIXED_N=13,155,152,98.06451612903226,36.18421052631579,48,31.57894736842105,13.0,3.0926276952136944,1520000,1501810.0,-18190.0,98.80328947368422,86.12857142857143,2026-04:49R/86.13%;2026-05:57R/118.86%;2026-06:46R/87.45%,86.12857142857143
V265_150_FLOOR,FIXED_N=15,155,152,98.06451612903226,36.18421052631579,51,33.55263157894737,15.0,2.9085708423897514,1520000,1495560.0,-24440.0,98.3921052631579,83.2108695652174,2026-04:49R/86.70%;2026-05:57R/120.70%;2026-06:46R/83.21%,83.2108695652174
V265_150_FLOOR,FIXED_N=14,155,152,98.06451612903226,36.18421052631579,50,32.89473684210527,14.0,2.985659603141871,1520000,1503950.0,-16050.0,98.94407894736842,82.51086956521739,2026-04:49R/84.10%;2026-05:57R/124.96%;2026-06:46R/82.51%,82.51086956521739
V265_150_FLOOR,FIXED_N=20,155,152,98.06451612903226,36.18421052631579,55,36.18421052631579,20.0,2.634663672131245,1520000,1455020.0,-64980.0,95.725,81.02391304347826,2026-04:49R/87.86%;2026-05:57R/114.35%;2026-06:46R/81.02%,81.02391304347826
V265_150_FLOOR,FIXED_N=16,155,152,98.06451612903226,36.18421052631579,52,34.21052631578947,16.0,2.822923152553662,1520000,1477330.0,-42670.0,97.19276315789473,79.5891304347826,2026-04:49R/88.63%;2026-05:57R/118.76%;2026-06:46R/79.59%,79.5891304347826
V265_150_FLOOR,FIXED_N=17,155,152,98.06451612903226,36.18421052631579,53,34.868421052631575,17.0,2.7649832285181954,1520000,1464510.0,-55490.0,96.34934210526316,79.5891304347826,2026-04:49R/87.46%;2026-05:57R/117.52%;2026-06:46R/79.59%,79.5891304347826
V265_150_FLOOR,FIXED_N=18,155,152,98.06451612903226,36.18421052631579,53,34.868421052631575,18.0,2.7067412167519693,1520000,1430000.0,-90000.0,94.07894736842105,78.8,2026-04:49R/84.76%;2026-05:57R/114.42%;2026-06:46R/78.80%,78.8
V265_200_TOP,FIXED_N=13,207,199,96.13526570048309,33.66834170854271,59,29.64824120603015,13.0,3.4182153074079484,1990000,1833790.0,-156210.0,92.15025125628141,78.26567164179104,2026-04:67R/78.27%;2026-05:72R/111.63%;2026-06:60R/84.28%,78.26567164179104
V265_200_TOP,FIXED_N=16,207,199,96.13526570048309,33.66834170854271,63,31.65829145728643,16.0,3.1164566377527905,1990000,1791120.0,-198880.0,90.00603015075377,78.25833333333334,2026-04:67R/78.89%;2026-05:72R/110.14%;2026-06:60R/78.26%,78.25833333333334
V265_150_FLOOR,FIXED_N=19,155,152,98.06451612903226,36.18421052631579,53,34.868421052631575,19.0,2.6712376042436348,1520000,1419610.0,-100390.0,93.3953947368421,78.15652173913044,2026-04:49R/83.24%;2026-05:57R/114.42%;2026-06:46R/78.16%,78.15652173913044
