date,month,race_code,layer,model,n,winner,head4_win,hit,return_yen,profit_yen,comp_odds,p2_concentration,tickets,policy
2026-05-03,2026-05,202605030105,S,v283,6,1,0,0,0.0,-10000.0,,0.1864849134556843,,VARIABLE_v283
2026-05-03,2026-05,202605030708,S,v283,4,1,0,0,0.0,-10000.0,,0.5810440003812027,,VARIABLE_v283
2026-05-03,2026-05,202605030805,A,v283,10,4,1,1,31290.0,21290.0,3.108721620458127,0.061953840856657005,4-6-5|4-2-6|4-6-2|4-2-5|4-5-6|4-6-1|4-1-6|4-3-6|4-2-1|4-6-3,VARIABLE_v283
2026-05-03,2026-05,202605032307,S,v283,10,4,1,1,20710.0,10710.0,2.0783511446094347,0.013629122965427953,4-2-3|4-3-6|4-2-6|4-3-2|4-5-6|4-3-1|4-1-6|4-2-1|4-1-3|4-5-3,VARIABLE_v283
2026-05-04,2026-05,202605040202,S,v283,4,2,0,0,0.0,-10000.0,,0.21814205741070802,,VARIABLE_v283
2026-05-04,2026-05,202605040701,A,v283,6,4,1,1,62700.0,52700.0,6.285920447093293,0.14250693630267586,4-2-1|4-2-5|4-3-1|4-3-5|4-2-3|4-1-5,VARIABLE_v283
2026-05-04,2026-05,202605040705,S,v283,4,4,1,1,29000.0,19000.0,2.933273634177725,0.31339310729481595,4-1-5|4-1-2|4-5-1|4-5-2,VARIABLE_v283
2026-05-05,2026-05,202605050202,S,v283,10,1,0,0,0.0,-10000.0,,0.044851491611980654,,VARIABLE_v283
2026-05-05,2026-05,202605050702,S,v283,8,4,1,0,0.0,-10000.0,2.643782314858979,0.10610499060937306,4-2-6|4-2-1|4-1-6|4-1-2|4-2-5|4-1-5|4-2-3|4-5-6,VARIABLE_v283
2026-05-05,2026-05,202605050904,S,v283,8,1,0,0,0.0,-10000.0,,0.08582453269519208,,VARIABLE_v283
2026-05-05,2026-05,202605051303,S,v283,8,2,0,0,0.0,-10000.0,,0.11361663028881919,,VARIABLE_v283
2026-05-09,2026-05,202605091805,S,v283,6,1,0,0,0.0,-10000.0,,0.14522030375675699,,VARIABLE_v283
2026-05-10,2026-05,202605102010,A,v283,4,1,0,0,0.0,-10000.0,,0.28307517625563394,,VARIABLE_v283
2026-05-11,2026-05,202605111606,S,v283,4,4,1,1,39100.0,29100.0,3.898517758222601,0.2223385322694461,4-5-6|4-5-2|4-2-5|4-2-1,VARIABLE_v283
2026-05-11,2026-05,202605112308,S,v283,8,4,1,1,24700.0,14700.0,2.4230682494721885,0.07833631248913386,4-1-5|4-1-2|4-2-1|4-2-5|4-1-3|4-2-3|4-6-1|4-3-1,VARIABLE_v283
2026-05-13,2026-05,202605130408,S,v283,4,4,1,0,0.0,-10000.0,2.2530748768732387,0.3218705055708243,4-1-2|4-1-5|4-2-1|4-2-5,VARIABLE_v283
2026-05-16,2026-05,202605161910,S,v283,4,1,0,0,0.0,-10000.0,,0.21306024446253857,,VARIABLE_v283
2026-05-17,2026-05,202605170608,S,v283,4,1,0,0,0.0,-10000.0,,0.43273343871433345,,VARIABLE_v283
2026-05-17,2026-05,202605171007,S,v283,8,2,0,0,0.0,-10000.0,,0.10232290467742844,,VARIABLE_v283
2026-05-18,2026-05,202605181406,A,v283,8,4,1,0,0.0,-10000.0,4.537268915372645,0.07926224980478613,4-6-5|4-6-1|4-5-1|4-5-3|4-6-3|4-1-3|4-1-5|4-2-3,VARIABLE_v283
2026-05-19,2026-05,202605191406,A,v283,8,4,1,0,0.0,-10000.0,5.884239042487094,0.12809319800704833,4-6-5|4-2-5|4-2-3|4-6-2|4-1-5|4-2-6|4-3-5|4-6-3,VARIABLE_v283
2026-05-19,2026-05,202605191811,A,v283,6,1,0,0,0.0,-10000.0,,0.16058422400674044,,VARIABLE_v283
2026-05-20,2026-05,202605201505,S,v283,6,4,1,0,0.0,-10000.0,6.733202811578667,0.1704397304552563,4-5-6|4-5-1|4-3-5|4-3-6|4-5-2|4-5-3,VARIABLE_v283
2026-05-20,2026-05,202605202002,A,v283,4,2,0,0,0.0,-10000.0,,0.27158064783833313,,VARIABLE_v283
2026-05-25,2026-05,202605251307,A,v283,4,5,0,0,0.0,-10000.0,,0.35421453701645966,,VARIABLE_v283
2026-05-26,2026-05,202605261206,A,v283,4,4,1,0,0.0,-10000.0,4.574155704764995,0.25175212423300186,4-5-3|4-5-2|4-1-5|4-1-3,VARIABLE_v283
2026-05-28,2026-05,202605280204,A,v283,10,1,0,0,0.0,-10000.0,,0.022625504035105104,,VARIABLE_v283
2026-05-28,2026-05,202605281008,A,v283,8,4,1,1,39390.0,29390.0,3.7628243550169973,0.08506601190529561,4-2-6|4-6-5|4-2-1|4-6-1|4-2-5|4-1-6|4-5-6|4-1-5,VARIABLE_v283
2026-05-30,2026-05,202605301108,A,v283,6,4,1,1,36540.0,26540.0,3.632470570910263,0.1821867268531735,4-2-5|4-2-1|4-5-2|4-5-1|4-2-3|4-6-5,VARIABLE_v283
2026-05-31,2026-05,202605312304,S,v283,8,2,0,0,0.0,-10000.0,,0.08327490838605622,,VARIABLE_v283
