family,month,races,new_top4_pct,v96_top4_pct,new_top6_pct,v96_top6_pct,new_top10_pct,v96_top10_pct
ALL_RICH,2026-02,27,48.148148148148145,40.74074074074074,59.25925925925925,59.25925925925925,66.66666666666666,74.07407407407408
ALL_RICH,2026-03,27,29.629629629629626,37.03703703703704,55.55555555555556,55.55555555555556,66.66666666666666,85.18518518518519
ALL_RICH,2026-04,23,43.47826086956522,39.130434782608695,56.52173913043478,39.130434782608695,60.86956521739131,60.86956521739131
ALL_RICH,2026-05,36,41.66666666666667,50.0,61.111111111111114,63.888888888888886,86.11111111111111,83.33333333333334
ALL_RICH,2026-06,28,25.0,42.857142857142854,35.714285714285715,57.14285714285714,67.85714285714286,78.57142857142857
BASE7,2026-02,27,51.85185185185185,40.74074074074074,59.25925925925925,59.25925925925925,74.07407407407408,74.07407407407408
BASE7,2026-03,27,29.629629629629626,37.03703703703704,55.55555555555556,55.55555555555556,66.66666666666666,85.18518518518519
BASE7,2026-04,23,39.130434782608695,39.130434782608695,52.17391304347826,39.130434782608695,65.21739130434783,60.86956521739131
BASE7,2026-05,36,47.22222222222222,50.0,66.66666666666666,63.888888888888886,83.33333333333334,83.33333333333334
BASE7,2026-06,28,25.0,42.857142857142854,39.285714285714285,57.14285714285714,71.42857142857143,78.57142857142857
BASE7_CONTEXT,2026-02,27,51.85185185185185,40.74074074074074,59.25925925925925,59.25925925925925,77.77777777777779,74.07407407407408
BASE7_CONTEXT,2026-03,27,29.629629629629626,37.03703703703704,55.55555555555556,55.55555555555556,62.96296296296296,85.18518518518519
BASE7_CONTEXT,2026-04,23,39.130434782608695,39.130434782608695,52.17391304347826,39.130434782608695,65.21739130434783,60.86956521739131
BASE7_CONTEXT,2026-05,36,52.77777777777778,50.0,63.888888888888886,63.888888888888886,80.55555555555556,83.33333333333334
BASE7_CONTEXT,2026-06,28,28.57142857142857,42.857142857142854,39.285714285714285,57.14285714285714,75.0,78.57142857142857
BASE7_PLAYER,2026-02,27,51.85185185185185,40.74074074074074,51.85185185185185,59.25925925925925,66.66666666666666,74.07407407407408
BASE7_PLAYER,2026-03,27,37.03703703703704,37.03703703703704,51.85185185185185,55.55555555555556,55.55555555555556,85.18518518518519
BASE7_PLAYER,2026-04,23,43.47826086956522,39.130434782608695,56.52173913043478,39.130434782608695,73.91304347826086,60.86956521739131
BASE7_PLAYER,2026-05,36,50.0,50.0,55.55555555555556,63.888888888888886,91.66666666666666,83.33333333333334
BASE7_PLAYER,2026-06,28,28.57142857142857,42.857142857142854,42.857142857142854,57.14285714285714,75.0,78.57142857142857
BASE7_PLAYER_PRIOR,2026-02,27,51.85185185185185,40.74074074074074,55.55555555555556,59.25925925925925,70.37037037037037,74.07407407407408
BASE7_PLAYER_PRIOR,2026-03,27,29.629629629629626,37.03703703703704,51.85185185185185,55.55555555555556,62.96296296296296,85.18518518518519
BASE7_PLAYER_PRIOR,2026-04,23,43.47826086956522,39.130434782608695,60.86956521739131,39.130434782608695,65.21739130434783,60.86956521739131
BASE7_PLAYER_PRIOR,2026-05,36,41.66666666666667,50.0,63.888888888888886,63.888888888888886,88.88888888888889,83.33333333333334
BASE7_PLAYER_PRIOR,2026-06,28,28.57142857142857,42.857142857142854,42.857142857142854,57.14285714285714,64.28571428571429,78.57142857142857
BASE7_PRIOR,2026-02,27,51.85185185185185,40.74074074074074,55.55555555555556,59.25925925925925,74.07407407407408,74.07407407407408
BASE7_PRIOR,2026-03,27,22.22222222222222,37.03703703703704,55.55555555555556,55.55555555555556,70.37037037037037,85.18518518518519
BASE7_PRIOR,2026-04,23,39.130434782608695,39.130434782608695,60.86956521739131,39.130434782608695,65.21739130434783,60.86956521739131
BASE7_PRIOR,2026-05,36,44.44444444444444,50.0,58.333333333333336,63.888888888888886,80.55555555555556,83.33333333333334
BASE7_PRIOR,2026-06,28,28.57142857142857,42.857142857142854,39.285714285714285,57.14285714285714,75.0,78.57142857142857
BASE7_ST,2026-02,27,51.85185185185185,40.74074074074074,62.96296296296296,59.25925925925925,77.77777777777779,74.07407407407408
BASE7_ST,2026-03,27,22.22222222222222,37.03703703703704,48.148148148148145,55.55555555555556,66.66666666666666,85.18518518518519
BASE7_ST,2026-04,23,34.78260869565217,39.130434782608695,52.17391304347826,39.130434782608695,65.21739130434783,60.86956521739131
BASE7_ST,2026-05,36,41.66666666666667,50.0,66.66666666666666,63.888888888888886,80.55555555555556,83.33333333333334
BASE7_ST,2026-06,28,25.0,42.857142857142854,35.714285714285715,57.14285714285714,71.42857142857143,78.57142857142857
