post_cut,rule,R,head4_rate_pct,trifecta_hits,trifecta_hit_rate_pct,avg_buy_n,avg_comp_odds,cost_yen,return_yen,profit_yen,roi_pct,feb_jun_R,feb_jun_hit_pct,feb_jun_roi_pct
0.25,COPY3HEAD,170,39.411764705882355,42,24.705882352941178,8.329411764705883,3.496230393065069,1700000,1401580.0,-298420.0,82.44588235294118,140,21.428571428571427,73.35857142857142
0.25,FIXED2,190,40.526315789473685,22,11.578947368421053,2.0,10.486411388853913,1900000,1808060.0,-91940.0,95.16105263157895,155,10.967741935483872,88.13225806451612
0.25,FLOOR3_5TO10,154,39.61038961038961,36,23.376623376623375,8.363636363636363,3.6641752894489183,1540000,1266180.0,-273820.0,82.21948051948051,126,20.634920634920633,73.5984126984127
0.28,COPY3HEAD,117,39.31623931623932,28,23.931623931623932,8.076923076923077,3.4709811354531106,1170000,928170.0,-241830.0,79.33076923076923,93,19.35483870967742,67.08279569892473
0.28,FIXED2,136,41.17647058823529,17,12.5,2.0,9.967817044916764,1360000,1356860.0,-3140.0,99.76911764705882,107,11.214953271028037,85.5
0.28,FLOOR3_5TO10,104,38.46153846153847,24,23.076923076923077,8.134615384615385,3.6574325465122395,1040000,847450.0,-192550.0,81.48557692307692,82,19.51219512195122,70.59390243902439
0.3,COPY3HEAD,95,37.89473684210527,22,23.157894736842106,7.957894736842105,3.4393556715660667,950000,733930.0,-216070.0,77.25578947368422,75,18.666666666666668,65.39066666666666
0.3,FIXED2,112,39.285714285714285,15,13.392857142857142,2.0,9.666597967208954,1120000,1223660.0,103660.0,109.25535714285714,87,11.494252873563218,89.84482758620689
0.3,FLOOR3_5TO10,83,36.144578313253014,18,21.686746987951807,8.048192771084338,3.639068233347685,830000,641790.0,-188210.0,77.32409638554216,65,18.461538461538463,67.86307692307692
0.32,COPY3HEAD,76,42.10526315789473,19,25.0,7.907894736842105,3.3955021548330566,760000,614300.0,-145700.0,80.82894736842105,58,18.96551724137931,63.93103448275862
0.32,FIXED2,93,43.01075268817204,14,15.053763440860216,2.0,9.381166169703064,930000,1095350.0,165350.0,117.77956989247312,70,12.857142857142856,93.33428571428571
0.32,FLOOR3_5TO10,66,40.909090909090914,15,22.727272727272727,7.96969696969697,3.617332769613734,660000,522160.0,-137840.0,79.11515151515151,49,18.367346938775512,65.60816326530612
0.35,COPY3HEAD,52,46.15384615384615,13,25.0,7.923076923076923,3.3487787322795337,520000,398820.0,-121180.0,76.69615384615385,38,15.789473684210526,48.6578947368421
0.35,FIXED2,64,46.875,9,14.0625,2.0,9.504696731071178,640000,672090.0,32090.0,105.0140625,46,10.869565217391305,61.7695652173913
0.35,FLOOR3_5TO10,44,45.45454545454545,10,22.727272727272727,8.090909090909092,3.5781289654578745,440000,327690.0,-112310.0,74.475,31,16.129032258064516,51.5
0.38,COPY3HEAD,35,54.285714285714285,12,34.285714285714285,7.6571428571428575,3.34369514511601,350000,369570.0,19570.0,105.59142857142857,26,19.230769230769234,59.86538461538461
0.38,FIXED2,40,55.00000000000001,8,20.0,2.0,9.850909498528422,400000,639790.0,239790.0,159.9475,28,14.285714285714285,89.94285714285714
0.38,FLOOR3_5TO10,28,53.57142857142857,9,32.142857142857146,8.035714285714286,3.586806282459534,280000,293940.0,13940.0,104.97857142857143,20,20.0,62.95
0.4,COPY3HEAD,27,51.85185185185185,8,29.629629629629626,7.555555555555555,3.1360538445917325,270000,253270.0,-16730.0,93.8037037037037,20,15.0,46.78
0.4,FIXED2,32,53.125,5,15.625,2.0,9.386348210255516,320000,354410.0,34410.0,110.753125,22,9.090909090909092,49.163636363636364
0.4,FLOOR3_5TO10,21,52.38095238095239,6,28.57142857142857,8.0,3.3162487008156116,210000,194250.0,-15750.0,92.5,15,20.0,62.373333333333335
